time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,58,562,-223.98479,,,,,,,,,,,
2,301.0,65536,163,399,-486.6988,-5.89473515972495,272.04767,-0.00010025501251220703,10,50.64065170288086,102.00074276328087,0.2,0.01,0.99925537109375,1.057119607925415,0.3197264687201823
3,181.56,98304,272,360,-2095.8167,-5.9307768702507015,464.29492,1.7881393432617188e-07,20,22.70895004272461,42.14725473169237,0.2,0.01,0.9995635986328125,1.0661450624465942,0.23313577573208022
4,301.0,131072,385,340,-534.53986,-5.921727310493589,129.98753,0.0,30,18794.037109375,35938.979014205936,0.2,0.01,0.9985687255859375,1.0638014078140259,0.2602407497288368
5,301.0,163840,494,331,-496.23965,-5.819311125390231,4857.355,-1.1920928955078125e-07,40,622.9556274414062,1419.0083114504814,0.2,0.01,0.999609375,1.0394465923309326,0.19492094807574176
6,301.0,196608,604,325,-496.29153,-5.506964773125946,1193.6552,0.0,50,314.8785095214844,820.194256940484,0.2,0.01,0.999609375,0.9588249921798706,0.2145923405776557
7,301.0,229376,713,321,-496.7097,-5.635965262725949,4400.9116,0.0,60,341.11749267578125,736.4861487567425,0.2,0.01,0.999609375,1.0032072067260742,0.21540225992357592
8,301.0,262144,823,318,-496.493,-5.4334650745615365,5614.3145,0.0,70,229.18695068359375,686.942482289672,0.2,0.01,0.999609375,0.966016411781311,0.2219254113297211
9,301.0,294912,932,316,-496.38098,-5.365799687802792,19358.436,0.0,80,203.16793823242188,610.3789175361395,0.2,0.01,0.999609375,0.9837689399719238,0.22233328191287
10,301.0,327680,1042,314,-495.7799,-5.160956206545234,4292.8223,1.1920928955078125e-07,90,191.47039794921875,582.6452553361654,0.2,0.01,0.999609375,0.9793844223022461,0.22211005728240707
11,301.0,360448,1151,313,-496.3712,-4.854348172433674,23892.184,0.0,100,226.2486572265625,517.5462248533964,0.2,0.01,0.999609375,0.9276463389396667,0.21500734969886254
12,301.0,393216,1260,311,-496.21048,-4.5114535069093105,83070.22,5.960464477539063e-08,110,212.8840789794922,493.7548669695854,0.2,0.01,0.999609375,0.9303151965141296,0.21401175571372733
13,301.0,425984,1369,310,-496.59555,-4.535085922665894,184578.9,0.0,120,243.0846405029297,526.3785818010568,0.2,0.01,0.999609375,1.0356117486953735,0.2215461475076154
14,301.0,458752,1479,310,-496.45868,-4.107934479229153,195762.84,0.0,130,62.22529220581055,520.5509465500712,0.2,0.01,0.999609375,0.9527817368507385,0.22237666227229055
15,301.0,491520,1588,309,-496.71866,-3.788897688500583,149071.78,0.0,140,246.97152709960938,510.82237640321256,0.2,0.01,0.999609375,0.9958997964859009,0.22242233410506743
16,301.0,524288,1698,308,-496.71768,-3.2131271613761783,383222.7,1.1920928955078125e-07,150,95.69220733642578,472.7141335964203,0.2,0.01,0.999609375,0.7683730125427246,0.2162843495127163
17,301.0,557056,1809,307,-496.93298,-3.1227211428806187,377043.75,0.0,160,269.94952392578125,452.3827137410641,0.2,0.01,0.999609375,0.8716592788696289,0.21289872012930572
18,301.0,589824,1920,307,-496.4732,-2.7571846526116133,424651.94,5.960464477539063e-08,170,188.76593017578125,483.40248841643336,0.2,0.01,0.999609375,1.018149495124817,0.22144069395544647
19,301.0,622592,2031,306,-496.78366,-2.27463059136644,500816.0,0.0,180,155.4319305419922,501.99251466691493,0.2,0.01,0.999609375,0.913852334022522,0.22218732545443345
20,301.0,655360,2142,305,-496.31766,-2.2689134791493415,1037878.2,0.0,190,185.40892028808594,507.1637169986963,0.2,0.01,0.999609375,1.058608055114746,0.22247873210726538
21,301.0,688128,2255,305,-496.45526,-2.858030438516289,1291673.8,0.0,200,254.6216583251953,478.1820340424776,0.2,0.01,0.999609375,1.3772681951522827,0.2194872113468591
22,301.0,720896,2368,304,-497.26773,-2.039609553851187,2014872.4,0.0,210,260.63458251953125,430.33713295459745,0.2,0.01,0.999609375,1.1641358137130737,0.21268489320937078
23,301.0,753664,2480,303,-496.43137,-1.85696424189955,1396903.0,0.0,220,195.09237670898438,461.1311653524637,0.2,0.01,0.999609375,0.9512569904327393,0.22055581176027772
24,301.0,786432,2593,303,-495.6373,-1.3782349658664317,1910878.2,0.0,230,246.37037658691406,469.4579775050282,0.2,0.01,0.999609375,1.1156166791915894,0.22205404475753313
25,301.0,819200,2705,302,-496.95148,-0.8541188084287569,1656644.9,0.0,240,237.6434326171875,457.15705021321776,0.2,0.01,0.999609375,1.3683671951293945,0.22208654917831155
26,301.0,851968,2820,302,-496.60016,-1.4567645909497515,1890845.2,1.1920928955078125e-07,250,297.8685607910156,437.3931696280837,0.2,0.01,0.999609375,1.6201633214950562,0.22012687656024355
27,301.0,884736,2933,301,-496.01678,-1.0920099862385542,4086797.0,0.0,260,176.2979736328125,401.95157669484615,0.2,0.01,0.999609375,2.0968668460845947,0.21268234678718728
28,301.0,917504,3047,301,-496.52258,-0.9259438586886972,3541394.0,0.0,270,288.5408935546875,438.8796306461096,0.2,0.01,0.999609375,1.8366458415985107,0.22009215520811268
29,301.0,950272,3161,300,-496.64355,-1.059448332292959,3470392.0,0.0,280,388.2310791015625,459.7277957499027,0.2,0.01,0.999609375,2.3089263439178467,0.22243230043386575
30,301.0,983040,3274,300,-496.45816,-0.36852205414325,1122151.2,-1.1920928955078125e-07,290,269.2615051269531,458.6439819544554,0.2,0.01,0.999609375,1.953853964805603,0.2221492255652265
