time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,642,16384,1646.4866,532.6666666666666,25,,,,,,,,,,,,,
2,389,32768,1700.4406,539.5714285714286,84,0.2,0.003211590586397506,-0.03485894203186035,2480,7852.53857421875,0.0003,-1.946503358334303,0.180047607421875,0.3943929374217987,0.014933815,15092.542593193055,,
3,349,49152,2014.5753,558.7882352941176,140,0.2,0.001637340117849817,0.1254284381866455,2490,1791.6396484375,0.0003,-1.943494685087353,0.1478271484375,0.3940696120262146,0.013377227,14705.611757278442,,
4,331,65536,2201.9622,576.51,197,0.2,0.0013067458870864358,0.27989375591278076,2500,2689.91796875,0.0003,-1.9416064084507525,0.12125244140625,0.3940224051475525,0.01035251,15152.306902885437,,
5,320,81920,2586.3042,611.47,255,0.2,0.0014088522697420559,0.26140618324279785,2510,2173.697265625,0.0003,-1.9394097018055618,0.119659423828125,0.39353829622268677,0.010675669,14348.13982334137,,
6,312,98304,2733.4944,624.74,314,0.2,0.0006933068547368748,0.45208537578582764,2520,1861.0155029296875,0.0003,-1.937605698313564,0.100732421875,0.393677681684494,0.009262704,10755.583849906921,,
7,308,114688,3023.8118,654.43,371,0.2,0.0014130489889794262,0.4300069212913513,2530,2642.1083984375,0.0003,-1.9373411105014384,0.105743408203125,0.393541157245636,0.010181594,10968.527722740173,,
8,304,131072,3466.3171,696.96,430,0.2,0.0024718411197682142,0.48938167095184326,2540,2544.09521484375,0.0003,-1.9347694113850593,0.1114990234375,0.39307481050491333,0.01024551,10874.98685283661,,
9,301,147456,3386.8115,683.03,488,0.2,0.000331146759162948,0.5058424770832062,2550,1208.1090087890625,0.0003,-1.9288200449198485,0.11397705078125,0.3923605680465698,0.009457933,10453.351839923858,,
10,299,163840,3650.9922,699.46,546,0.2,0.0008878583254045225,0.49444031715393066,2560,2647.160400390625,0.0003,-1.9235622021369636,0.094305419921875,0.3921016752719879,0.009157186,12245.116339683533,,
11,298,180224,3661.647,691.4,604,0.2,0.0004415276886902575,0.46746861934661865,2570,1551.0245361328125,0.0003,-1.9205503868870437,0.096771240234375,0.39172548055648804,0.008809457,11918.49666557312,,
12,295,196608,3707.8906,683.42,664,0.2,-0.0016254600899628714,0.49441635608673096,2580,2062.451171875,0.0003,-1.91748383352533,0.095306396484375,0.3915365934371948,0.008900575,12810.90013885498,,
13,294,212992,3937.7144,695.58,722,0.2,-0.00011404988254071213,0.5476632416248322,2590,1248.9132080078125,0.0003,-1.917096342612058,0.100054931640625,0.39161860942840576,0.009431671,9138.416620635986,,
14,293,229376,4234.5864,706.8,781,0.2,-0.00014904450081303365,0.48135101795196533,2600,2064.528076171875,0.0003,-1.9161242006346584,0.08817138671875,0.3914026618003845,0.00921254,12149.52860031128,,
15,292,245760,4379.416,714.74,840,0.2,-0.0015493266271732864,0.5329712331295013,2610,1624.0726318359375,0.0003,-1.9128665986470879,0.08736572265625,0.3908848762512207,0.00858713,11572.403351974488,,
16,290,262144,4865.2417,756.25,901,0.2,0.0017265549126022962,0.46969330310821533,2620,2794.64697265625,0.0003,-1.909996085613966,0.0932861328125,0.39095550775527954,0.008467158,12586.15944366455,,
17,289,278528,5171.726,774.64,960,0.2,0.0016325531230904744,0.5101898610591888,2630,2443.727294921875,0.0003,-1.90719203511253,0.12078857421875,0.390297532081604,0.010608913,8982.141889476776,,
18,289,294912,5193.8887,773.33,1018,0.2,0.0007597881326546485,0.5341588258743286,2640,2891.6923828125,0.0003,-1.9014474157243968,0.103631591796875,0.3898446261882782,0.009774242,9539.938029575347,,
19,287,311296,5758.386,825.97,1082,0.2,-0.0008562231929317932,0.5257017016410828,2650,2049.352783203125,0.0003,-1.8968943896703423,0.080657958984375,0.38940104842185974,0.008274525,10016.981079864501,,
20,287,327680,6042.013,846.23,1140,0.2,-0.0003626668485594564,0.5495062172412872,2660,1230.1258544921875,0.0003,-1.8928321989253163,0.1044921875,0.38904568552970886,0.009482538,7774.209251308441,,
21,285,344064,6397.824,876.49,1203,0.2,-0.002318320018457598,0.4857412576675415,2670,1254.2386474609375,0.0003,-1.8914558811113238,0.098895263671875,0.38906973600387573,0.009217208,7902.995359802246,,
22,285,360448,6586.727,893.69,1264,0.2,0.0013330515743291472,0.6188742518424988,2680,1973.823974609375,0.0003,-1.8872950778342783,0.108221435546875,0.388216108083725,0.0097112525,7612.428859901428,,
23,283,376832,7128.3438,936.73,1327,0.2,-0.0009755362740179408,0.5108427107334137,2690,2083.802490234375,0.0003,-1.8790657006204128,0.0885009765625,0.3874988853931427,0.008709321,10208.72974061966,,
24,283,393216,7779.058,994.12,1389,0.2,-0.0013792919871775666,0.6008366942405701,2700,1017.4598388671875,0.0003,-1.871854962501675,0.10115966796875,0.3868258595466614,0.009507995,7799.873993110657,,
25,282,409600,8076.1636,1011.0,1451,0.2,-0.0008499742636558949,0.5694110691547394,2710,1643.2412109375,0.0003,-1.8662506770342588,0.093585205078125,0.38640275597572327,0.008526199,8433.627652931213,,
26,281,425984,8241.596,1013.17,1512,0.2,0.0008372693932869879,0.5773970186710358,2720,930.5596313476562,0.0003,-1.8606488339602947,0.11072998046875,0.3857961595058441,0.010026684,8401.354326152801,,
27,280,442368,8681.477,1041.7,1575,0.2,-0.0014227627696527633,0.5649422705173492,2730,1243.6932373046875,0.0003,-1.8543991439975798,0.1056640625,0.3851813077926636,0.009714326,9960.099679374694,,
28,280,458752,8749.684,1047.06,1637,0.2,-7.734983146292506e-05,0.6346409618854523,2740,1310.268798828125,0.0003,-1.8505995550192893,0.10091552734375,0.3851160407066345,0.009606986,7584.522010421753,,
29,279,475136,9255.854,1078.22,1700,0.2,-0.0007607681372974184,0.613529235124588,2750,1039.56103515625,0.0003,-1.8490391721948982,0.111578369140625,0.38486406207084656,0.010105637,6775.476861906051,,
30,278,491520,8818.057,1030.59,1762,0.2,-0.00019604191056714625,0.6439370214939117,2760,1738.257568359375,0.0003,-1.8460278410464526,0.0932373046875,0.38451987504959106,0.008857816,8700.40632238388,,
31,278,507904,8236.722,978.89,1821,0.2,0.0003250467893849418,0.6060494780540466,2770,2109.416748046875,0.0003,-1.841498114541173,0.077490234375,0.38395780324935913,0.007626219,8915.693253993988,,
32,278,524288,8547.317,1002.17,1885,0.2,-0.0012953561920767242,0.5857040286064148,2780,1566.6444091796875,0.0003,-1.8385178687982262,0.09019775390625,0.38405096530914307,0.008004444,10158.202970981598,,
33,277,540672,7759.2075,928.81,1945,0.2,0.00028207387622387615,0.6548716723918915,2790,846.39697265625,0.0003,-1.83508557183668,0.106329345703125,0.3831886053085327,0.009638132,8700.861711406707,,
34,277,557056,7413.761,883.13,2006,0.2,0.0003333171844133176,0.5467073917388916,2800,2792.579345703125,0.0003,-1.8293007764965297,0.087127685546875,0.3830302953720093,0.008278409,12975.789710903167,,
35,277,573440,6988.2163,846.66,2065,0.2,-0.0002719531457842095,0.554619163274765,2810,1693.8975830078125,0.0003,-1.8274152914993465,0.10579833984375,0.3829115629196167,0.010068696,9721.165983295441,,
36,277,589824,7221.5264,857.17,2127,0.2,-0.0013020035477893544,0.5479771494865417,2820,1777.3570556640625,0.0003,-1.8265100707300008,0.080621337890625,0.38276416063308716,0.0079515595,10188.911810684203,,
37,276,606208,7090.982,847.87,2189,0.2,-0.0002142642821127083,0.5473908483982086,2830,1546.5013427734375,0.0003,-1.8224516975693406,0.0849853515625,0.3820042014122009,0.009068434,9198.213994121552,,
38,276,622592,7410.1,868.82,2251,0.2,-0.002317183155719249,0.5852254331111908,2840,1362.3302001953125,0.0003,-1.815644367504865,0.098193359375,0.38151097297668457,0.009089326,7326.201368618012,,
39,276,638976,7269.994,857.83,2312,0.2,-0.00023046729766065254,0.6023841798305511,2850,1254.7864990234375,0.0003,-1.814149087201804,0.089190673828125,0.3818225562572479,0.0083402395,7725.098579978943,,
