rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
908.0,32768,344,2582.0244,1,95,,,,,,,,,,,,,
929.1290322580645,65536,343,2634.6333,2,190,13281.01953125,-1.94700673148036,0.0001,0.1463909149169922,0.39451488852500916,0.010680843,2480,0.1021942138671875,39945.855352783205,0.2,0.0018820705969119444,,
945.8494623655914,98304,345,2953.9587,3,284,17743.287109375,-1.946306419558823,0.0001,0.19930368661880493,0.3944151997566223,0.008115636,2490,0.0628936767578125,42497.77545471191,0.2,0.0003992556194134522,,
998.63,131072,344,3554.7,4,380,13443.1796875,-1.9453425258398056,0.0001,0.24922186136245728,0.39433544874191284,0.007399733,2500,0.0563262939453125,41748.54195861817,0.2,0.0002885828489525011,,
991.52,163840,345,3876.995,5,473,10403.4794921875,-1.9447133909910916,0.0001,0.26905375719070435,0.39428943395614624,0.0073904647,2510,0.0651519775390625,38119.237908935545,0.2,0.0011417221212468576,,
1006.67,196608,345,4104.02,6,569,13157.5712890625,-1.9445999462157488,0.0001,0.22765666246414185,0.39433157444000244,0.006631903,2520,0.0509918212890625,41143.90076599121,0.2,0.0007874611070292304,,
997.02,229376,344,4243.9414,7,665,12072.5361328125,-1.9447238082066178,0.0001,0.33383071422576904,0.39430510997772217,0.005483264,2530,0.032379150390625,35682.897073364256,0.2,0.0002564235805039061,,
1012.87,262144,343,4547.088,8,762,14595.544921875,-1.9443592550233006,0.0001,0.2665826678276062,0.39426249265670776,0.007316394,2540,0.06162109375,37868.725805664064,0.2,0.000737777812537388,,
1002.45,294912,342,4538.165,9,860,14117.0263671875,-1.9438818730413914,0.0001,0.2628415822982788,0.39421820640563965,0.0051342016,2550,0.0368499755859375,37517.452960205075,0.2,-0.0002944883261079667,,
1018.43,327680,341,4187.2627,10,960,11695.1416015625,-1.9435343291610478,0.0001,0.29036635160446167,0.39419078826904297,0.0058985986,2560,0.0390533447265625,36394.898593139646,0.2,0.0011932115852687276,,
1029.07,360448,339,4286.7617,11,1061,11494.6064453125,-1.943705123104155,0.0001,0.3072465658187866,0.3942611813545227,0.0059953695,2570,0.0413970947265625,35511.95335083008,0.2,0.0003823841780103976,,
1064.61,393216,339,4605.9185,12,1159,9377.1767578125,-1.9439960472285747,0.0001,0.29991400241851807,0.39424842596054077,0.0072694337,2580,0.0563934326171875,36206.38887786865,0.2,0.000507847529661376,,
1056.09,425984,339,4992.3384,13,1254,7766.58642578125,-1.9436171265318989,0.0001,0.35231971740722656,0.3941822648048401,0.005274334,2590,0.0327667236328125,34519.09702606201,0.2,-0.00024457620093016886,,
1053.87,458752,339,5205.8833,14,1350,10268.2744140625,-1.9429194508120418,0.0001,0.3425655961036682,0.3941078782081604,0.004971219,2600,0.03095703125,35947.97977294922,0.2,-1.2840301133110188e-05,,
1060.96,491520,339,5411.9624,15,1446,10754.4873046875,-1.9421538388356567,0.0001,0.3093438148498535,0.394031286239624,0.0055543473,2610,0.034735107421875,36948.31159667969,0.2,0.00013312982373463455,,
1067.15,524288,339,5853.2983,16,1544,13376.3662109375,-1.9415754139423371,0.0001,0.40804457664489746,0.3940093517303467,0.0049234843,2620,0.031268310546875,34748.45575866699,0.2,8.632981052869582e-05,,
1075.91,557056,339,6150.6733,17,1641,9636.392578125,-1.9412138530984522,0.0001,0.5389693081378937,0.393964946269989,0.00545839,2630,0.037652587890625,31386.177435302736,0.2,0.0003524088591802865,,
1115.38,589824,339,6676.214,18,1738,9567.033203125,-1.9407867826521397,0.0001,0.513067215681076,0.39393895864486694,0.0058904886,2640,0.045758056640625,32118.21895904541,0.2,-0.0007107476434612181,,
1141.57,622592,338,7110.18,19,1839,9562.7177734375,-1.9402692159637809,0.0001,0.46396106481552124,0.3938596844673157,0.005566379,2650,0.0318145751953125,33568.6662902832,0.2,-0.0005448722538858419,,
1079.63,655360,337,6749.645,20,1940,10261.96484375,-1.939642766304314,0.0001,0.5340888798236847,0.3938169479370117,0.0061895945,2660,0.047882080078125,31774.24596710205,0.2,-0.0002511938157113036,,
1088.38,688128,336,7252.78,21,2044,10755.029296875,-1.9391963616013528,0.0001,0.43566644191741943,0.3937675356864929,0.00505142,2670,0.031329345703125,33092.18400878906,0.2,0.0002162462165870238,,
1084.58,720896,335,7783.0513,22,2146,10790.087890625,-1.9382990626618266,0.0001,0.488261878490448,0.3936287760734558,0.004657747,2680,0.029095458984375,32385.41682128906,0.2,0.00016977597642835461,,
1094.46,753664,335,8150.4673,23,2243,10458.3037109375,-1.9371104244142772,0.0001,0.4976269006729126,0.39354467391967773,0.0049200775,2690,0.02884521484375,32788.02694091797,0.2,0.00031411902891704814,,
1087.45,786432,335,8104.858,24,2343,15316.7392578125,-1.9363703936338426,0.0001,0.39893442392349243,0.3934823274612427,0.005059989,2700,0.0324371337890625,35476.954553222655,0.2,4.067189074703492e-05,,
1075.1,819200,335,8215.07,25,2442,12692.498046875,-1.9359353929758072,0.0001,0.43944060802459717,0.393460214138031,0.005104769,2710,0.029486083984375,38279.158142089844,0.2,4.385897409520112e-06,,
1047.99,851968,335,8058.3433,26,2538,12542.71875,-1.9357737747952342,0.0001,0.48313456773757935,0.3934466540813446,0.0054700915,2720,0.036956787109375,37474.36038513183,0.2,0.0004735883547255071,,
