time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
32768,115,1,329.9887640449438,759.408,282,,,,,,,,,,,,,
65536,231,2,356.09,1024.7417,283,0.0006536669461638667,0.015743732452392578,36274.83984375,0.0001,77178.9138671875,0.068939208984375,2480,0.39456430077552795,-1.9472673028707503,0.008570157,0.2,,
98304,349,3,363.17,1051.0955,281,0.0003789772257732693,0.2500884532928467,28238.30078125,0.0001,65229.95905761719,0.0759429931640625,2490,0.3945232033729553,-1.94693855419755,0.008045727,0.2,,
131072,466,4,391.45,1138.1515,281,0.00011677606380544603,0.3375697135925293,29331.54296875,0.0001,64607.36315917969,0.035931396484375,2500,0.39449185132980347,-1.9465927340090274,0.006986269,0.2,,
163840,584,5,429.44,1237.8383,280,-0.0003137135880024289,0.39989006519317627,26964.09765625,0.0001,61895.41806640625,0.036822509765625,2510,0.39446669816970825,-1.9463067933917046,0.0062743835,0.2,,
196608,703,6,456.19,1635.415,279,-0.0008533982250810368,0.5190100073814392,23600.3203125,0.0001,54007.436694335935,0.0413177490234375,2520,0.39444348216056824,-1.946021105349064,0.006601003,0.2,,
229376,823,7,504.22,1867.5848,278,0.00013854619537596592,0.5754196047782898,22145.052734375,0.0001,51262.67045898437,0.047772216796875,2530,0.39445778727531433,-1.9459489732980728,0.0062935,0.2,,
262144,942,8,523.92,1876.6694,278,-0.0007065642086672597,0.6510282456874847,17773.3046875,0.0001,46211.74627685547,0.01524658203125,2540,0.3944506049156189,-1.9460172742605208,0.0043399306,0.2,,
294912,1061,9,500.0,1713.6814,277,0.0006121806043665856,0.6736245453357697,20742.3125,0.0001,46956.42685546875,0.0256561279296875,2550,0.39442411065101624,-1.9458382785320283,0.0050277533,0.2,,
327680,1187,10,473.58,1677.4686,275,-5.5295299898716624e-05,0.6982077360153198,20345.984375,0.0001,47198.83923339844,0.0146820068359375,2560,0.3944188952445984,-1.9456619061529636,0.0036945788,0.2,,
360448,1315,11,493.28,1858.3013,274,0.0001930825030285632,0.6843979954719543,21679.296875,0.0001,50082.12705078125,0.018157958984375,2570,0.3944111764431,-1.9456131339073182,0.003982275,0.2,,
393216,1434,12,468.79,1624.2816,274,-2.13693332625553e-05,0.7150237560272217,20961.275390625,0.0001,50015.22270507812,0.0157012939453125,2580,0.3943987190723419,-1.9455340214073658,0.0037609972,0.2,,
425984,1559,13,475.14,1622.9185,273,-2.0830562425544487e-05,0.7499935328960419,18107.453125,0.0001,45142.41755371094,0.01846923828125,2590,0.3943701684474945,-1.9453535415232182,0.004191244,0.2,,
458752,1683,14,476.84,1641.7184,272,-0.0008297937740280759,0.7449870705604553,21998.0234375,0.0001,47796.54615478516,0.015045166015625,2600,0.394376277923584,-1.9451973214745522,0.004119439,0.2,,
491520,1803,15,496.54,1774.3754,272,-0.0008319022308569402,0.7363690435886383,18901.826171875,0.0001,48310.89638671875,0.022412109375,2610,0.3943551182746887,-1.945141290873289,0.005147364,0.2,,
524288,1925,16,480.14,1876.6655,272,-3.0971017258707435e-05,0.7353515028953552,19742.24609375,0.0001,49924.73771972656,0.0121734619140625,2620,0.39433538913726807,-1.944914560765028,0.003992156,0.2,,
