time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance
1,314.9148936170213,38,422,841.92365,16384,,,,,,,,,,,
2,343.2888888888889,107,305,1036.9375,32768,2480,9348.1533203125,-1.947281008400023,0.3946124315261841,0.0222068,0.2,0.0003,0.2335205078125,0.005174045615149225,39739.92267875672,0.040341973304748535
3,383.02,174,281,1241.917,49152,2490,5802.8203125,-1.9462633864022791,0.3944080173969269,0.013310863,0.2,0.0003,0.1430908203125,0.0020712822607492853,34308.52732696533,0.24428850412368774
4,415.19,241,271,1385.1897,65536,2500,2349.600341796875,-1.9437774382531643,0.39401936531066895,0.013431093,0.2,0.0003,0.14532470703125,0.00034611362862051464,22815.56251220703,0.3053279519081116
5,438.49,308,265,1428.7323,81920,2510,2441.244873046875,-1.9421115678735077,0.3940933048725128,0.013170973,0.2,0.0003,0.148333740234375,0.001983458128415805,20283.707456016542,0.30246061086654663
6,434.82,375,261,1475.1239,98304,2520,5072.1865234375,-1.9413779817521573,0.3938419818878174,0.0119211925,0.2,0.0003,0.1249755859375,0.001928090540241101,24141.848851013183,0.31078100204467773
7,454.83,443,258,1542.7434,114688,2530,4430.873046875,-1.9390247425064444,0.39361175894737244,0.010815754,0.2,0.0003,0.12664794921875,0.0021618737848257295,20088.98353691101,0.38364744186401367
