time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
207,32768,601.0,2602.5137,158,1,,,,,,,,,,,,,
206,65536,591.8775510204082,2482.258,317,2,0.017106157,1860,-2.74858585447073,0.6955747902393341,759.6152954101562,0.0029438308840326497,0.48231837153434753,0.18831787109375,6304.283824157715,0.2,0.001,,
205,98304,597.2,2193.3972,477,3,0.016519148,1870,-2.7367400512099267,0.742037445306778,456.9595031738281,-0.0004066649737069383,0.4800909757614136,0.1724945068359375,4538.835181236267,0.2,0.001,,
205,131072,596.85,2395.0354,636,4,0.017507644,1880,-2.7164281316101553,0.7134189605712891,646.5530395507812,-0.00147172707838763,0.47798794507980347,0.184320068359375,5312.5087785720825,0.2,0.001,,
205,163840,580.2,2311.113,795,5,0.017108195,1890,-2.6956206053495406,0.6958653330802917,481.2755126953125,0.0013274377306515817,0.47474557161331177,0.1814727783203125,5726.805056381226,0.2,0.001,,
205,196608,577.34,2614.6057,955,6,0.018020296,1900,-2.6821303024888037,0.7037899196147919,833.8892822265625,0.0005963845658698119,0.47427910566329956,0.190771484375,5993.872440719604,0.2,0.001,,
205,229376,586.58,2794.2878,1114,7,0.016546695,1910,-2.6698234394192695,0.6735674738883972,742.2067260742188,0.002220432179456111,0.47188127040863037,0.181378173828125,7340.0000286102295,0.2,0.001,,
205,262144,573.37,2581.6594,1273,8,0.01686984,1920,-2.6517123632133006,0.6882541179656982,1163.7423095703125,0.00025355149773531593,0.4701741933822632,0.169976806640625,6059.12059135437,0.2,0.001,,
205,294912,591.09,2592.0264,1432,9,0.017784506,1930,-2.639163342863321,0.7157065570354462,553.7899780273438,0.00021594911268039141,0.4687959551811218,0.1836029052734375,6154.558911514282,0.2,0.001,,
205,327680,601.0,2407.5461,1592,10,0.014757983,1940,-2.6295213893055918,0.6598226726055145,621.9305419921875,0.00030098349998297635,0.46802622079849243,0.1644805908203125,5027.529761505127,0.2,0.001,,
205,360448,585.51,2599.957,1752,11,0.014951538,1950,-2.616074672341347,0.7272568941116333,473.6413879394531,-0.0020301825210481184,0.46577930450439453,0.1613189697265625,4814.604569244385,0.2,0.001,,
205,393216,577.12,2759.3682,1911,12,0.017283253,1960,-2.5993029519915583,0.6995144188404083,1107.4825439453125,0.0018384279330348364,0.46415066719055176,0.188934326171875,7621.192247772216,0.2,0.001,,
205,425984,592.84,2509.0884,2070,13,0.015401211,1970,-2.5886606588959693,0.7005341351032257,669.3787841796875,0.001194542094526696,0.4629567265510559,0.163677978515625,6123.462631225586,0.2,0.001,,
205,458752,599.78,2570.1555,2231,14,0.016836701,1980,-2.563039157539606,0.7386933267116547,482.8553161621094,0.0014839339837635634,0.4587838053703308,0.17015380859375,4790.651342964173,0.2,0.001,,
205,491520,599.73,2552.127,2390,15,0.0165255,1990,-2.5434213049709795,0.7456056475639343,576.8086547851562,-0.00042858254309976476,0.4584444761276245,0.1773712158203125,5039.4482889175415,0.2,0.001,,
205,524288,595.72,2715.4275,2550,16,0.018443104,2000,-2.5336217544972897,0.782877579331398,757.85888671875,0.0003457205075392267,0.4564594626426697,0.1882232666015625,5282.639505767822,0.2,0.001,,
205,557056,588.5,2904.8987,2709,17,0.016619904,2010,-2.515987303853035,0.7655797898769379,502.3105773925781,0.001331222729641013,0.45474907755851746,0.1819580078125,4915.663525962829,0.2,0.001,,
205,589824,567.98,2729.2754,2868,18,0.019774143,2020,-2.4966960534453393,0.7413913905620575,792.1553344726562,-0.0002156159513106104,0.45229005813598633,0.20140380859375,5957.955837631225,0.2,0.001,,
205,622592,568.75,2800.035,3028,19,0.018057501,2030,-2.482457859069109,0.7023601233959198,1109.3035888671875,0.0013858772850653621,0.45145538449287415,0.1922698974609375,7750.368894195557,0.2,0.001,,
205,655360,550.39,2841.9512,3187,20,0.01825965,2040,-2.4738925740122797,0.738940417766571,612.45361328125,0.002535838639960275,0.4500962495803833,0.18865966796875,5897.920535850525,0.2,0.001,,
205,688128,558.67,2691.3315,3346,21,0.017844714,2050,-2.464709214121103,0.7191836535930634,1489.0787353515625,8.48288105771644e-05,0.4495798945426941,0.1976776123046875,7914.468524169922,0.2,0.001,,
205,720896,585.08,2578.0632,3506,22,0.01875811,2060,-2.454844582080841,0.7148817181587219,609.4708862304688,0.0011934528076380957,0.44850412011146545,0.2006866455078125,5099.259727668762,0.2,0.001,,
205,753664,578.91,2590.918,3665,23,0.01808047,2070,-2.4432834520936013,0.7143857777118683,835.1576538085938,0.001847963083127979,0.4465250074863434,0.1930389404296875,6054.980898284912,0.2,0.001,,
205,786432,589.28,2701.5234,3824,24,0.016930172,2080,-2.4248750507831573,0.7089234292507172,1073.7025146484375,0.0003801991246291436,0.4445098638534546,0.1866119384765625,5593.565662384033,0.2,0.001,,
205,819200,597.85,3035.9175,3983,25,0.017051222,2090,-2.4116827748715877,0.7465319037437439,767.641845703125,0.0012709607115539256,0.44352537393569946,0.184722900390625,4876.137360191346,0.2,0.001,,
205,851968,588.19,3036.656,4142,26,0.0189488,2100,-2.4032653771340846,0.7363937199115753,884.9236450195312,0.0022007111514540157,0.44229206442832947,0.1953094482421875,6457.878863143921,0.2,0.001,,
