time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1409024,1007.03,9554.327,342,4114,43,0.004530998,2890,74339.515625,140159.31563720704,0.2,0.0258758544921875,-1.9205135053023696,0.0001,0.0006848915156297153,0.391954243183136,0.3084060549736023,,
1441792,998.21,9460.606,342,4210,44,0.0051664812,2900,15566.70703125,37715.92451171875,0.2,0.0349700927734375,-1.919925357401371,0.0001,0.00017221630369022023,0.3918374180793762,0.6180838346481323,,
1474560,1018.73,10100.733,342,4307,45,0.0050083483,2910,16660.4140625,34740.24080200195,0.2,0.0320648193359375,-1.9187905970960855,0.0001,-6.470607622759417e-05,0.39172935485839844,0.5998037159442902,,
1507328,1001.61,9912.129,342,4401,46,0.005087114,2920,11491.5673828125,32828.939352416994,0.2,0.0294403076171875,-1.9178664350882173,0.0001,-0.00046292676706798374,0.39165887236595154,0.6623735427856445,,
1540096,1040.68,9044.599,342,4497,47,0.0044613048,2930,12428.1923828125,39386.23922424317,0.2,0.0273773193359375,-1.917339108325541,0.0001,-0.00015501073612540496,0.39163723587989807,0.5914896130561829,,
1572864,1035.97,9194.066,342,4591,48,0.0065217135,2940,159240.75,213039.2299194336,0.2,0.048944091796875,-1.9175102967768907,0.0001,0.001580964159438736,0.39170607924461365,0.23965108394622803,,
1600000,,,,,,0.0048211366,2950,10547.1279296875,33793.02811889649,0.2,0.036322021484375,-1.917840164527297,0.0001,0.00034416633679938967,0.39168646931648254,0.7355053126811981,978.44,8697.115234375
1605632,1053.04,9452.419,319,5028,49,,,,,,,,,,,,,
1638400,1086.19,11138.754,319,5124,50,0.005662661,2960,10635.7470703125,33301.85433349609,0.2,0.0432525634765625,-1.9173616077750921,0.0001,0.00035686706614797005,0.39160776138305664,0.5762826502323151,,
1671168,1087.82,11293.014,319,5222,51,0.004012877,2970,8396.216796875,27467.412939453126,0.2,0.0216461181640625,-1.9166270257905125,0.0001,0.0007444516879331787,0.3915478587150574,0.6509607434272766,,
1703936,1118.34,11853.809,320,5323,52,0.0061662747,2980,10453.263671875,32859.325415039064,0.2,0.040643310546875,-1.9161955531686545,0.0001,-0.0005233430470980238,0.3915315270423889,0.6851305961608887,,
1736704,1146.56,12140.599,320,5423,53,0.004601543,2990,13764.64453125,31310.90411529541,0.2,0.0264434814453125,-1.9155975650995969,0.0001,-0.0002791309590975288,0.391421377658844,0.6495347917079926,,
1769472,1148.23,12103.735,320,5525,54,0.0052026077,3000,9572.47265625,75707.81438446045,0.2,0.0394012451171875,-1.9150386899709702,0.0001,-0.00019623100888566114,0.3914303779602051,0.5632455945014954,,
1802240,1136.21,11741.534,320,5621,55,0.0055308426,3010,10643.5361328125,30813.913290405275,0.2,0.044610595703125,-1.9148839231580497,0.0001,0.0003405661465876619,0.39139384031295776,0.7761664241552353,,
1835008,1123.57,11676.044,320,5720,56,0.005585191,3020,9919.16796875,40290.53875732422,0.2,0.0397003173828125,-1.9145628217607737,0.0001,-0.0004648913356504636,0.3913654386997223,0.7107813060283661,,
1867776,1109.64,11252.645,320,5818,57,0.0052898764,3030,12562.388671875,29509.630397033692,0.2,0.0439300537109375,-1.9142850020900368,0.0001,-5.804331558465492e-05,0.39135000109672546,0.6624001264572144,,
1900544,1098.55,11069.628,321,5917,58,0.006546841,3040,90328.9609375,136205.32689208986,0.2,0.0498779296875,-1.9140451723709702,0.0001,-4.368996160337701e-05,0.3913186192512512,0.5996902585029602,,
1933312,1162.37,12075.84,321,6017,59,0.005212949,3050,9250.32421875,32546.118594360352,0.2,0.0319580078125,-1.9133844818919896,0.0001,-9.691794548416511e-06,0.3912057876586914,0.6197241842746735,,
1966080,1188.67,12429.09,321,6116,60,0.0048284763,3060,7865.69482421875,26986.213032531738,0.2,0.028106689453125,-1.9127596704289318,0.0001,-0.00020903724107483866,0.3912118077278137,0.681212455034256,,
1998848,1232.73,13133.758,321,6217,61,0.004605775,3070,9114.6962890625,26792.067082214355,0.2,0.0296051025390625,-1.9123535929247737,0.0001,-0.0003393091414181981,0.39111828804016113,0.7003085017204285,,
2031616,1227.2,12880.287,321,6312,62,0.005814563,3080,7176.3076171875,26520.4181930542,0.2,0.040570068359375,-1.9115121806040407,0.0001,-0.0012569703052577098,0.3910580277442932,0.6877063512802124,,
