time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,train/loss,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance
32768,550.4489795918367,342,2232.636,1,95,,,,,,,,,,,
65536,612.5360824742268,728,2895.0874,2,89,7599.04296875,0.39443591237068176,-1.946698074694723,0.2,0.1057098388671875,0.0001,24030.85479736328,2480,0.0026693992155742306,0.011095846,0.10450249910354614
98304,687.04,1118,3622.1785,3,87,6543.8349609375,0.3941516876220703,-1.9445482756942511,0.2,0.0806243896484375,0.0001,26874.01304244995,2490,0.001513997180154547,0.009833749,0.16241925954818726
131072,743.85,1524,4486.8506,4,85,5344.921875,0.39400261640548706,-1.9423481684178114,0.2,0.0795654296875,0.0001,27063.245890808106,2500,0.0018695006842790463,0.008514169,0.2055450677871704
163840,766.67,1920,5043.246,5,85,11486.7451171875,0.3939833343029022,-1.9413378124125302,0.2,0.08892822265625,0.0001,29774.01935043335,2510,0.0017935478103936475,0.009428263,0.27731114625930786
196608,772.56,2317,5090.9556,6,84,8582.974609375,0.39375248551368713,-1.9401345262303948,0.2,0.052587890625,0.0001,26809.01884613037,2520,0.0001466797187276825,0.006699185,0.41846954822540283
229376,792.54,2709,5120.2236,7,84,6797.7568359375,0.39362502098083496,-1.9383506326936186,0.2,0.0537689208984375,0.0001,23836.73593521118,2530,-0.0010378038359704078,0.0067848335,0.4169854521751404
262144,841.06,3112,5630.4375,8,84,9071.8544921875,0.3936002552509308,-1.9375284452922643,0.2,0.0521240234375,0.0001,24969.323842620848,2540,0.0006897211212162802,0.006514651,0.43082791566848755
