rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss
224.32433,345.1621621621622,32768,1,360,90,,,,,,,,,,,
347.0,454.38,65536,2,256,255,2480,-1.948288012878038,0.7102152705192566,405.8845520019531,3627.1166265010834,0.1098419189453125,0.0001,0.39481642842292786,0.010129599,0.2,-0.0006636913210968487
530.0,566.66,98304,3,230,427,2490,-1.952761976979673,0.6924199759960175,2241.80517578125,4327.868495354056,0.1336761474609375,0.0001,0.3956603705883026,0.010753482,0.2,0.000295716361824816
844.0,647.13,131072,4,217,602,2500,-1.9541266480227932,0.6214894950389862,566.2446899414062,6582.44014095664,0.110247802734375,0.0001,0.3948357105255127,0.010662667,0.2,-0.00010118134114236454
1147.0,750.75,163840,5,209,782,2510,-1.9393606219207868,0.7094520330429077,195.5264434814453,7008.870120605827,0.133673095703125,0.0001,0.3924807906150818,0.013134848,0.2,0.00011299498762582517
1322.0,753.29,196608,6,204,960,2520,-1.926573457219638,0.6681845188140869,562.6709594726562,12001.785383754968,0.102484130859375,0.0001,0.3924916386604309,0.009455869,0.2,-0.0007320892838151849
2181.0,831.33,229376,7,202,1131,2530,-1.9247829278232529,0.7432291209697723,643.8990478515625,9659.34387139082,0.0928253173828125,0.0001,0.39216381311416626,0.00953458,0.2,0.0010990900943170345
2215.0,799.0,262144,8,199,1312,2540,-1.9236502806888893,0.5819818675518036,749.254150390625,33510.73652986884,0.11243896484375,0.0001,0.392361044883728,0.0100479415,0.2,0.001041042258896141
1698.0,816.64,294912,9,197,1492,2550,-1.923857348621823,0.7962983846664429,944.4387817382812,13194.753839343786,0.1013092041015625,0.0001,0.39213114976882935,0.009409545,0.2,-0.00018330226425860018
1977.0,845.65,327680,10,196,1669,2560,-1.9210129358572885,0.47799235582351685,5378.7470703125,91356.89278732539,0.1066375732421875,0.0001,0.39183396100997925,0.009496744,0.2,0.00023255581509147306
1234.0,763.83,360448,11,195,1848,2570,-1.9179830640787259,0.7660689651966095,1588.890380859375,11132.558805251121,0.1059478759765625,0.0001,0.39171698689460754,0.010159621,0.2,0.0006355503391205275
1640.0,754.16,393216,12,192,2040,2580,-1.9153863603947685,0.7472124993801117,6788.076171875,19147.778132426738,0.0906768798828125,0.0001,0.3911849856376648,0.009746999,0.2,3.933260622943635e-05
2429.0,832.37,425984,13,190,2237,2590,-1.908648629905656,0.7474512755870819,1524.4619140625,14593.352566105128,0.0924041748046875,0.0001,0.39038974046707153,0.00887228,0.2,-0.00037971747215124194
2571.0,782.56,458752,14,190,2412,2600,-1.903609238192439,0.8203265964984894,16403.521484375,20005.844602358342,0.06781005859375,0.0001,0.39031943678855896,0.007716081,0.2,0.0003966955239775416
2392.0,961.85,491520,15,188,2607,2610,-1.9022718671476468,0.8976182341575623,2603.50048828125,7932.696825200319,0.0648834228515625,0.0001,0.39014503359794617,0.0065031345,0.2,-0.0007722052211420305
1054.0,785.58,524288,16,186,2809,2620,-1.9011699810391292,0.5189780592918396,2536.47900390625,298336.71349077224,0.079351806640625,0.0001,0.3900008499622345,0.009038266,0.2,0.0006957952357879548
1074.0,868.03,557056,17,184,3024,2630,-1.8985996001167222,0.8511577099561691,270.3532409667969,4872.488716739416,0.0630218505859375,0.0001,0.38973087072372437,0.007186706,0.2,-0.0012573042549774982
1429.0,920.26,589824,18,183,3217,2640,-1.8967570973793044,0.4352397918701172,1376.1409912109375,130521.06698419452,0.063018798828125,0.0001,0.38977330923080444,0.007304299,0.2,-0.0014299906362566616
1408.0,957.15,622592,19,182,3407,2650,-1.8970764313591644,0.7214959561824799,1321.244140625,9352.186226701737,0.075634765625,0.0001,0.3896549940109253,0.007876001,0.2,0.00011990401176262822
1186.0,818.72,655360,20,181,3602,2660,-1.8957385779591278,0.8766464367508888,247.90289306640625,8768.070452532173,0.0801239013671875,0.0001,0.389531672000885,0.0077684876,0.2,-0.0008931463595672539
1698.0,837.22,688128,21,181,3793,2670,-1.8941614317940547,0.8225407153367996,6731.11083984375,11316.46410343647,0.0782958984375,0.0001,0.3894144594669342,0.008019809,0.2,-0.0007902005934056433
2230.0,900.99,720896,22,180,3984,2680,-1.8915287859737873,0.764336958527565,1619.952392578125,10141.713271957637,0.0737548828125,0.0001,0.38903290033340454,0.008063873,0.2,-3.567648918760824e-05
1715.0,848.89,753664,23,180,4178,2690,-1.8870537291280924,0.4077160954475403,5897.28515625,122420.28308096528,0.0917449951171875,0.0001,0.3884998559951782,0.009079601,0.2,4.914937916282725e-05
1812.0,943.63,786432,24,180,4366,2700,-1.8826455226866528,0.745988667011261,19705.9609375,11222.865869086982,0.06280517578125,0.0001,0.3881731331348419,0.0066351267,0.2,-0.0005783652241689197
1518.0,844.54,819200,25,180,4550,2710,-1.8776308603351937,0.7978856265544891,2142.192626953125,12484.937082505226,0.0535614013671875,0.0001,0.3877057433128357,0.0064077405,0.2,-0.0006699278791302277
1632.0,798.46,851968,26,179,4743,2720,-1.8734787912806496,0.7987793236970901,3732.72314453125,10467.700898230076,0.0831878662109375,0.0001,0.3873938322067261,0.008575781,0.2,-0.0003822877657512436
2357.0,831.55,884736,27,179,4930,2730,-1.871058732131496,0.6647654473781586,785.6209716796875,19602.09392517805,0.076153564453125,0.0001,0.3871424198150635,0.007956808,0.2,0.0009399590711950623
