time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/std,train/n_updates
912,6.186002,458752,301.0,502,14,0.04693603515625,1175.1095940589905,0.2,0.001,-0.0011343075542754378,0.0048196306,193.52044677734375,-5.490030793845653,0.594380795955658,0.9544074535369873,130
977,22.401052,491520,301.0,502,15,0.0491607666015625,348.645777797699,0.2,0.001,-0.0031887115468634875,0.005982128,237.72271728515625,-5.480870132893324,0.8529638051986694,0.9509410858154297,140
1042,50.45892,524288,301.0,502,16,0.0729705810546875,378.1259551048279,0.2,0.001,-0.0027828126032545695,0.0068500834,196.60801696777344,-5.463843690603971,0.8546804785728455,0.9489274621009827,150
1109,49.539154,557056,301.0,502,17,0.075823974609375,625.7386943817139,0.2,0.001,-0.0019434489633567865,0.007601957,180.03431701660156,-5.454660089313984,0.791134774684906,0.9462776184082031,160
1175,95.7799,589824,301.0,501,18,0.090301513671875,364.1362576007843,0.2,0.001,-0.004716240750167344,0.008516761,177.40780639648438,-5.438369625806809,0.8721363991498947,0.9434678554534912,170
1241,141.2805,622592,301.0,501,19,0.1029541015625,615.5594650030137,0.2,0.001,-0.003484817143453256,0.008623868,1216.7720947265625,-5.410384185612202,0.800197646021843,0.9342618584632874,180
1307,190.84604,655360,301.0,501,20,0.1229522705078125,295.23785214424134,0.2,0.001,-0.0029911382027421494,0.010960448,131.57994079589844,-5.3806040234863755,0.8619747459888458,0.928059995174408,190
1372,194.14969,688128,301.0,501,21,0.1186859130859375,873.5048942565918,0.2,0.001,-0.0017309208495134953,0.009937737,180.3206329345703,-5.350199215859175,0.6787453293800354,0.9214305281639099,200
1437,174.68932,720896,301.0,501,22,0.12664794921875,1428.662193107605,0.2,0.001,-0.0016582110803938122,0.009987352,524.0897827148438,-5.321103034168482,0.5038377940654755,0.9145028591156006,210
1503,231.65808,753664,301.0,501,23,0.1471771240234375,297.24128057956693,0.2,0.001,-0.004259146880212938,0.01444159,129.62203979492188,-5.3044201046228405,0.8096492141485214,0.9125334620475769,220
1568,235.94997,786432,301.0,501,24,0.1556488037109375,828.398597574234,0.2,0.001,-0.00014135485344013432,0.017449848,172.21121215820312,-5.283342658728361,0.6096431016921997,0.9088903665542603,230
1633,274.4798,819200,301.0,501,25,0.175299072265625,859.4423482894897,0.2,0.001,-0.0027506256592459977,0.012468941,160.20748901367188,-5.255612926930189,0.585311770439148,0.9035817384719849,240
1698,273.6186,851968,301.0,501,26,0.150531005859375,582.2550799369812,0.2,0.001,-0.0004918742796235165,0.012494116,168.97633361816406,-5.242151903361082,0.6362367272377014,0.9003657102584839,250
1764,323.68085,884736,301.0,501,27,0.1652191162109375,606.5921478271484,0.2,0.001,-0.0017348653444059891,0.011270722,165.80601501464844,-5.216922821849584,0.6083016693592072,0.8982335329055786,260
1829,418.05994,917504,301.0,501,28,0.14412841796875,889.6076600551605,0.2,0.001,-0.0012890743715615826,0.011395155,282.093994140625,-5.205765813589096,0.5277266800403595,0.8904556035995483,270
1896,431.94974,950272,301.0,500,29,0.13604736328125,3130.1676005363465,0.2,0.001,0.0006557263878676167,0.0137467235,811.0925903320312,-5.184326423704624,0.2067607045173645,0.88897305727005,280
1964,533.5174,983040,301.0,500,30,0.170001220703125,1263.5456718921662,0.2,0.001,0.004132565176405478,0.020699846,453.1142883300781,-5.164126036316157,0.3725625276565552,0.8860592246055603,290
2029,541.5487,1015808,301.0,500,31,0.1558502197265625,3024.073974132538,0.2,0.001,0.0033948060417969828,0.013389484,979.3765869140625,-5.1431691467761995,0.21532964706420898,0.8747178316116333,300
