time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,332.20454545454544,38,422,471.10303,16384,,,,,,,,,,,,,
2,357.60674157303373,99,330,786.2163,32768,2480,13116.921875,-1.947656125575304,0.39462053775787354,0.014707522,0.2,0.0003,0.149298095703125,0.0016224219289142638,51508.30908203125,0.0476420521736145,,
3,367.04,160,306,846.42975,49152,2490,17773.091796875,-1.947312343120575,0.3945464789867401,0.010474736,0.2,0.0003,0.092529296875,0.0019284902518847957,49472.36235351562,0.22145867347717285,,
4,383.24,222,295,921.649,65536,2500,12764.314453125,-1.946561300009489,0.39447709918022156,0.00890585,0.2,0.0003,0.0842041015625,0.0006271366110013332,39008.12376708984,0.42479991912841797,,
5,394.38,282,289,1039.3263,81920,2510,10789.1533203125,-1.9460785500705242,0.39445972442626953,0.009509455,0.2,0.0003,0.076910400390625,0.0014914403793227394,39644.00218505859,0.42552292346954346,,
6,373.27,344,285,956.9455,98304,2520,11131.625,-1.9455617539584638,0.3943451941013336,0.009329569,0.2,0.0003,0.08280029296875,0.0014427329231693875,37133.265356445314,0.4459930658340454,,
7,387.97,406,282,1131.862,114688,2530,12946.2021484375,-1.9445462010800838,0.39428022503852844,0.008702099,0.2,0.0003,0.084368896484375,0.0005848316373885609,40390.40030517578,0.4401320219039917,,
8,407.97,470,278,1319.914,131072,2540,10636.947265625,-1.9440471731126308,0.394244909286499,0.009976868,0.2,0.0003,0.0765380859375,0.0019336243822181132,35774.45407714844,0.6070574223995209,,
9,433.64,533,276,1506.5195,147456,2550,10065.2529296875,-1.943473981320858,0.39416569471359253,0.008927297,0.2,0.0003,0.0674560546875,-0.00021180934654694284,36504.630432128906,0.5876809656620026,,
10,424.71,594,275,1488.1464,163840,2560,9912.9775390625,-1.942828207463026,0.39412257075309753,0.0079981275,0.2,0.0003,0.0716796875,0.0008268535075330874,31071.180920410156,0.6648719012737274,,
11,411.65,655,275,1433.5826,180224,2570,8708.7216796875,-1.9426633141934873,0.39414212107658386,0.007967606,0.2,0.0003,0.0664306640625,-0.0006043425368261523,32609.14924316406,0.6497063040733337,,
12,415.03,716,274,1541.0967,196608,2580,11403.3046875,-1.9424614787101746,0.39407557249069214,0.010015648,0.2,0.0003,0.097576904296875,0.0010750747926067561,43340.6810546875,0.5351009666919708,,
13,441.87,778,273,1707.8452,212992,2590,9874.1669921875,-1.9422247648239135,0.3940967321395874,0.0070681376,0.2,0.0003,0.062744140625,-0.001008812041254714,34920.79425048828,0.6781461536884308,,
14,459.34,837,273,1943.3756,229376,2600,9424.9306640625,-1.9424607910215854,0.39412298798561096,0.0063345637,0.2,0.0003,0.04766845703125,-0.0010165780295210425,31324.571691894533,0.6895427107810974,,
15,430.93,899,273,1971.8578,245760,2610,11640.9833984375,-1.9422117725014687,0.3940284252166748,0.0062907105,0.2,0.0003,0.046368408203125,-0.0002791509345115628,35093.061767578125,0.6518034934997559,,
16,386.81,960,273,1672.3289,262144,2620,13023.2490234375,-1.94130836725235,0.39396238327026367,0.005842285,0.2,0.0003,0.043756103515625,-0.0008929988624004181,42673.613940429685,0.5705215334892273,,
17,403.94,1020,272,1798.4979,278528,2630,12622.24609375,-1.9406678520143033,0.39390164613723755,0.006632439,0.2,0.0003,0.054852294921875,0.000269721397489775,45322.28369140625,0.49359744787216187,,
18,421.32,1080,272,1860.1295,294912,2640,9767.1630859375,-1.9401674814522267,0.39384937286376953,0.007300671,0.2,0.0003,0.05477294921875,0.0004890872653049883,36855.52456054687,0.6394825875759125,,
19,444.69,1140,272,2236.9827,311296,2650,8806.2451171875,-1.9394958928227424,0.3937801122665405,0.0050843656,0.2,0.0003,0.034918212890625,0.0006361962517985375,31796.973303222658,0.6660758256912231,,
20,450.1,1202,272,2240.002,327680,2660,7837.4150390625,-1.9392783641815186,0.39381760358810425,0.005152034,0.2,0.0003,0.03155517578125,0.00038972003530943764,32855.10130615234,0.6570537388324738,,
21,459.11,1262,272,2255.0928,344064,2670,8975.9697265625,-1.939219767600298,0.3937620520591736,0.004932778,0.2,0.0003,0.0339599609375,-9.452829617657698e-05,33612.998443603516,0.663437008857727,,
22,453.48,1322,272,2094.626,360448,2680,8166.37841796875,-1.938707808405161,0.39371711015701294,0.007305787,0.2,0.0003,0.0609375,-0.0010851301209186203,35869.52795410156,0.6063692271709442,,
23,447.6,1382,272,2266.2158,376832,2690,11002.1748046875,-1.938165056705475,0.3936581015586853,0.0054145455,0.2,0.0003,0.0373046875,-0.00023281449211935977,42693.547143554686,0.5096264779567719,,
24,445.84,1442,272,2269.912,393216,2700,12796.7109375,-1.9377721942961217,0.39364543557167053,0.0061679017,0.2,0.0003,0.0446044921875,-0.00026911481545539574,38812.3235961914,0.5331589579582214,,
25,458.34,1502,272,2308.73,409600,2710,11585.275390625,-1.937323060631752,0.3935662508010864,0.005967414,0.2,0.0003,0.04329833984375,-3.076151624554768e-05,37974.6673461914,0.5734502971172333,,
26,462.39,1563,272,2373.6362,425984,2720,9537.5537109375,-1.936597054451704,0.39351338148117065,0.007762459,0.2,0.0003,0.060845947265625,0.0021675722899090035,33377.60727539063,0.6235533058643341,,
27,455.46,1623,272,2219.335,442368,2730,9042.0712890625,-1.9361112266778946,0.3934580385684967,0.0058106435,0.2,0.0003,0.039013671875,-0.00034191088925581423,34423.71770019531,0.6244308650493622,,
28,441.17,1683,272,2029.2756,458752,2740,10196.1552734375,-1.9354878045618533,0.39339226484298706,0.005670492,0.2,0.0003,0.040313720703125,-0.0004264206392690539,33628.213006591795,0.6464048027992249,,
29,454.68,1743,272,2273.1382,475136,2750,11927.171875,-1.9349368169903756,0.3933667838573456,0.005258891,0.2,0.0003,0.032537841796875,0.00036083445011172446,41881.204064941405,0.623370349407196,,
30,474.79,1804,272,2474.755,491520,2760,7531.3662109375,-1.9351119823753833,0.39345717430114746,0.004720901,0.2,0.0003,0.03382568359375,-4.574534250423312e-05,30044.564935302733,0.6551329791545868,,
31,502.42,1864,272,2870.137,507904,2770,7478.1318359375,-1.9354417875409127,0.3934081792831421,0.0039833314,0.2,0.0003,0.024334716796875,0.00033399802341591565,27949.267651367187,0.7216225564479828,,
32,504.68,1923,272,2773.0242,524288,2780,5614.63134765625,-1.9351515986025334,0.393406480550766,0.006675763,0.2,0.0003,0.0521240234375,0.001742130571801681,30380.730395507813,0.6518696844577789,,
33,460.87,1982,272,2397.9226,540672,2790,6889.17578125,-1.9352973200380803,0.3934323787689209,0.0058381446,0.2,0.0003,0.041693115234375,-0.0008484187623253092,29084.319946289062,0.6748445630073547,,
34,440.01,2041,272,2127.0974,557056,2800,10926.4912109375,-1.9351590931415559,0.39336133003234863,0.0076635075,0.2,0.0003,0.057513427734375,0.0005729211967263837,35294.82465209961,0.6417345404624939,,
35,423.87,2100,273,2047.6423,573440,2810,6703.17431640625,-1.9346134215593338,0.39334186911582947,0.0069200033,0.2,0.0003,0.058197021484375,0.00026855618270928974,35833.0758972168,0.6367772817611694,,
36,455.98,2159,273,2401.0835,589824,2820,6897.845703125,-1.934383074939251,0.3933173418045044,0.0052666673,0.2,0.0003,0.0386962890625,-0.00029751702095381916,32235.586047363282,0.6793456375598907,,
37,464.39,2219,273,2276.128,606208,2830,7288.6123046875,-1.9343832917511463,0.39335334300994873,0.0061746566,0.2,0.0003,0.05743408203125,0.001032424927689135,28200.818865966798,0.672208160161972,,
38,483.24,2277,273,2529.2502,622592,2840,10484.3896484375,-1.93456656858325,0.3933471441268921,0.007234958,0.2,0.0003,0.05364990234375,0.0014797869305766653,37742.00322265625,0.5971855223178864,,
39,474.92,2337,273,2465.1409,638976,2850,8076.71337890625,-1.9343532204627991,0.39330679178237915,0.0054314295,0.2,0.0003,0.03963623046875,-0.000587434034969192,30189.97719116211,0.713616281747818,,
40,449.25,2396,273,2394.8523,655360,2860,8310.2265625,-1.933908750861883,0.3932708501815796,0.0061246566,0.2,0.0003,0.05247802734375,-0.0007052433953504078,29874.186309814453,0.6723415851593018,,
41,426.28,2455,273,2123.7334,671744,2870,12248.6962890625,-1.9334109522402287,0.39321085810661316,0.005545593,0.2,0.0003,0.0469970703125,-0.0003836801748548169,38722.08504638672,0.6054254174232483,,
42,429.5,2515,273,2212.1177,688128,2880,9039.517578125,-1.9327893085777759,0.3931502103805542,0.0056988243,0.2,0.0003,0.043255615234375,-0.0015543173212790862,31252.15524902344,0.6714193522930145,,
43,441.42,2574,273,2337.4453,704512,2890,8854.3427734375,-1.9324473485350608,0.39315715432167053,0.0051316675,0.2,0.0003,0.03057861328125,-0.0003416556828597095,31521.77752075195,0.6935087442398071,,
44,443.96,2634,273,2130.8838,720896,2900,7537.46728515625,-1.9323443487286567,0.39312121272087097,0.004596683,0.2,0.0003,0.028790283203125,0.0007310365472221747,30408.885620117188,0.6786118149757385,,
45,440.97,2693,273,2067.6008,737280,2910,8590.689453125,-1.9322693459689617,0.39316466450691223,0.005270335,0.2,0.0003,0.0399658203125,0.00035182485444238407,28031.52702636719,0.7026248872280121,,
46,425.94,2753,273,1822.3573,753664,2920,9874.578125,-1.9323740668594838,0.393123984336853,0.005214241,0.2,0.0003,0.042340087890625,0.00021805166361446026,34752.31836547852,0.6145469844341278,,
47,411.71,2813,273,1739.423,770048,2930,7961.107421875,-1.9320759661495686,0.393110990524292,0.0063795173,0.2,0.0003,0.04696044921875,-5.39912362000905e-06,35487.31376953125,0.5985052585601807,,
48,390.7,2872,273,1545.5079,786432,2940,10233.0625,-1.931898019462824,0.39309436082839966,0.0054691206,0.2,0.0003,0.032672119140625,-0.0010426177701447158,34430.373626708984,0.6363599896430969,,
