time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/std,train/n_updates
56,-223.44829,32768,301.0,575,1,,,,,,,,,,,
156,-135.27293,65536,301.0,419,2,0.1217681884765625,79.67141991704702,0.2,0.0001,-0.013120303257164779,0.008593559,36.83223342895508,-5.668213371932507,0.0003631114959716797,0.9974656105041504,10
256,18.523052,98304,301.0,382,3,0.1532623291015625,103.72947646826506,0.2,0.0001,-0.017371201209016363,0.010787096,54.80636215209961,-5.650449473131448,0.34173232316970825,0.9913110733032227,20
357,161.98712,131072,301.0,366,4,0.1746337890625,414.75937757194043,0.2,0.0001,-0.018088789007424565,0.0111956475,98.12694549560547,-5.609996573626995,0.2685927152633667,0.9816275835037231,30
459,170.45354,163840,301.0,356,5,0.1322052001953125,2558.4728736698626,0.2,0.0001,-0.009718840900177383,0.009481102,105.98796844482422,-5.566923674102872,0.10434263944625854,0.9675036668777466,40
562,113.30539,196608,301.0,349,6,0.1000152587890625,2475.233673042059,0.2,0.0001,-0.007257005945280071,0.0076578204,2396.548583984375,-5.51181859774515,0.04501545429229736,0.9570437669754028,50
665,63.065365,229376,301.0,344,7,0.082025146484375,1977.662701833248,0.2,0.0001,-0.005533197315389771,0.0072301407,214.382080078125,-5.478587189223617,0.021649718284606934,0.9505607485771179,60
768,-6.4888124,262144,301.0,341,8,0.0471282958984375,1624.5828199625016,0.2,0.0001,-0.003797439639129152,0.0052848374,114.18400573730469,-5.456696103047579,0.1059727668762207,0.9441716074943542,70
872,-26.52993,294912,301.0,338,9,0.034234619140625,801.9695253938437,0.2,0.0001,-0.0029238014559723525,0.004389067,117.12774658203125,-5.429264713730663,0.4585670232772827,0.9380322694778442,80
976,-61.63149,327680,301.0,335,10,0.0201690673828125,525.0644408091903,0.2,0.0001,-0.0018785750413826464,0.0036145966,2217.480224609375,-5.397675294987858,0.7143809497356415,0.9298481345176697,90
1081,-40.593994,360448,301.0,333,11,0.014483642578125,563.431870162487,0.2,0.0001,-0.0013539084497097066,0.003412706,167.207275390625,-5.366892566904426,0.7877383381128311,0.9229753613471985,100
1187,-45.656483,393216,301.0,331,12,0.01600341796875,880.7581102341413,0.2,0.0001,-0.001911507884688035,0.0038376935,190.59877014160156,-5.340650748275221,0.7710082828998566,0.9171688556671143,110
1293,-35.60066,425984,301.0,329,13,0.018896484375,949.8494048893451,0.2,0.0001,-0.001975212309093877,0.0039365883,164.89015197753906,-5.331657453719527,0.7757789194583893,0.917535662651062,120
1399,-32.886898,458752,301.0,327,14,0.0358551025390625,364.6166491448879,0.2,0.0001,-0.003689574853160593,0.005187314,213.716796875,-5.31156245842576,0.9000698551535606,0.9107470512390137,130
1507,-11.75984,491520,301.0,326,15,0.0342376708984375,363.76627912819384,0.2,0.0001,-0.0033116898360731283,0.004830078,136.15817260742188,-5.285377085674554,0.9028990045189857,0.9051644802093506,140
1615,47.86025,524288,301.0,324,16,0.0385009765625,381.07748253941537,0.2,0.0001,-0.0038078089182363327,0.0045755575,279.428466796875,-5.265478679724038,0.8919592350721359,0.9015083312988281,150
1723,105.170944,557056,301.0,323,17,0.0261566162109375,646.7906374841929,0.2,0.0001,-0.002243457462918741,0.004399442,249.6942901611328,-5.251318058185279,0.8235767185688019,0.8984870910644531,160
1831,112.85914,589824,301.0,321,18,0.0192352294921875,1210.5329591423274,0.2,0.0001,-0.001746798598787791,0.0036719465,146.21853637695312,-5.246477871574461,0.6764941513538361,0.8997071385383606,170
1940,141.1018,622592,301.0,320,19,0.0297637939453125,319.6324134856462,0.2,0.0001,-0.0029111231398474048,0.0045158262,178.98208618164062,-5.230359613709152,0.8680675178766251,0.8919728994369507,180
2049,174.5659,655360,301.0,319,20,0.044635009765625,601.2981732696295,0.2,0.0001,-0.004867055014392463,0.005718494,177.46002197265625,-5.205851632449776,0.7521668523550034,0.8887583017349243,190
2158,212.52258,688128,301.0,318,21,0.05831298828125,1463.934573417902,0.2,0.0001,-0.004129400121883009,0.0061622276,2531.331787109375,-5.17355679916218,0.5723104178905487,0.879156231880188,200
2268,297.21878,720896,301.0,317,22,0.055865478515625,1458.8341314673423,0.2,0.0001,-0.004712026591664653,0.0057547414,157.38075256347656,-5.142074976302683,0.5787529945373535,0.8752183318138123,210
2377,359.0034,753664,301.0,316,23,0.0481170654296875,1987.5200906068087,0.2,0.0001,-0.002628389312803847,0.0055559473,215.9104766845703,-5.127172750234604,0.392924427986145,0.8718451857566833,220
2486,357.2808,786432,301.0,316,24,0.05531005859375,2685.1178187936544,0.2,0.0001,-0.003527151726075317,0.006052339,7296.17333984375,-5.092212395556271,0.28221285343170166,0.8626060485839844,230
2598,313.35153,819200,301.0,315,25,0.0521575927734375,2158.4952587127686,0.2,0.0001,-0.003188141288273982,0.0057136836,253.4552001953125,-5.055664099846036,0.294600248336792,0.855025053024292,240
2710,370.96472,851968,301.0,314,26,0.0593170166015625,2189.650668618083,0.2,0.0001,-0.002966322850306824,0.0055199782,2308.490478515625,-5.024393175542355,0.29993319511413574,0.8488582372665405,250
2822,342.77704,884736,301.0,313,27,0.0588531494140625,2518.2736133158205,0.2,0.0001,-0.0023369048489939813,0.0059426012,237.6532745361328,-4.99683437962085,0.2044946551322937,0.8439496755599976,260
2935,351.7757,917504,301.0,312,28,0.035296630859375,1887.235445970297,0.2,0.0001,-0.0006020068459974936,0.0048007597,204.88821411132812,-4.962530800979584,0.24040228128433228,0.8353679776191711,270
