time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
13,301.0,-546.963,425984,266,1596,227.13223266601562,0.3152550458908081,0.039345652,0.7416709661483765,740,0.00397277679594481,-4.485862571001053,0.3428741455078125,2270.8165704220532,0.001,0.2
14,301.0,-363.891,458752,265,1727,302.2012023925781,0.35910892486572266,0.038821355,0.7385739684104919,750,0.004115994982589655,-4.457854917366058,0.331781005859375,2556.11635261476,0.001,0.2
15,299.6,-461.0333,491520,264,1859,442.5849914550781,0.32558465003967285,0.03410936,0.7387192249298096,760,0.0033977660045366063,-4.453905700612813,0.317779541015625,3234.0889039188623,0.001,0.2
16,299.04,-447.6,524288,263,1989,218.46327209472656,0.4302998185157776,0.030530516,0.7335121631622314,770,0.002383767987646479,-4.442525964044035,0.3050811767578125,2790.831126374006,0.001,0.2
17,300.9,-507.81003,557056,262,2121,435.6419677734375,0.45216041803359985,0.03217275,0.7260316014289856,780,0.0023431553628597613,-4.394351419620216,0.316790771484375,2579.6138551682234,0.001,0.2
18,298.45,-545.95154,589824,261,2252,664.2346801757812,0.4557758569717407,0.031834483,0.7212767004966736,790,0.0002305891642208735,-4.367659316584468,0.30135498046875,2619.3003731757403,0.001,0.2
19,294.68,-659.0299,622592,261,2383,733.3590698242188,0.559896856546402,0.031342745,0.7220144867897034,800,0.0014886103136404927,-4.36266887364909,0.299542236328125,2875.859699779749,0.001,0.2
20,299.77,-533.2428,655360,260,2514,190.20401000976562,0.4833330512046814,0.032077264,0.7192912101745605,810,0.0018689081478669323,-4.362094777729363,0.3128875732421875,2590.074308410287,0.001,0.2
21,298.48,-403.66788,688128,260,2646,396.1661071777344,0.4991121292114258,0.03216859,0.7184602618217468,820,0.001847139024766875,-4.3370153625495735,0.3088165283203125,2848.310116505623,0.001,0.2
22,297.39,-583.7419,720896,259,2777,396.60699462890625,0.5548072755336761,0.030961502,0.7160224914550781,830,0.0022028738958852047,-4.332238400168717,0.3119384765625,3176.0191500008104,0.001,0.2
23,301.0,-351.01678,753664,259,2908,515.6242065429688,0.518654078245163,0.03279934,0.7114028930664062,840,0.00016484175050663908,-4.314521862287075,0.31278076171875,2735.6521508574488,0.001,0.2
24,299.43,-482.38058,786432,258,3039,263.9864807128906,0.5766352415084839,0.03156303,0.7127668857574463,850,0.002033327341268887,-4.312404416780919,0.2985443115234375,2861.7870221316816,0.001,0.2
25,297.19,-430.90164,819200,258,3170,374.7601623535156,0.6130319833755493,0.034197163,0.7087284326553345,860,0.0002636595757167015,-4.303026751615107,0.318927001953125,2689.1579573750496,0.001,0.2
26,298.05,-358.29953,851968,258,3301,746.5921630859375,0.5709044933319092,0.031961743,0.7033361792564392,870,0.002255160135518963,-4.2653659912757576,0.3154754638671875,2767.7173730373383,0.001,0.2
27,294.31,-357.54828,884736,257,3432,523.6624145507812,0.5546329319477081,0.030105066,0.7010350227355957,880,3.792006018557004e-05,-4.25891395509243,0.29461669921875,2724.2794324040415,0.001,0.2
28,298.48,-412.3023,917504,257,3565,513.9017333984375,0.3616074323654175,0.031943932,0.7007272839546204,890,0.0019577160474455015,-4.249712594505399,0.3127471923828125,4327.506460207701,0.001,0.2
29,296.77,-363.8931,950272,256,3699,567.903076171875,0.3913882374763489,0.029363133,0.7006185054779053,900,0.0013588251364240022,-4.23785384260118,0.2946533203125,3655.5214449882506,0.001,0.2
30,299.43,-316.8166,983040,256,3832,312.967041015625,0.49478399753570557,0.03041104,0.6976515650749207,910,0.0003416406804717553,-4.235437126923353,0.301593017578125,3368.1789425849915,0.001,0.2
31,296.02,-631.10315,1015808,256,3966,750.5750732421875,0.4874346852302551,0.029667933,0.696691632270813,920,0.001459195534016544,-4.214465129189193,0.297052001953125,2946.235217010975,0.001,0.2
