rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
1070.93,360448,344,4145.259,11,1047,16019.7431640625,-1.9446386076509952,0.0001,0.32824766635894775,0.3943275511264801,0.0053625302,2570,0.025634765625,43026.8595703125,0.2,0.0003625906327215489,,
1039.13,393216,345,3729.1665,12,1138,42131.890625,-1.9445482552051545,0.0001,0.25809311866760254,0.3943069577217102,0.0048625534,2580,0.025750732421875,148161.27976074218,0.2,0.001190673424571287,,
1044.96,425984,345,3928.4963,13,1231,16213.439453125,-1.9443243443965912,0.0001,0.34024494886398315,0.39427465200424194,0.0048854114,2590,0.0208709716796875,44786.04530029297,0.2,-0.0009890620574878994,,
1018.73,458752,346,3756.843,14,1325,17690.08203125,-1.9440323196351528,0.0001,0.35306018590927124,0.3942510485649109,0.0050372854,2600,0.030389404296875,49617.37026367187,0.2,-9.049397485796362e-05,,
1041.65,491520,346,4356.725,15,1417,161588.671875,-1.9440048307180404,0.0001,0.30864763259887695,0.3942747414112091,0.0047379374,2610,0.0259063720703125,240252.4783203125,0.2,-0.0009930486245139035,,
1082.46,524288,346,4703.381,16,1512,16942.677734375,-1.9441623598337174,0.0001,0.5427837371826172,0.3942694664001465,0.0048762895,2620,0.02457275390625,45030.526818847655,0.2,-0.0009274541211198084,,
1108.05,557056,347,5240.2324,17,1601,16696.8203125,-1.9439520850777625,0.0001,0.6178471744060516,0.3942297101020813,0.0057140756,2630,0.0310546875,44757.617199707034,0.2,9.398958063684404e-05,,
1123.26,589824,348,5671.8457,18,1693,14605.6025390625,-1.9435322627425193,0.0001,0.5222870707511902,0.39419469237327576,0.004517499,2640,0.020343017578125,40923.32440185547,0.2,-0.00046013573446543885,,
1145.64,622592,348,6304.2876,19,1788,18931.9765625,-1.9430541083216668,0.0001,0.576741099357605,0.3941342830657959,0.0052716155,2650,0.028326416015625,46923.790625,0.2,-0.0006364209708408453,,
1158.88,655360,347,7063.323,20,1885,18295.150390625,-1.9426533691585064,0.0001,0.5885767638683319,0.39412662386894226,0.0045311972,2660,0.0228485107421875,47102.45021972656,0.2,-9.657816772232764e-05,,
1175.79,688128,347,7335.3296,21,1981,19037.3203125,-1.9424209468066693,0.0001,0.6731782555580139,0.39407894015312195,0.0051077204,2670,0.0280303955078125,47347.2478515625,0.2,0.00032259503277600745,,
1171.33,720896,347,7643.084,22,2074,26589.33203125,-1.9420558981597424,0.0001,0.5531337261199951,0.39406466484069824,0.0042247716,2680,0.021185302734375,67733.16274414063,0.2,0.00031885041535133495,,
1153.04,753664,347,7425.7104,23,2171,20909.08203125,-1.941946490108967,0.0001,0.3829600214958191,0.3940485715866089,0.005943059,2690,0.036248779296875,49814.076879882814,0.2,0.00033719698840286585,,
1201.93,786432,346,7706.4424,24,2269,17836.474609375,-1.941937294602394,0.0001,0.5352259278297424,0.39406412839889526,0.0049024792,2700,0.022119140625,44577.535705566406,0.2,-0.0001040548930177465,,
