rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/std,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
301.0,90112,57,11,-363.11313,1571,0.32402360439300537,531.6791229248047,2570,0.2,0.0001,0.3956344723701477,0.009003336,-0.0005806220426165965,0.08099365234375,194.2581024169922,-1.9579373728483915,,
301.0,98304,57,12,-351.06613,1702,0.3638300895690918,606.5062569618225,2580,0.2,0.0001,0.3959207832813263,0.007864198,-0.002047308768669609,0.07154541015625,236.98110961914062,-1.9591463193297387,,
301.0,106496,58,13,-284.02512,1835,-0.01600337028503418,501.5647396087646,2590,0.2,0.0001,0.3944833278656006,0.009356376,-0.0028146690769062844,0.09593505859375,157.10971069335938,-1.9530361104756593,,
301.0,114688,58,14,-253.74902,1967,-0.20439481735229492,415.2363210678101,2600,0.2,0.0001,0.3938906788825989,0.009013541,-0.0013267530586745125,0.0899658203125,108.69374084472656,-1.9409759558737278,,
302.0,122880,58,15,-199.15262,2099,0.19653552770614624,458.16907691955566,2610,0.2,0.0001,0.3940085768699646,0.009099044,-0.001987673000985524,0.0911376953125,160.63363647460938,-1.9383893497288227,,
305.0,131072,58,16,-101.84922,2234,0.16687476634979248,1330.8324810028075,2620,0.2,0.0001,0.3936130702495575,0.0052784905,-0.0012681414285907523,0.04432373046875,288.8114929199219,-1.9371387381106615,,
307.0,139264,58,17,-136.21611,2366,0.09962201118469238,1706.3071745872498,2630,0.2,0.0001,0.39358237385749817,0.005610618,-0.0012911623547552154,0.0560546875,467.32806396484375,-1.9348724372684956,,
307.0,147456,58,18,-104.95404,2501,0.08148205280303955,2113.523340797424,2640,0.2,0.0001,0.3934493958950043,0.0068201465,-0.0008026623821933754,0.0554931640625,953.9147338867188,-1.9338993929326533,,
307.0,155648,58,19,-21.925425,2640,-0.034134745597839355,535.9532536506653,2650,0.2,0.0001,0.39401599764823914,0.0067700627,-0.000856957069481723,0.06083984375,204.5161895751953,-1.935224425047636,,
310.0,163840,58,20,21.156567,2777,0.5798343420028687,1580.1378900527955,2660,0.2,0.0001,0.39404669404029846,0.007271226,-0.0010193284135311842,0.0668701171875,329.8717956542969,-1.9382703013718128,,
