time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
11,301.0,360448,650,554,-89.09789,-5.658817711472511,0.0040138867,0.0015898942947387695,100,362.1546630859375,902.8287933349609,0.2,1e-05,0.008331298828125,0.9957183599472046,-0.0014467635279288515
12,301.0,393216,709,554,-105.10858,-5.658542926609516,0.0006616756,0.012386858463287354,110,400.60565185546875,939.891710472107,0.2,1e-05,0.0,0.9957085847854614,-0.00031811919889150885
13,301.0,425984,768,554,-115.50142,-5.658465111255646,0.0007625496,0.04027211666107178,120,397.8226013183594,1024.1250928878785,0.2,1e-05,0.0,0.9956700801849365,-0.0004857131958488026
14,301.0,458752,827,554,-103.22707,-5.658389228582382,0.00037900938,0.07046407461166382,130,498.6936340332031,1384.1623607635497,0.2,1e-05,0.0,0.9956777691841125,-0.00041476470523775787
15,301.0,491520,888,553,-118.66792,-5.658375698328018,4.847395e-05,0.06881630420684814,140,907.7156372070312,2631.7987129211424,0.2,1e-05,0.0,0.9956623315811157,-0.00012371405937301462
16,301.0,524288,947,553,-157.49434,-5.658310359716415,7.509359e-05,0.16428494453430176,150,753.2056884765625,1425.839389038086,0.2,1e-05,0.0,0.99564528465271,-0.00013095585563860368
17,301.0,557056,1006,553,-179.57143,-5.658271209895611,4.6787394e-05,0.2964029312133789,160,360.2949523925781,1015.0370141983033,0.2,1e-05,0.0,0.9956420660018921,-9.889889370242599e-05
18,301.0,589824,1065,553,-138.11617,-5.658278001844883,2.6634889e-05,0.3017203211784363,170,411.1433410644531,1290.5259160995483,0.2,1e-05,0.0,0.9956483840942383,-2.2271330999501514e-05
19,301.0,622592,1125,553,-149.14322,-5.658326438069343,1.3394138e-05,0.2651910185813904,180,1521.7530517578125,1919.6774869918822,0.2,1e-05,0.0,0.9956659078598022,-2.0429371943464503e-05
20,301.0,655360,1184,553,-199.65428,-5.658385825157166,5.4284363e-05,0.38876092433929443,190,442.0257568359375,1355.9983533859254,0.2,1e-05,0.0,0.9956786632537842,-0.00010395188510301523
21,301.0,688128,1243,553,-202.78668,-5.658437766134739,9.3305294e-05,0.5392705202102661,200,359.0771484375,792.0901643753052,0.2,1e-05,0.0,0.9956907629966736,-0.00012573570202221163
22,301.0,720896,1303,553,-188.89706,-5.658516097068786,6.675845e-05,0.4849475026130676,210,400.21124267578125,1023.2837516784668,0.2,1e-05,0.0,0.9957202672958374,-7.59911839850247e-05
23,301.0,753664,1362,553,-193.00446,-5.658645106852054,0.00018624916,0.5151028633117676,220,432.15960693359375,973.8638872146606,0.2,1e-05,0.0,0.9957525134086609,-0.00019324215172673577
24,301.0,786432,1421,553,-163.6834,-5.658703809976577,0.000102052305,0.6408608555793762,230,343.6619567871094,670.537745666504,0.2,1e-05,0.0,0.9957457184791565,-7.186721268226393e-05
25,301.0,819200,1480,553,-170.17717,-5.658662013709545,2.3492932e-05,0.47686052322387695,240,935.5149536132812,1286.5704256057738,0.2,1e-05,0.0,0.9957351684570312,-2.8877109252789522e-05
26,301.0,851968,1540,553,-171.8023,-5.658735817670822,0.00011373959,0.4464929699897766,250,658.8253784179688,1568.7556127548219,0.2,1e-05,0.0,0.9957888722419739,-0.00011393805707484716
27,301.0,884736,1599,553,-183.50949,-5.658962994813919,0.00042319205,0.6647692620754242,260,317.2611999511719,674.0609336853028,0.2,1e-05,0.0,0.9958438277244568,-0.00027881245950993615
28,301.0,917504,1658,553,-177.2994,-5.658966317772865,0.0009656654,0.6730785369873047,270,327.8572082519531,638.6630838394165,0.2,1e-05,6.103515625e-06,0.9957877993583679,-0.0004540816447843099
29,301.0,950272,1717,553,-213.05927,-5.6588279262185095,0.0009222333,0.5746115744113922,280,553.8543701171875,964.7805826187134,0.2,1e-05,0.0,0.9957759380340576,-0.0004238009772961959
30,301.0,983040,1777,553,-159.9909,-5.658919383585453,0.0013556997,0.685752660036087,290,348.01043701171875,756.3983085632324,0.2,1e-05,2.44140625e-05,0.9958397150039673,-0.000576043553155614
31,301.0,1015808,1836,553,-145.99681,-5.659145678579807,0.00010501615,0.4519500136375427,300,830.271728515625,1625.5208461761474,0.2,1e-05,0.0,0.995876669883728,-4.619966239260975e-05
