rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
892.4444444444445,32768,1,361,90,2581.2285,,,,,,,,,,,,,
935.5322580645161,65536,2,332,196,2997.4019,0.0029377200316048403,0.39428049325942993,0.130712890625,0.06817358732223511,0.2,0.0001,7465.23095703125,0.01162793,34759.62762298584,2480,-1.945765135763213,,
911.2783505154639,98304,3,295,332,2900.3975,0.00294851674734673,0.3941258192062378,0.1041229248046875,0.14695650339126587,0.2,0.0001,9457.6748046875,0.010599001,31528.66029586792,2490,-1.9433198689483107,,
938.78,131072,4,283,461,3151.0215,0.00047148368630587354,0.394065797328949,0.0852325439453125,0.225050687789917,0.2,0.0001,6593.7109375,0.008952888,29828.782165908815,2500,-1.9422518239356577,,
949.45,163840,5,280,583,3542.8838,-0.0005171356920982362,0.39395779371261597,0.0775177001953125,0.21245932579040527,0.2,0.0001,14597.583984375,0.007925744,31548.317097091676,2510,-1.9412976378109306,,
971.56,196608,6,280,701,4085.454,0.0005376403660193319,0.39386221766471863,0.0650177001953125,0.30752497911453247,0.2,0.0001,8040.58837890625,0.0075449124,31771.47470970154,2520,-1.9403204726055265,,
972.6,229376,7,280,817,4443.458,0.00021966642179904738,0.39381974935531616,0.082073974609375,0.32625705003738403,0.2,0.0001,11528.611328125,0.008397442,31900.093837356566,2530,-1.9395403617527336,,
974.46,262144,8,280,935,4545.537,0.0013690752086404246,0.3938435912132263,0.0483551025390625,0.33116620779037476,0.2,0.0001,7871.76220703125,0.0061562005,29208.33310928345,2540,-1.9394202837720513,,
993.97,294912,9,277,1064,4966.236,0.0003051251847864478,0.393736332654953,0.057977294921875,0.35455578565597534,0.2,0.0001,9456.03125,0.0069119134,28862.17836074829,2550,-1.939033540058881,,
1006.88,327680,10,275,1187,5332.3394,4.63454582131817e-05,0.3937642574310303,0.062347412109375,0.30318284034729004,0.2,0.0001,10863.802734375,0.0071268594,34352.027815628055,2560,-1.9386389646679163,,
1004.83,360448,11,276,1304,4809.6924,-3.363395080668852e-07,0.39369839429855347,0.047747802734375,0.3761211633682251,0.2,0.0001,10424.294921875,0.0063562896,30274.13321609497,2570,-1.938368166424334,,
1010.93,393216,12,276,1422,4542.1953,0.0009428169183593127,0.3936004042625427,0.063482666015625,0.34050965309143066,0.2,0.0001,15737.03125,0.006694928,26474.623373031616,2580,-1.9374957092106342,,
995.9,425984,13,276,1538,4079.2546,0.0005078001755464357,0.39352017641067505,0.05899658203125,0.3051259517669678,0.2,0.0001,5902.806640625,0.0069232453,26202.120104026795,2590,-1.9365587485022844,,
1022.74,458752,14,276,1659,4506.3813,-0.0001311224381424836,0.3933914005756378,0.049456787109375,0.3196762204170227,0.2,0.0001,9419.9482421875,0.006471038,29901.75169029236,2600,-1.935550592187792,,
