time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
270,301.0,657.4825,417792,1544,51,11789.790519714355,500,0.005709781,0.051904296875,0.9689692258834839,2653.36328125,-0.0010082407185109331,0.2,0.001,0.15794599056243896,-5.550464031100273,,
270,301.0,679.16705,425984,1572,52,10596.656185913085,510,0.0041501415,0.03341064453125,0.9688291549682617,3360.546142578125,-0.00013416216970654204,0.2,0.001,0.24969398975372314,-5.547405755519867,,
271,301.0,639.8114,434176,1600,53,9593.833029174804,520,0.004626203,0.0544921875,0.9679912328720093,6228.85791015625,-0.00014802014484303073,0.2,0.001,0.24819564819335938,-5.54608801305294,,
271,301.0,700.39514,442368,1628,54,13670.701904296875,530,0.003107574,0.013916015625,0.9674106240272522,5577.71875,-0.0004174447247351054,0.2,0.001,0.2868868112564087,-5.542253252863884,,
272,301.0,697.5965,450560,1656,55,14247.459417724609,540,0.0052389917,0.0436767578125,0.9662749171257019,4588.9521484375,0.00016697236133040861,0.2,0.001,0.1445205807685852,-5.539165848493576,,
272,301.0,680.4129,458752,1684,56,8896.934097290039,550,0.0067340937,0.05855712890625,0.9662255048751831,2690.90380859375,-0.0015397046110592783,0.2,0.001,0.29775023460388184,-5.536189821362496,,
272,301.0,607.34045,466944,1711,57,9014.216760253907,560,0.0028781616,0.0176025390625,0.9649335145950317,4554.96142578125,-0.00035014101886190476,0.2,0.001,0.26590943336486816,-5.5336721539497375,,
273,301.0,608.3248,475136,1739,58,7731.666632080078,570,0.0029688375,0.01934814453125,0.9642014503479004,4437.83447265625,-0.0010100493032950907,0.2,0.001,0.3574928641319275,-5.528561145067215,,
273,301.0,622.0744,483328,1766,59,11996.507669067383,580,0.003276891,0.0222900390625,0.9634254574775696,4236.4130859375,0.00012667751288972796,0.2,0.001,0.323674738407135,-5.525449877977371,,
273,301.0,633.8376,491520,1794,60,8325.055766296387,590,0.0050782207,0.03634033203125,0.9620976448059082,4472.4462890625,-0.0019011348153071595,0.2,0.001,0.19433939456939697,-5.520887103676796,,
274,301.0,661.5443,499712,1821,61,9587.44224243164,600,0.0039565447,0.05430908203125,0.962489128112793,4000.292236328125,-0.0006868882563139777,0.2,0.001,0.25231146812438965,-5.518722423911095,,
274,301.0,625.7315,507904,1849,62,9693.505342102051,610,0.005616109,0.0351806640625,0.9604371786117554,3780.780029296875,-0.0012504155398346483,0.2,0.001,0.1614583134651184,-5.516128098964691,,
275,301.0,599.25684,516096,1876,63,6918.228079223632,620,0.0040444983,0.02664794921875,0.9614229202270508,2593.670166015625,-0.0013525445785489865,0.2,0.001,0.1050875186920166,-5.513552644848824,,
275,301.0,637.35425,524288,1904,64,7948.662838745117,630,0.003769416,0.01744384765625,0.9622478485107422,2870.288330078125,-0.0014970624572015368,0.2,0.001,0.1784803867340088,-5.517769977450371,,
275,301.0,684.48596,532480,1931,65,10487.613385009765,640,0.004419294,0.02557373046875,0.9615508317947388,2426.458251953125,-0.0006233388499822468,0.2,0.001,0.24642658233642578,-5.518256589770317,,
