time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,646,16384,961.9323,469.0,25,,,,,,,,,,,,,
2,441,32768,1258.3496,497.53333333333336,74,0.2,0.002865361857402604,0.006595730781555176,2480,5142.43896484375,0.0003,-1.9468414232134819,0.1209228515625,0.39447861909866333,0.0132464245,24066.171002197265,,
3,400,49152,1521.6779,519.0,122,0.2,0.0018721545005973895,0.18720883131027222,2490,5442.87158203125,0.0003,-1.9456806056201459,0.095220947265625,0.39434635639190674,0.01014378,23899.101141357423,,
4,381,65536,1779.7266,540.89,171,0.2,0.0010130856542673427,0.30678504705429077,2500,5238.17529296875,0.0003,-1.944652035087347,0.06954345703125,0.3942823112010956,0.0077482546,21837.212469482423,,
5,374,81920,1869.8247,545.6,218,0.2,-9.215882600983605e-05,0.3456175923347473,2510,4339.7900390625,0.0003,-1.9436056539416313,0.068548583984375,0.3941363990306854,0.008159928,18419.071478271486,,
6,366,98304,2079.1787,564.91,268,0.2,-0.00014866681085550225,0.3087499141693115,2520,6037.2138671875,0.0003,-1.9422097876667976,0.071820068359375,0.3940068781375885,0.008050915,22694.290997314452,,
7,359,114688,2247.2163,578.92,318,0.2,0.0013045436440734192,0.39338475465774536,2530,5236.0087890625,0.0003,-1.940473486483097,0.067071533203125,0.39379847049713135,0.007787414,19735.823696899413,,
8,355,131072,2601.018,599.83,368,0.2,-0.0008071799682511482,0.47429990768432617,2540,4918.6650390625,0.0003,-1.9387659177184104,0.059722900390625,0.3936864733695984,0.0073848544,19742.662139892578,,
9,351,147456,2975.3882,622.91,418,0.2,0.00047558566584484654,0.42284828424453735,2550,5388.1015625,0.0003,-1.9376489274203776,0.042156982421875,0.39356529712677,0.0057710027,20119.920208740234,,
10,349,163840,3287.0806,641.59,468,0.2,-0.0006627813869272359,0.4771559238433838,2560,5100.0078125,0.0003,-1.9363705165684224,0.0496337890625,0.39342445135116577,0.006196934,21916.04520263672,,
11,346,180224,3790.6755,677.96,520,0.2,-0.0007707132914219983,0.4989645481109619,2570,5859.44482421875,0.0003,-1.9353428527712822,0.057855224609375,0.3933778405189514,0.0068264054,19878.66671142578,,
12,345,196608,3815.5142,679.12,569,0.2,-0.001160043678828515,0.5207686722278595,2580,5570.134765625,0.0003,-1.934525066614151,0.041778564453125,0.39325660467147827,0.0055936202,21085.23709716797,,
13,343,212992,4157.8936,699.46,619,0.2,-0.0012137488381995353,0.558168888092041,2590,7296.921875,0.0003,-1.9335056856274604,0.04140625,0.3931874632835388,0.0050830184,24124.118298339843,,
14,341,229376,4588.1265,719.25,671,0.2,0.00018147675145883114,0.5529962778091431,2600,5378.69873046875,0.0003,-1.9329096652567386,0.048138427734375,0.3931429386138916,0.006276095,22284.30570678711,,
15,341,245760,4449.976,691.66,720,0.2,-7.59687834943179e-05,0.5483770370483398,2610,7715.490234375,0.0003,-1.932086668163538,0.035760498046875,0.3930107355117798,0.005411141,28469.984924316406,,
16,340,262144,4628.5044,687.38,770,0.2,-0.00020628672573366202,0.5457833111286163,2620,8445.205078125,0.0003,-1.9310181386768819,0.05322265625,0.3929212987422943,0.0064757923,30479.757794189452,,
17,338,278528,4912.502,698.82,821,0.2,-0.0008346399474248756,0.6134778559207916,2630,5594.47119140625,0.0003,-1.929949616640806,0.03345947265625,0.3928072452545166,0.00502447,25350.482635498047,,
18,337,294912,4905.102,694.14,872,0.2,-0.00011085260448453482,0.6417653560638428,2640,5242.2314453125,0.0003,-1.9292326144874097,0.04495849609375,0.39279705286026,0.0057663834,21533.937377929688,,
19,337,311296,4756.929,683.49,922,0.2,-0.0003196616202330915,0.5498782396316528,2650,7370.00537109375,0.0003,-1.9288563333451747,0.04298095703125,0.3927117884159088,0.0059700264,27094.14951171875,,
20,336,327680,5107.662,716.49,972,0.2,0.00018100205525115599,0.5009892284870148,2660,11481.455078125,0.0003,-1.9279817715287209,0.03614501953125,0.3926345705986023,0.005575887,30702.92508544922,,
21,336,344064,5430.6655,742.42,1023,0.2,-0.0008720908379473257,0.5941155552864075,2670,5756.6728515625,0.0003,-1.9272628419101239,0.037359619140625,0.3925512433052063,0.0056027574,21874.944482421874,,
22,335,360448,5576.6133,754.23,1075,0.2,0.00044086645320930986,0.6632290482521057,2680,7253.4248046875,0.0003,-1.926529973745346,0.02479248046875,0.39249658584594727,0.0044461302,24323.015997314455,,
23,333,376832,5936.754,775.93,1128,0.2,0.0001529927281808341,0.6159508228302002,2690,5926.46337890625,0.0003,-1.9254383645951747,0.049688720703125,0.3923310935497284,0.006255525,21097.86258544922,,
24,333,393216,6326.115,797.71,1180,0.2,0.00012402111096889711,0.5916944742202759,2700,8073.95166015625,0.0003,-1.9237007930874825,0.044744873046875,0.3921704590320587,0.0056695086,23572.276953125,,
25,332,409600,6351.964,789.49,1232,0.2,0.0002319366074516438,0.5742653906345367,2710,6869.65283203125,0.0003,-1.9223117865622044,0.04111328125,0.3920586109161377,0.0058616563,24601.28901977539,,
26,331,425984,6156.428,776.85,1283,0.2,0.000885262711381074,0.5113944709300995,2720,8119.58544921875,0.0003,-1.920816581696272,0.05478515625,0.3919042646884918,0.007281296,26422.363159179688,,
27,330,442368,6025.279,759.53,1336,0.2,-0.0005731554760131985,0.556484580039978,2730,9160.6884765625,0.0003,-1.9195407204329968,0.03607177734375,0.3918086886405945,0.0049212794,22861.309655761717,,
28,330,458752,5854.451,739.74,1386,0.2,-3.608539409469813e-05,0.6167745888233185,2740,6409.01416015625,0.0003,-1.9186474248766898,0.032415771484375,0.391724556684494,0.004406733,23565.474530029296,,
29,330,475136,6169.0376,757.76,1439,0.2,0.00011397455018595793,0.6078798472881317,2750,6055.080078125,0.0003,-1.9176177322864532,0.04207763671875,0.39161768555641174,0.005710637,23088.323608398438,,
30,329,491520,6048.1914,752.23,1490,0.2,-0.0017146372716524637,0.6845007538795471,2760,5752.06103515625,0.0003,-1.9168470159173012,0.035919189453125,0.3915831744670868,0.005427195,19273.62680053711,,
31,329,507904,6883.1323,813.16,1543,0.2,4.1864487138809635e-05,0.6454550921916962,2770,5183.08154296875,0.0003,-1.9164314582943915,0.05526123046875,0.3915282189846039,0.0067027314,20466.43685913086,,
32,328,524288,6799.7095,812.43,1594,0.2,8.591713922214694e-05,0.6394258737564087,2780,4624.763671875,0.0003,-1.915109484642744,0.038665771484375,0.39129838347435,0.005741541,21054.880743408205,,
33,328,540672,7063.1294,822.5,1647,0.2,0.001209866265708115,0.5681341886520386,2790,5591.646484375,0.0003,-1.9135418079793454,0.052117919921875,0.3912433981895447,0.0063278093,26458.83156738281,,
34,327,557056,7136.0107,831.2,1701,0.2,9.729590237839147e-06,0.590855747461319,2800,6726.1611328125,0.0003,-1.912999550253153,0.0244140625,0.3912011384963989,0.00454923,26031.708380126955,,
35,327,573440,6984.0938,816.31,1753,0.2,-0.00016204070634557867,0.6610639691352844,2810,5114.12451171875,0.0003,-1.9126944430172443,0.024053955078125,0.391180157661438,0.004576858,20037.331475830077,,
36,326,589824,6706.2754,789.98,1805,0.2,-0.0011524357498274185,0.6499718129634857,2820,7555.98095703125,0.0003,-1.912014763057232,0.04227294921875,0.39105358719825745,0.005831326,24308.522698974608,,
37,326,606208,7046.635,804.0,1856,0.2,-0.0008871988378814421,0.6793697774410248,2830,5519.4462890625,0.0003,-1.9109687708318233,0.029205322265625,0.39100342988967896,0.0045916233,20993.564471435548,,
38,326,622592,6781.858,794.06,1906,0.2,-0.0005915271089179441,0.6713231801986694,2840,5424.83544921875,0.0003,-1.910101455450058,0.05137939453125,0.39086470007896423,0.006526719,22103.655712890624,,
39,326,638976,6606.9673,779.16,1959,0.2,0.00036571507953340186,0.6727379262447357,2850,5906.36083984375,0.0003,-1.908864153176546,0.04827880859375,0.3907680809497833,0.0064485366,25865.428076171876,,
40,326,655360,6564.455,769.26,2009,0.2,-0.000793692221850506,0.7107588350772858,2860,6365.39111328125,0.0003,-1.9085429593920709,0.02938232421875,0.39080241322517395,0.0047642663,22011.425183105468,,
41,326,671744,6792.581,786.42,2059,0.2,-6.373358846758492e-05,0.7219495177268982,2870,7105.0849609375,0.0003,-1.9082545451819897,0.034393310546875,0.3906483054161072,0.005661116,22047.15311279297,,
