rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
-187.48346,1,301.0,420,78,32768,,,,,,,,,,,,,
-134.30617,2,301.0,418,156,65536,0.052001953125,6.937980651855469e-05,40.76797103881836,107.2478362083435,0.001,0.9993997812271118,10,-5.6713875323534015,-0.0036396047064044977,0.2,0.005172827,,
-68.88293,3,301.0,417,235,98304,0.0358123779296875,0.1602073311805725,52.447715759277344,125.57234694957734,0.001,0.9998270869255066,20,-5.6749710336327555,-0.004223828019530629,0.2,0.004991345,,
-78.3134,4,301.0,418,313,131072,0.037890625,0.101870596408844,354.472412109375,413.57049717903135,0.001,0.9986696243286133,30,-5.673484469950199,-0.003606143984507071,0.2,0.0051925774,,
-96.98254,5,301.0,418,391,163840,0.003912353515625,0.06461459398269653,256.01568603515625,891.5095197677613,0.001,0.9985244870185852,40,-5.6701435670256615,-0.0004494137398978637,0.2,0.0030538258,,
2.367951,6,301.0,419,468,196608,0.0282135009765625,0.1517309546470642,59.99657440185547,634.7872389078141,0.001,0.9979031085968018,50,-5.668234473466873,-0.0016518031607120065,0.2,0.0042996397,,
42.896286,7,301.0,419,546,229376,0.0349609375,0.0963280200958252,266.94598388671875,810.9284856557846,0.001,0.9961535930633545,60,-5.6642503380775455,-0.0021930799484835006,0.2,0.005393237,,
12.97032,8,301.0,419,624,262144,0.03128662109375,0.08536553382873535,937.673828125,1497.3772556304932,0.001,0.9959942698478699,70,-5.659586229920388,-0.0008569604386138962,0.2,0.0052901125,,
9.81208,9,301.0,420,702,294912,0.0326568603515625,0.11650031805038452,211.43719482421875,791.1105834722518,0.001,0.9947123527526855,80,-5.657023602724076,-0.0025025959486811187,0.2,0.004172948,,
66.39266,10,301.0,420,780,327680,0.046636962890625,0.05973464250564575,44.35576629638672,635.3152003049851,0.001,0.9922993183135986,90,-5.647809062898159,-0.002981213691236917,0.2,0.0051957043,,
122.44256,11,301.0,420,857,360448,0.0586822509765625,0.06738919019699097,475.3280029296875,664.4271707057953,0.001,0.9895843863487244,100,-5.639050750434398,-0.002466607790120179,0.2,0.0059611117,,
105.4478,12,301.0,420,935,393216,0.0430999755859375,0.037735044956207275,278.49853515625,999.0796082496643,0.001,0.9897075891494751,110,-5.633070063591004,-0.0016695080723366118,0.2,0.0055879317,,
225.45723,13,301.0,420,1013,425984,0.056158447265625,0.06775778532028198,185.29151916503906,487.01450390815734,0.001,0.9831122756004333,120,-5.620287419855595,-0.0020461448168134664,0.2,0.006683832,,
275.62057,14,301.0,419,1092,458752,0.0449127197265625,0.01913321018218994,285.60076904296875,1417.2221808433533,0.001,0.9826200604438782,130,-5.603542087972164,-0.0013187836468205206,0.2,0.0056560347,,
256.78546,15,301.0,420,1170,491520,0.0423614501953125,0.009715080261230469,881.0739135742188,1682.506826019287,0.001,0.9796617031097412,140,-5.598818527162075,-0.0010794236437504877,0.2,0.0055270563,,
318.53894,16,301.0,420,1248,524288,0.0591522216796875,0.03305095434188843,119.57086944580078,936.5150199890137,0.001,0.9770986437797546,150,-5.58678934276104,-0.0011848695528897224,0.2,0.0069154855,,
381.17505,17,301.0,420,1325,557056,0.0423187255859375,0.056423723697662354,397.22406005859375,1326.9563982009888,0.001,0.9719550609588623,160,-5.574477823078633,0.0003852796224236954,0.2,0.005029112,,
353.6302,18,301.0,420,1403,589824,0.049920654296875,0.04279327392578125,985.09765625,1861.200745010376,0.001,0.9677248001098633,170,-5.5510112136602405,-0.0004938255809975089,0.2,0.005236301,,
412.6168,19,301.0,420,1481,622592,0.0588409423828125,0.02751457691192627,355.0128479003906,1664.6149851799012,0.001,0.9618902802467346,180,-5.530531807243824,-0.001758176337898476,0.2,0.00584474,,
442.0418,20,301.0,420,1559,655360,0.0599365234375,0.0480649471282959,1220.19677734375,3155.373705673218,0.001,0.9615247845649719,190,-5.517557100951672,-0.000540718939009821,0.2,0.006449685,,
472.93796,21,301.0,420,1637,688128,0.060028076171875,-0.0033594369888305664,1381.0438232421875,2382.3915247917175,0.001,0.9555197358131409,200,-5.506761991977692,-0.0001827515683544334,0.2,0.0061961673,,
453.5469,22,301.0,420,1716,720896,0.0680816650390625,0.05455833673477173,1570.775634765625,2764.700014972687,0.001,0.9503653645515442,210,-5.480969098210335,0.00013191643956815823,0.2,0.006625789,,
402.51978,23,301.0,420,1793,753664,0.0467498779296875,0.04655873775482178,774.3594970703125,2291.3568843841554,0.001,0.9500491619110107,220,-5.468096490204334,0.0011224270117963897,0.2,0.005237978,,
578.9639,24,301.0,420,1872,786432,0.08358154296875,-0.034332871437072754,442.5242919921875,2173.5577251434324,0.001,0.949449360370636,230,-5.46479954123497,0.000713438979255443,0.2,0.0076328833,,
410.57028,25,301.0,420,1950,819200,0.062091064453125,0.08998554944992065,1127.8829345703125,3393.814619445801,0.001,0.9478894472122192,240,-5.46199845969677,0.0015478526540391613,0.2,0.0061073555,,
462.99667,26,301.0,420,2028,851968,0.0758056640625,-0.06790328025817871,534.0867919921875,1842.984934425354,0.001,0.9459368586540222,250,-5.453174069523811,-0.001236936765599239,0.2,0.0076039527,,
511.18683,27,301.0,420,2106,884736,0.0672149658203125,0.04342937469482422,695.0118408203125,1925.580363845825,0.001,0.936806321144104,260,-5.426487338542938,-0.0005655177657899913,0.2,0.007511215,,
