rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/explained_variance,train/std
590.2790697674419,90,2772.8037,32768,361,1,,,,,,,,,,,
641.2808988764045,87,3040.9873,65536,745,2,31754.56555786133,13300.91015625,-1.9478631105273962,0.0626068115234375,0.2,0.001373238259475329,0.008020784,2480,0.0001,0.05573451519012451,0.39467597007751465
711.28,86,3669.3616,98304,1134,3,33343.43528442383,10702.8515625,-1.948086605221033,0.0595611572265625,0.2,0.0006161357250675792,0.007948458,2490,0.0001,0.1338382363319397,0.39462217688560486
740.49,86,4223.2417,131072,1515,4,32609.287872314453,13578.8017578125,-1.9475698165595532,0.0449920654296875,0.2,0.00030546392408723475,0.0067834165,2500,0.0001,0.25338083505630493,0.39457938075065613
