time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/n_updates,train/value_loss,train/entropy_loss
308,106,2403.2722,327.54545454545456,32768,1,,,,,,,,,,,
259,252,2270.1912,310.14,65536,2,21593.291015625,0.2,0.0001,0.01256945,0.038825273513793945,0.131280517578125,0.002430179968223456,0.39459821581840515,2480,60014.807404327395,-1.9473549560643733
248,395,2552.7412,341.11,98304,3,21912.662109375,0.2,0.0001,0.009548647,0.219740629196167,0.0975433349609375,0.0016006633096367294,0.39455926418304443,2490,63260.96540298462,-1.9471699042711408
245,534,2538.2056,327.19,131072,4,20581.4765625,0.2,0.0001,0.010088255,0.482632577419281,0.0909423828125,0.0021092557208703512,0.39442938566207886,2500,50496.28190155029,-1.946418328396976
243,671,2379.2397,316.97,163840,5,21405.080078125,0.2,0.0001,0.0082178535,0.49337178468704224,0.073992919921875,0.0009410779665813606,0.394472599029541,2510,52931.85871505737,-1.9458882245700806
243,807,2306.9507,308.52,196608,6,12222.3603515625,0.2,0.0001,0.0068337666,0.5886676013469696,0.0610626220703125,-6.475371055785218e-05,0.39429759979248047,2520,47283.04705467224,-1.9452142160851509
242,945,2472.786,315.93,229376,7,15890.73828125,0.2,0.0001,0.0068729334,0.5637435913085938,0.056158447265625,0.00016002572524485004,0.3942674696445465,2530,52768.138348388675,-1.944077238207683
241,1087,2767.0063,324.86,262144,8,10535.9697265625,0.2,0.0001,0.0077531445,0.6086065471172333,0.065191650390625,0.0006445769236961496,0.39421454071998596,2540,50002.03917160034,-1.9436258480418473
240,1226,2791.3103,330.67,294912,9,10013.375,0.2,0.0001,0.0069952286,0.6317325532436371,0.05770263671875,0.00032129317260114475,0.3941837549209595,2550,44174.678577423096,-1.943164669862017
240,1364,3399.8396,361.57,327680,10,10908.203125,0.2,0.0001,0.006419529,0.6642963588237762,0.0516571044921875,-0.0003920503928384278,0.39415252208709717,2560,43268.03638420105,-1.9428275818005205
239,1502,3079.7253,332.39,360448,11,12673.447265625,0.2,0.0001,0.007650661,0.6603449285030365,0.074542236328125,0.0007849663897559367,0.39406755566596985,2570,39404.71934661865,-1.9422115416266024
239,1641,3318.597,348.98,393216,12,11957.6328125,0.2,0.0001,0.006414884,0.6345030069351196,0.0564697265625,-8.781670712778577e-05,0.39404162764549255,2580,49742.46981086731,-1.9416331293527036
239,1779,3306.9768,336.4,425984,13,13927.482421875,0.2,0.0001,0.008224843,0.6984279453754425,0.0809600830078125,0.0012077351063453535,0.3940123915672302,2590,41642.09188156128,-1.9412873902358114
239,1914,2952.1194,309.61,458752,14,14564.8779296875,0.2,0.0001,0.0058079804,0.6719871759414673,0.045068359375,-0.0003118195469141938,0.3939504027366638,2600,44973.809494018555,-1.9407985741272569
239,2049,3562.8503,345.55,491520,15,16134.9541015625,0.2,0.0001,0.0058139097,0.6639863848686218,0.0398895263671875,0.0001380352528030926,0.39393407106399536,2610,47597.78468551636,-1.940372061310336
239,2188,3736.1304,360.11,524288,16,13481.3525390625,0.2,0.0001,0.0063188155,0.7031137049198151,0.0490264892578125,-9.959140688806656e-05,0.3939443528652191,2620,42132.31273765564,-1.9403012874536216
239,2325,3547.4502,338.35,557056,17,9099.8193359375,0.2,0.0001,0.006514362,0.7483601272106171,0.049786376953125,8.346810623152123e-05,0.3938293755054474,2630,37294.61211738586,-1.9398283089511097
239,2463,3837.4463,357.79,589824,18,11714.84765625,0.2,0.0001,0.0063479883,0.6643377840518951,0.046832275390625,0.0003667228000722389,0.39372891187667847,2640,49374.15495071411,-1.9387146539054811
239,2600,4341.0435,368.15,622592,19,14791.0341796875,0.2,0.0001,0.006047924,0.6920472383499146,0.043475341796875,-4.653691901239654e-05,0.3937167525291443,2650,43881.75608978271,-1.9380345756188035
239,2737,4435.5547,369.8,655360,20,9088.9326171875,0.2,0.0001,0.006376887,0.6808458268642426,0.0502655029296875,0.00011974184822065581,0.39359718561172485,2660,43246.68841209412,-1.9374119543470443
239,2877,3940.544,348.77,688128,21,10677.75,0.2,0.0001,0.006090501,0.6963248550891876,0.05465087890625,-0.000456510932326637,0.39352959394454956,2670,41051.27730789185,-1.9364286744035781
239,3014,3783.3657,335.25,720896,22,13217.703125,0.2,0.0001,0.005961696,0.6996476054191589,0.04449462890625,0.0006270326992762421,0.3934744596481323,2680,45326.54578399658,-1.935843273298815
