rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
628.3809523809524,477.8299,488,1,33,16384,,,,,,,,,,,,,
689.170731707317,873.54004,342,2,95,32768,-1.9470347594469786,0.193927001953125,0.2,2480,0.013866722583770752,0.016269725,0.0003,0.004624758543286589,0.3945150375366211,7490.244140625,19525.26801147461,,
698.4615384615385,1178.607,311,3,157,49152,-1.9458583829924465,0.15623779296875,0.2,2490,0.16970425844192505,0.013787114,0.0003,0.0020723076371723438,0.39438506960868835,4459.642578125,18777.023861312868,,
709.4186046511628,1422.7612,298,4,219,65536,-1.9431991032324731,0.129541015625,0.2,2500,0.24641627073287964,0.012223772,0.0003,0.0018358302939304849,0.3938824236392975,2446.402587890625,17773.616280937196,,
747.02,1803.2189,292,5,280,81920,-1.9407011338509619,0.169671630859375,0.2,2510,0.3221282958984375,0.015751965,0.0003,0.0017880312139823217,0.3940110206604004,2952.5341796875,18259.006787872313,,
764.77,1987.3367,286,6,342,98304,-1.9411602781154216,0.140185546875,0.2,2520,0.25403082370758057,0.012780981,0.0003,0.0030072403003941874,0.3939913809299469,3457.322509765625,20007.532297706603,,
787.63,2382.436,283,7,404,114688,-1.9398005533963443,0.107452392578125,0.2,2530,0.30635160207748413,0.010279713,0.0003,-0.0005543461345951072,0.3936880826950073,7476.25634765625,18093.309655761717,,
791.5,2290.6565,281,8,466,131072,-1.9370718126185238,0.131622314453125,0.2,2540,0.29932481050491333,0.011786564,0.0003,0.004530492397680064,0.3935035467147827,2997.85693359375,17795.37046203613,,
815.49,2467.2773,279,9,527,147456,-1.9338690420612692,0.143365478515625,0.2,2550,0.27390992641448975,0.012050765,0.0003,0.0026655059527911362,0.39303845167160034,5766.35546875,18508.999340057373,,
831.48,2647.9287,276,10,591,163840,-1.930773441400379,0.100054931640625,0.2,2560,0.3654780387878418,0.009235444,0.0003,0.0020532591710434645,0.39290642738342285,3048.003173828125,17034.866583633422,,
818.27,2675.579,275,11,654,180224,-1.9281111545860767,0.102593994140625,0.2,2570,0.3458181619644165,0.009069046,0.0003,-0.0005729086497012759,0.39237603545188904,5368.7255859375,15297.928633880616,,
808.45,2559.58,274,12,716,196608,-1.9243272355757655,0.1075927734375,0.2,2580,0.32246047258377075,0.010114603,0.0003,0.0006982343131312519,0.39217424392700195,4358.1962890625,18361.81591567993,,
818.64,2822.3918,273,13,778,212992,-1.9220383148640394,0.098785400390625,0.2,2590,0.2634871006011963,0.009259919,0.0003,0.00042180716391158055,0.3919358551502228,4342.26416015625,17951.061855506898,,
824.71,3029.2698,273,14,839,229376,-1.9181033972650767,0.10670166015625,0.2,2600,0.35353320837020874,0.010093087,0.0003,0.002373885198539938,0.3913850486278534,3001.059814453125,16181.122233772277,,
803.74,2796.9216,271,15,903,245760,-1.9143578902818263,0.115289306640625,0.2,2610,0.4071395993232727,0.01064495,0.0003,0.0020360583719593707,0.39119863510131836,4090.56103515625,14869.957931900024,,
823.37,2925.874,271,16,965,262144,-1.9130307517014444,0.104437255859375,0.2,2620,0.384766161441803,0.010351471,0.0003,-0.0001250791238817328,0.39111754298210144,2811.910400390625,16203.735693740844,,
838.2,2870.3743,270,17,1029,278528,-1.9115783605724572,0.1162841796875,0.2,2630,0.36364632844924927,0.011083791,0.0003,0.0009251962994312635,0.39089444279670715,5531.41357421875,20215.696113586426,,
856.0,3129.0378,269,18,1094,294912,-1.9107867470011115,0.11273193359375,0.2,2640,0.12278199195861816,0.010482674,0.0003,0.0015165916365276644,0.3910055160522461,2912.177978515625,107079.26797218322,,
867.42,3290.6182,269,19,1157,311296,-1.9110253044404089,0.127789306640625,0.2,2650,0.3030160665512085,0.010852989,0.0003,-0.0009428309572285798,0.39091676473617554,2725.297607421875,14811.12367477417,,
871.47,3497.571,268,20,1221,327680,-1.9098299976438284,0.1164306640625,0.2,2660,0.40743178129196167,0.009890068,0.0003,0.0007054477260680869,0.39086654782295227,3459.525146484375,15101.146647834777,,
849.17,3528.402,268,21,1283,344064,-1.9085473901592196,0.089288330078125,0.2,2670,0.36264556646347046,0.008421996,0.0003,0.0006153417400128092,0.39062178134918213,3725.755859375,18788.206339645385,,
856.14,3557.107,267,22,1346,360448,-1.906223445944488,0.112579345703125,0.2,2680,0.3497025966644287,0.009848467,0.0003,0.000994705929133488,0.39041244983673096,2606.83740234375,16784.053705215454,,
867.48,3665.1226,267,23,1410,376832,-1.9032294540666044,0.1128662109375,0.2,2690,0.314594566822052,0.010411527,0.0003,0.001914207447634908,0.39002805948257446,3813.19091796875,154214.429646492,,
842.63,3014.667,266,24,1475,393216,-1.8999623434618116,0.1056640625,0.2,2700,0.6375604271888733,0.0097326115,0.0003,-0.0002679481251107063,0.3897837996482849,2389.772216796875,16101.310986328124,,
864.35,3104.7568,266,25,1539,409600,-1.8982658720575274,0.115716552734375,0.2,2710,0.6344571709632874,0.010690143,0.0003,0.001982125698486925,0.3896988034248352,196658.953125,131177.53252449035,,
889.9,3377.922,266,26,1601,425984,-1.897038495540619,0.12017822265625,0.2,2720,0.7218182981014252,0.010984757,0.0003,0.0028785636393877214,0.38960254192352295,174627.8125,132274.84496974945,,
929.12,3737.4338,265,27,1665,442368,-1.8969606694765389,0.110321044921875,0.2,2730,0.792769655585289,0.010195104,0.0003,0.002023177624687378,0.3896630108356476,2792.10205078125,17506.193700027467,,
920.78,3756.6118,265,28,1729,458752,-1.898104810807854,0.141815185546875,0.2,2740,0.6029348969459534,0.012965853,0.0003,0.00196403164864023,0.38981616497039795,2931.516845703125,152397.22050209047,,
907.19,3753.2202,265,29,1792,475136,-1.8965233306400477,0.102691650390625,0.2,2750,0.4527098536491394,0.009179574,0.0003,-0.00040216328402493674,0.3893154561519623,2843.090087890625,16230.254377555848,,
893.38,4432.89,264,30,1855,491520,-1.893086552619934,0.100140380859375,0.2,2760,0.4471279978752136,0.00867566,0.0003,0.0007154550785344327,0.3892124891281128,4317.1611328125,17143.884069061278,,
883.39,4323.063,264,31,1919,507904,-1.8921718674711883,0.107916259765625,0.2,2770,0.580851674079895,0.009953536,0.0003,0.0008522619398718234,0.3891717195510864,4188.80908203125,16703.02451725006,,
906.32,4709.7637,264,32,1984,524288,-1.8911844881251454,0.096160888671875,0.2,2780,0.5595526993274689,0.008766307,0.0003,1.648562993068481e-05,0.38904210925102234,3188.93896484375,20257.309334373473,,
892.09,5178.063,264,33,2046,540672,-1.8886077832430601,0.1025634765625,0.2,2790,0.6735215485095978,0.009277565,0.0003,0.0016538052186660934,0.38863831758499146,2705.38818359375,13310.795594215393,,
912.64,5425.6206,263,34,2110,557056,-1.8838177698664367,0.09561767578125,0.2,2800,0.6925292015075684,0.009094957,0.0003,-0.0006424614415664109,0.3880813419818878,2398.007568359375,14573.964575767517,,
961.29,5994.0205,263,35,2175,573440,-1.880174141936004,0.0851806640625,0.2,2810,0.4790496826171875,0.008769208,0.0003,-0.0001829990449550678,0.38796210289001465,2481.72119140625,13494.498110198974,,
