rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/n_updates
296.3265306122449,-527.82623,1,423,32768,77,,,,,,,,,,,
297.24,-577.0063,2,413,65536,158,0.001,0.640451192855835,0.03577515617507743,-3.870021393150091,0.41615480184555054,0.2,0.4465362548828125,0.053410746,5767.279296875,31675.4126373291,1240
298.26,-651.32947,3,412,98304,238,0.001,0.6411952972412109,0.011717433262674604,-3.877102068811655,0.5009629130363464,0.2,0.2815093994140625,0.029065896,5572.1396484375,18945.087341308594,1250
301.0,-688.4458,4,411,131072,318,0.001,0.6406793594360352,0.006076978933560895,-3.877457971870899,0.506201833486557,0.2,0.22974853515625,0.021098744,2277.533935546875,11174.317449951172,1260
301.0,-559.8116,5,407,163840,402,0.001,0.6410617828369141,0.005831970032886602,-3.8758053593337536,0.45554977655410767,0.2,0.214398193359375,0.019438837,1219.868896484375,6383.446876907348,1270
