time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,578,56,-231.73811,,,,,,,,,,,
2,301.0,65536,425,153,-139.95813,0.2,0.0001,0.1316009521484375,10,0.00867782,80.3763065725565,0.9968466758728027,-0.013226437431012528,-5.667398211359978,31.006189346313477,-0.0008338689804077148
3,301.0,98304,389,252,22.112976,0.2,0.0001,0.164410400390625,20,0.011301865,105.82975141778589,0.9915777444839478,-0.017582368653984305,-5.649131317157298,52.359920501708984,0.31545358896255493
4,301.0,131072,362,361,187.65547,0.2,0.0001,0.18228759765625,30,0.011512336,386.4458602845669,0.9805681705474854,-0.01812892816153635,-5.611838822625577,63.4726448059082,0.26754438877105713
5,301.0,163840,354,462,109.86233,0.2,0.0001,0.1253143310546875,40,0.009287501,3934.63054638803,0.9679515361785889,-0.008571634057898337,-5.5662419618107375,7658.8759765625,0.09835708141326904
6,301.0,196608,349,562,69.079506,0.2,0.0001,0.109759521484375,50,0.00860513,1899.0929730623961,0.9522625207901001,-0.008280540315854523,-5.49526448585093,158.49899291992188,0.12218773365020752
7,301.0,229376,346,662,24.38269,0.2,0.0001,0.0962799072265625,60,0.008171672,1049.969130887091,0.9383821487426758,-0.007709989556497021,-5.434082489460707,97.91293334960938,0.09730249643325806
8,301.0,262144,344,761,40.351505,0.2,0.0001,0.0736175537109375,70,0.006585669,212.2127701461315,0.9254686832427979,-0.007126700925346086,-5.38418844640255,78.50261688232422,0.3377342224121094
9,301.0,294912,342,861,4.7439375,0.2,0.0001,0.0632598876953125,80,0.006481927,706.6189890950918,0.9170687198638916,-0.0056358985090355414,-5.338831998407841,76.51912689208984,0.3644481897354126
10,301.0,327680,340,960,3.1377702,0.2,0.0001,0.078521728515625,90,0.0066126958,459.87129738479854,0.9119203090667725,-0.005257341543961047,-5.314284159149975,115.90599822998047,0.6388164758682251
11,301.0,360448,339,1060,10.014728,0.2,0.0001,0.0715606689453125,100,0.0059139375,460.0194202691317,0.9103370308876038,-0.005050293039175813,-5.299919466860592,89.05535125732422,0.7210890352725983
12,301.0,393216,338,1160,18.593094,0.2,0.0001,0.0706512451171875,110,0.0060928613,197.6286112099886,0.903861403465271,-0.004819709441426312,-5.280652233120054,115.95157623291016,0.8836886882781982
13,301.0,425984,337,1261,26.965174,0.2,0.0001,0.0824127197265625,120,0.006739523,207.30475851148367,0.8946481347084045,-0.005370805554616709,-5.242004591412842,104.93592834472656,0.8974506333470345
14,301.0,458752,336,1361,82.98236,0.2,0.0001,0.0832550048828125,130,0.0067548263,239.39809596836568,0.8882092237472534,-0.005596302130197728,-5.20609270343557,137.8952178955078,0.8956774920225143
15,301.0,491520,335,1462,107.99082,0.2,0.0001,0.0930511474609375,140,0.008069025,501.94141474068164,0.8816390633583069,-0.005424999762453808,-5.177750346902758,109.49710083007812,0.7827594131231308
16,301.0,524288,335,1564,143.38393,0.2,0.0001,0.1019744873046875,150,0.008273163,218.90908143371342,0.8772506713867188,-0.007123774704450625,-5.15494420658797,74.01070404052734,0.8779771849513054
17,301.0,557056,334,1666,203.36595,0.2,0.0001,0.094622802734375,160,0.0079834,238.69098378419875,0.8682407140731812,-0.005767036213683241,-5.117878543771804,113.18211364746094,0.8553277254104614
18,301.0,589824,333,1768,272.12735,0.2,0.0001,0.092578125,170,0.007371636,829.8953365057707,0.8626534342765808,-0.004527587807092459,-5.087757624220103,163.38687133789062,0.6106639206409454
19,301.0,622592,332,1870,302.0109,0.2,0.0001,0.0896697998046875,180,0.008123583,1380.147908887267,0.8554354906082153,-0.0032679666484000335,-5.056875385902822,166.65235900878906,0.5119755864143372
20,301.0,655360,332,1972,300.19656,0.2,0.0001,0.1044036865234375,190,0.009100938,1123.3714890241622,0.8474024534225464,-0.004520749763969434,-5.012316842377186,111.35226440429688,0.5217142999172211
21,301.0,688128,331,2075,316.82043,0.2,0.0001,0.1162689208984375,200,0.009090171,963.4633725106717,0.8370013236999512,-0.005195978207848384,-4.969862488750368,158.45948791503906,0.533632755279541
22,301.0,720896,330,2177,413.8531,0.2,0.0001,0.1157867431640625,210,0.009690324,570.854547713697,0.824929416179657,-0.005844709315670116,-4.915202010702342,117.48753356933594,0.5812652111053467
23,301.0,753664,330,2281,433.76355,0.2,0.0001,0.1140960693359375,220,0.009957647,1513.6444906562567,0.8129761219024658,-0.004643804706938681,-4.862125761806965,261.3994445800781,0.34437716007232666
24,301.0,786432,329,2384,532.26025,0.2,0.0001,0.1005859375,230,0.008646929,646.1972049713135,0.8018693327903748,-0.0024767343108123897,-4.80144436294213,239.22206115722656,0.5205461084842682
25,301.0,819200,329,2488,605.1951,0.2,0.0001,0.10767822265625,240,0.009348683,2425.94818212986,0.7909818887710571,-0.001767359106179356,-4.749399361573159,6049.8828125,0.21474391222000122
26,301.0,851968,328,2592,844.7615,0.2,0.0001,0.1068115234375,250,0.009594328,3622.2137225806714,0.7882235050201416,9.774246357210358e-05,-4.720866734534502,330.721435546875,0.14540332555770874
27,301.0,884736,328,2696,711.66205,0.2,0.0001,0.135723876953125,260,0.011967469,7912.487956416607,0.77897047996521,0.002752658507620254,-4.687583775632083,2422.18994140625,0.07075768709182739
28,301.0,917504,327,2800,815.3223,0.2,0.0001,0.11845703125,270,0.009758982,5713.103121471405,0.772452175617218,0.00018900045370173757,-4.64734807331115,4567.51904296875,0.11847841739654541
29,301.0,950272,327,2904,770.3851,0.2,0.0001,0.100146484375,280,0.0074429954,8963.941124171019,0.7710429430007935,0.0012792818050002097,-4.628447720594704,3282.427001953125,0.09454643726348877
30,301.0,983040,326,3008,869.8047,0.2,0.0001,0.098431396484375,290,0.007541488,7704.192089223861,0.7641437649726868,-0.00048030719165126357,-4.606575732212514,433.62469482421875,0.13385379314422607
31,301.0,1015808,326,3113,792.6979,0.2,0.0001,0.104302978515625,300,0.008936,8669.592134177685,0.7604676485061646,0.0017804256325689495,-4.577816559001803,1536.0797119140625,0.11665916442871094
