time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,570,57,-229.13759,,,,,,,,,,,
2,301.0,65536,488,134,-148.92891,0.2,0.0001,0.1202728271484375,10,0.008229524,87.73782048225402,0.9955326318740845,-0.01254416779975145,-5.662264394760132,55.38916778564453,0.0005428194999694824
3,301.0,98304,465,211,-33.9605,0.2,0.0001,0.1478302001953125,20,0.009845355,96.46516788452864,0.9920864105224609,-0.016802646844644185,-5.6512206410989165,44.75104522705078,0.200658917427063
4,301.0,131072,454,288,148.08525,0.2,0.0001,0.17066650390625,30,0.010651806,118.39555531144143,0.9852024912834167,-0.018868976174144337,-5.630579026043415,54.30110549926758,0.43226373195648193
5,301.0,163840,448,365,165.22546,0.2,0.0001,0.13758544921875,40,0.010056059,1512.7610474050045,0.9781341552734375,-0.010638098523509143,-5.599903037771583,81.17516326904297,0.1305149793624878
6,301.0,196608,444,442,104.91721,0.2,0.0001,0.0852752685546875,50,0.0066344673,4223.1725800454615,0.9719910621643066,-0.005027593001432251,-5.572792831994593,1036.08349609375,0.06566447019577026
7,301.0,229376,441,519,24.87257,0.2,0.0001,0.066680908203125,60,0.0066244355,2220.6359253525734,0.9618372917175293,-0.004582902745596584,-5.533478897623718,182.77674865722656,0.02649402618408203
8,301.0,262144,439,596,-34.943314,0.2,0.0001,0.0590057373046875,70,0.0058950186,1137.3138957440854,0.9560179710388184,-0.0038878243591170757,-5.5001002356410025,1354.7159423828125,-0.06311988830566406
9,301.0,294912,437,674,-51.445957,0.2,0.0001,0.0453643798828125,80,0.0053288685,535.2131982028484,0.9489331245422363,-0.0035275372668820636,-5.476059238798916,117.50045013427734,0.2698124647140503
10,301.0,327680,434,754,-90.687225,0.2,0.0001,0.0379425048828125,90,0.0048542805,833.4068668425083,0.9442442059516907,-0.0035528044954844518,-5.452380612492561,148.92820739746094,0.4801810383796692
11,301.0,360448,429,839,-80.96133,0.2,0.0001,0.023211669921875,100,0.003546863,623.3070717334747,0.9448826909065247,-0.0018766181645332835,-5.44834938775748,127.23186492919922,0.706047534942627
12,301.0,393216,425,923,-66.95348,0.2,0.0001,0.0251617431640625,110,0.0037817708,891.0877737164498,0.9436326026916504,-0.0025182647275869387,-5.44346960131079,269.9058837890625,0.7301003634929657
13,301.0,425984,422,1007,-19.715796,0.2,0.0001,0.031268310546875,120,0.004348553,1279.8949579954146,0.9399629235267639,-0.0023092966982403594,-5.433510967344046,176.8252716064453,0.7056591212749481
14,301.0,458752,421,1087,-37.945137,0.2,0.0001,0.021490478515625,130,0.0039367066,1802.6239808678627,0.9374089241027832,-0.0015933500438222836,-5.4216940442100165,412.8896484375,0.6505218148231506
15,301.0,491520,421,1167,-29.328075,0.2,0.0001,0.0321807861328125,140,0.0041058892,1022.6034836888314,0.9366332292556763,-0.002755774677189038,-5.415974605083465,386.4048767089844,0.7390627562999725
16,301.0,524288,420,1246,79.878456,0.2,0.0001,0.040869140625,150,0.005054067,639.0060941159725,0.9316852688789368,-0.0036277019689350707,-5.401176207326353,608.1364135742188,0.7783102840185165
17,301.0,557056,420,1324,102.853226,0.2,0.0001,0.0292510986328125,160,0.0042692763,2394.150321096182,0.9269975423812866,-0.0024876354906382403,-5.381823487207294,2643.473876953125,0.502711832523346
