time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,672,16384,776.7466,447.88235294117646,24,,,,,,,,,,,,,
2,413,32768,1032.3728,476.671875,79,0.2,0.0030820699314062948,0.003894031047821045,2480,4635.51708984375,0.0003,-1.9471253148280083,0.18310546875,0.39442846179008484,0.01603376,15458.50689163208,,
3,364,49152,1391.6667,509.8888888888889,134,0.2,0.0016184569380129688,0.07789194583892822,2490,3668.8017578125,0.0003,-1.9432409349828959,0.129315185546875,0.39386385679244995,0.011479592,14886.468852233887,,
4,343,65536,1858.0476,555.43,190,0.2,0.003603353083599359,0.14907050132751465,2500,2356.79052734375,0.0003,-1.9391081806272268,0.125067138671875,0.39362743496894836,0.0113351215,15954.088004493713,,
5,331,81920,2172.709,582.62,247,0.2,0.00012155306321801618,0.29187101125717163,2510,3075.0146484375,0.0003,-1.936668552737683,0.103350830078125,0.3933756649494171,0.009659994,12674.76804599762,,
6,324,98304,2310.1187,599.96,302,0.2,0.00042509570557740516,0.30690187215805054,2520,7397.0576171875,0.0003,-1.9344187322072686,0.08963623046875,0.3932059705257416,0.00882154,14461.065378570556,,
7,320,114688,2193.2524,588.4,357,0.2,0.0014155128854326903,0.3435763716697693,2530,1364.72607421875,0.0003,-1.9308509359136223,0.108734130859375,0.3925637900829315,0.009886076,10326.783121681214,,
8,316,131072,2249.2476,597.81,413,0.2,0.0025095641960433566,0.34427547454833984,2540,1794.9166259765625,0.0003,-1.9251399518921972,0.105010986328125,0.3921141028404236,0.010807419,10677.838715934753,,
9,313,147456,2479.3647,615.21,470,0.2,-0.00011045980536437128,0.418074369430542,2550,2594.1044921875,0.0003,-1.921327755227685,0.096246337890625,0.39176663756370544,0.00917266,9974.05737323761,,
10,310,163840,2818.1514,640.22,528,0.2,-0.00038047274047130485,0.4444795846939087,2560,2744.697998046875,0.0003,-1.9178377469070256,0.112469482421875,0.3914331793785095,0.009859829,10398.374824428558,,
11,307,180224,3146.9119,671.08,585,0.2,0.0008503864226440782,0.4702323079109192,2570,1559.3731689453125,0.0003,-1.9154793539084494,0.092803955078125,0.391350120306015,0.008673734,9616.208681201935,,
12,306,196608,3335.6626,680.74,641,0.2,0.0011988883623416768,0.5394205749034882,2580,5062.931640625,0.0003,-1.9144978718832135,0.0872314453125,0.3912551701068878,0.00864274,12467.55309638977,,
13,304,212992,3468.9377,684.92,699,0.2,0.0018150420402889722,0.5567629635334015,2590,1431.60009765625,0.0003,-1.912116661388427,0.111029052734375,0.390946626663208,0.009961729,9837.170386981965,,
14,303,229376,3442.2412,679.07,755,0.2,0.0010963272237859202,0.5747585892677307,2600,1514.7757568359375,0.0003,-1.9102153040468692,0.102020263671875,0.3909306824207306,0.00981885,9719.7829955101,,
15,302,245760,3668.6816,695.75,813,0.2,0.0007358834969636519,0.5154018700122833,2610,3042.921630859375,0.0003,-1.9080715929158032,0.10572509765625,0.39049413800239563,0.008846309,11100.07563610077,,
16,300,262144,4065.4377,718.95,871,0.2,0.00021144443617231444,0.558910071849823,2620,1083.3026123046875,0.0003,-1.9038063207641245,0.112841796875,0.3900715410709381,0.009699287,8858.896071052552,,
17,299,278528,4420.89,737.27,931,0.2,-0.0007153036413001246,0.5639820396900177,2630,987.3712768554688,0.0003,-1.8999587361700834,0.08895263671875,0.3896712064743042,0.008422927,8084.8196347236635,,
18,297,294912,4936.483,770.46,991,0.2,-0.0007422913353366311,0.5873845815658569,2640,1188.2581787109375,0.0003,-1.8947858215309679,0.108758544921875,0.3890599310398102,0.0095602535,8491.76521844864,,
19,296,311296,5624.0894,823.03,1049,0.2,-0.00017046804596247965,0.5225176215171814,2650,1639.230712890625,0.0003,-1.8877526704221963,0.10416259765625,0.3883456289768219,0.009255629,9455.316344642639,,
20,295,327680,5833.739,841.1,1108,0.2,0.0012873779471192393,0.513531506061554,2660,1491.98876953125,0.0003,-1.8815068789757787,0.1040771484375,0.38789284229278564,0.009704032,8448.276018619537,,
21,294,344064,6027.1763,844.96,1167,0.2,0.0011330997263939934,0.48328810930252075,2670,1182.6451416015625,0.0003,-1.8790120942518116,0.104315185546875,0.3878698945045471,0.009375573,8226.700569820405,,
22,293,360448,6131.6826,853.1,1226,0.2,0.0017943628668945165,0.396870493888855,2680,983.2451171875,0.0003,-1.875546197872609,0.0968994140625,0.3872148394584656,0.008668893,10407.718796730042,,
