time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl
32768,301.0,-223.78233,59,1,550,,,,,,,,,,,
65536,140.14,-1690.9904,173,2,378,93.58727769851684,0.01,10,0.0002599954605102539,1.302713394165039,0.99837646484375,39.15565872192383,-6.367919347435236,0.3182466198821203,0.2,293.1442
98304,140.11,-1760.607,296,3,331,45166.73777542114,0.01,20,-1.1920928955078125e-07,1.4830260276794434,0.9511993408203125,21621.791015625,-7.161591753736138,0.26675317934459597,0.2,50.553726
131072,140.17,-1711.2223,403,4,324,35112.18647460938,0.01,30,0.0,1.5933361053466797,0.9742431640625,25782.083984375,-7.498481377027929,0.2726016142449225,0.2,45.258785
