rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/loss,train/approx_kl
783.9,332,1,2130.89,24,827392,,,,,,,,,,,
822.18,236,2,1602.6019,69,835584,0.3827018737792969,-1.8262024631723761,0.0003,14035.843936157227,-0.0014924658717063721,0.0988037109375,3480,0.6493465006351471,0.2,3079.132080078125,0.008474151
812.7,220,3,3241.1846,111,843776,0.38271358609199524,-1.8265083173289896,0.0003,520237.37613830564,0.00418927020564297,0.1624267578125,3490,0.44031113386154175,0.2,368354.09375,0.014470575
792.03,214,4,3164.74,152,851968,0.382339745759964,-1.8249689571559429,0.0003,15831.946209335327,-1.6370153571187984e-05,0.10067138671875,3500,0.5052668154239655,0.2,3221.603515625,0.008322677
740.68,208,5,2884.3496,196,860160,0.38236725330352783,-1.8228424169123172,0.0003,19246.689419174196,9.851414615695831e-05,0.100732421875,3510,0.3746350407600403,0.2,4307.24462890625,0.009655429
790.07,201,6,3146.5627,243,868352,0.3822627365589142,-1.82267937194556,0.0003,20648.161923599244,0.0006531033923238283,0.12821044921875,3520,0.6573731303215027,0.2,4407.95166015625,0.011642987
802.06,195,7,3126.4685,293,876544,0.3823537826538086,-1.8224539576098322,0.0003,160695.39137573243,-0.0013400524923781632,0.112548828125,3530,0.8397877812385559,0.2,80516.4609375,0.011196518
828.32,192,8,3190.5383,340,884736,0.3822079300880432,-1.822181892208755,0.0003,248649.1046722412,-7.317337658605539e-05,0.10750732421875,3540,0.7988089174032211,0.2,214856.296875,0.010112062
826.76,190,9,3040.9097,387,892928,0.38219761848449707,-1.8213937228545547,0.0003,112303.27024345398,0.0013965980648208642,0.1059326171875,3550,0.8321748524904251,0.2,138865.734375,0.00877931
880.77,190,10,2803.0012,430,901120,0.38187313079833984,-1.8198703577741981,0.0003,12757.354656600952,-0.0005127798005560181,0.10665283203125,3560,0.8430964052677155,0.2,3936.583984375,0.009640993
871.05,190,11,2897.7576,473,909312,0.3817216157913208,-1.8171989891678095,0.0003,905838.9579158783,-0.0002193114261899609,0.10877685546875,3570,0.6371339857578278,0.2,427487.3125,0.010344133
879.71,190,12,3117.709,515,917504,0.38152220845222473,-1.8157266402617096,0.0003,15633.59027557373,-0.0023264411007403395,0.10096435546875,3580,0.5713321268558502,0.2,2035.7325439453125,0.00939518
866.44,190,13,3751.0862,558,925696,0.3812149465084076,-1.8130964202806354,0.0003,15683.914982986451,-0.002079627559214714,0.07047119140625,3590,0.7427555322647095,0.2,2587.007080078125,0.007203748
861.67,190,14,3549.4365,602,933888,0.3811051845550537,-1.8107684735208749,0.0003,13955.898207855225,-0.0009066124581295299,0.10059814453125,3600,0.4193464517593384,0.2,3692.407958984375,0.00982257
897.93,188,15,3710.8662,650,942080,0.380969375371933,-1.80933943297714,0.0003,13159.4280292511,-0.0018440724306856282,0.08492431640625,3610,0.45795851945877075,0.2,1989.8441162109375,0.008498816
936.95,188,16,3576.3093,694,950272,0.38088369369506836,-1.8081393852829932,0.0003,11999.020674896241,-0.003365480028514867,0.0970458984375,3620,0.6929666996002197,0.2,2303.560546875,0.008743454
924.95,187,17,3452.94,741,958464,0.38081955909729004,-1.8072609789669514,0.0003,160887.27980537416,0.005906050708472321,0.10048828125,3630,0.5356406569480896,0.2,6643.34228515625,0.009423558
961.36,187,18,3508.0393,785,966656,0.38059672713279724,-1.8057323949411512,0.0003,33628.54753761292,-0.0018954901835968486,0.09844970703125,3640,0.8385388851165771,0.2,15937.96484375,0.010230308
945.31,187,19,3442.9424,828,974848,0.38051003217697144,-1.8039961449801922,0.0003,387465.09543914796,0.000994025762338424,0.08887939453125,3650,0.7080655097961426,0.2,9798.7041015625,0.009222429
893.11,188,20,4136.0483,868,983040,0.3804766535758972,-1.8034445222467184,0.0003,14374.767629241944,0.0011885236879606964,0.0961181640625,3660,0.3020341992378235,0.2,1407.982421875,0.00893265
898.75,188,21,4335.6616,911,991232,0.3803133964538574,-1.8024248316884042,0.0003,17111.677895355224,-0.0017965141760214465,0.0886962890625,3670,0.39795738458633423,0.2,3655.82666015625,0.008733557
892.01,188,22,4286.069,953,999424,0.379829078912735,-1.7991560138761997,0.0003,15368.194314956665,-0.002601317796143121,0.07293701171875,3680,0.3735910654067993,0.2,3117.677978515625,0.00748426
885.13,189,23,3893.4211,994,1007616,0.37993353605270386,-1.7969310564920307,0.0003,22150.37570915222,0.0019442708860879065,0.11243896484375,3690,0.7709441781044006,0.2,4900.0576171875,0.009667705
903.83,189,24,4248.427,1039,1015808,0.38012564182281494,-1.7986538948491215,0.0003,217614.5940475464,0.0003260544403019594,0.10379638671875,3700,0.6813548803329468,0.2,36434.72265625,0.009115015
898.18,189,25,4258.748,1081,1024000,0.3799799680709839,-1.7991063361987472,0.0003,18212.587741470335,-0.00013840188075846526,0.09090576171875,3710,0.7329842746257782,0.2,3397.052490234375,0.008254092
