rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
552.85,-721.35925,505,1,32,16384,,,,,,,,,,,,,
654.7173913043479,450.63452,371,2,88,32768,-1.9480849716812372,0.1481689453125,0.2,2480,0.1075093150138855,0.014465118,0.0003,0.0018292122302227653,0.394739031791687,7720.90966796875,23735.46502075195,,
685.8181818181819,714.36993,336,3,146,49152,-1.9478809621185065,0.107025146484375,0.2,2490,0.05903428792953491,0.010638054,0.0003,0.0011457552805950399,0.39454299211502075,6871.06884765625,25348.782196044922,,
703.8255813953489,881.8255,321,4,203,65536,-1.9467920657247304,0.0765625,0.2,2500,0.09669119119644165,0.0075983666,0.0003,0.0005617458904453087,0.3945232033729553,7775.5576171875,28008.753540039062,,
738.47,1238.4514,315,5,259,81920,-1.9457602672278882,0.07078857421875,0.2,2510,0.1809251308441162,0.007679141,0.0003,0.00043358991388231516,0.3943089246749878,6952.75439453125,26347.498919677735,,
719.78,1142.3462,311,6,315,98304,-1.9437019802629947,0.067254638671875,0.2,2520,0.20722073316574097,0.00711992,0.0003,0.0002116571708029369,0.39412063360214233,7110.61376953125,25328.115954589844,,
767.08,1655.9264,308,7,371,114688,-1.9424134228378533,0.061981201171875,0.2,2530,0.18655818700790405,0.0068419627,0.0003,0.0009254698397853645,0.39406493306159973,6233.97412109375,24829.3228515625,,
751.15,1709.0999,305,8,429,131072,-1.9418199449777602,0.081719970703125,0.2,2540,0.25889837741851807,0.00804168,0.0003,0.0003589198273402872,0.3939838111400604,6546.15673828125,24667.71619567871,,
736.56,1542.7803,303,9,485,147456,-1.9397878598421812,0.10994873046875,0.2,2550,0.28769969940185547,0.011123082,0.0003,0.0019811422720522388,0.393660306930542,5464.66650390625,20433.92706298828,,
769.9,1982.963,302,10,541,163840,-1.9376225896179675,0.06712646484375,0.2,2560,0.4322139024734497,0.007225822,0.0003,-0.00011758734326576814,0.3935837149620056,6629.23828125,20030.670698547365,,
813.24,2546.4673,301,11,598,180224,-1.93565455339849,0.08719482421875,0.2,2570,0.3617129921913147,0.008945078,0.0003,0.0006252659853998921,0.39324092864990234,5931.4228515625,22766.89303894043,,
816.94,2691.3184,299,12,656,196608,-1.9337387796491385,0.0647705078125,0.2,2580,0.38153332471847534,0.006797555,0.0003,0.0019182931508112233,0.39326897263526917,5882.33251953125,22265.140505981446,,
869.4,3182.1743,297,13,715,212992,-1.9336229894310235,0.091485595703125,0.2,2590,0.37748652696609497,0.008868447,0.0003,-0.0005330560157744913,0.3931805491447449,5416.44775390625,22713.265490722657,,
880.56,3386.821,296,14,772,229376,-1.933160138130188,0.0623046875,0.2,2600,0.2880054712295532,0.0073977616,0.0003,-0.00023275198072951752,0.3931960463523865,6586.00341796875,99622.72470092773,,
896.97,3691.3367,296,15,830,245760,-1.9329026345163585,0.0724609375,0.2,2610,0.38830792903900146,0.007220267,0.0003,0.0021074072097690077,0.3931083381175995,7038.61962890625,25946.53826599121,,
918.56,3917.061,295,16,887,262144,-1.932171641290188,0.072454833984375,0.2,2620,0.46191465854644775,0.008171746,0.0003,4.0435735354549254e-05,0.39303621649742126,5605.474609375,23439.434243774413,,
929.11,3644.13,294,17,947,278528,-1.9312784947454928,0.05823974609375,0.2,2630,0.4331042766571045,0.006825598,0.0003,0.002042408818670083,0.3929097056388855,3616.03857421875,18697.001774597167,,
978.99,3844.1382,293,18,1005,294912,-1.9296351917088033,0.079791259765625,0.2,2640,0.21680819988250732,0.008829725,0.0003,0.002272387083939975,0.39269208908081055,4629.06201171875,160421.7624145508,,
980.51,4132.861,291,19,1066,311296,-1.928292690962553,0.07718505859375,0.2,2650,0.42113977670669556,0.008175256,0.0003,0.000507983493298525,0.39269477128982544,53095.34375,132483.40027160646,,
