time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
78,-67.43643,418,1,301.0,32768,,,,,,,,,,,,,
184,11.25313,354,2,301.0,65536,77.84821319580078,5.125999450683594e-06,1.001912236213684,-0.003072961292673426,1478.875827640295,0.2,-5.675013260729611,0.001,0.005446384,0.0601593017578125,10,,
291,37.971302,337,3,301.0,98304,707.3385009765625,0.022453129291534424,0.9978054761886597,-0.003153725367701554,1754.2474746361374,0.2,-5.687168824858963,0.001,0.0069996445,0.0521331787109375,20,,
398,159.03818,328,4,301.0,131072,41.12418746948242,0.011775076389312744,0.9985829591751099,-0.00611870935620118,826.2570417121053,0.2,-5.655879794247449,0.001,0.010985814,0.1210052490234375,30,,
505,213.3884,323,5,301.0,163840,29.30207633972168,0.0022153258323669434,0.9995723962783813,-0.002937023115237025,2057.3846832171084,0.2,-5.643889784626663,0.001,0.014615448,0.162689208984375,40,,
611,232.86932,321,6,301.0,196608,65.3277816772461,-0.07220840454101562,0.9931212663650513,-0.0005744401370975539,1665.2924471884967,0.2,-5.6607733108103275,0.001,0.01501518,0.1785858154296875,50,,
718,337.68768,319,7,301.0,229376,64.62855529785156,-0.03720414638519287,0.9934365749359131,0.0002597887553747569,1341.5498345956207,0.2,-5.630494677647948,0.001,0.032987136,0.2007659912109375,60,,
825,269.06302,317,8,301.0,262144,2404.96875,0.005767405033111572,0.9896231889724731,0.0015518130732743885,2632.5733000189066,0.2,-5.626725718937815,0.001,0.02277588,0.2117401123046875,70,,
934,130.36882,315,9,301.0,294912,374.5754089355469,0.05489778518676758,0.9788301587104797,0.0026601038735861947,2926.9179197251797,0.2,-5.603333339467644,0.001,0.023198543,0.2485931396484375,80,,
1043,280.19144,314,10,301.0,327680,197.26138305664062,0.10498577356338501,0.9800450801849365,0.003162714033123848,1486.4118361517787,0.2,-5.586546481400728,0.001,0.025716737,0.2662078857421875,90,,
1151,355.69034,313,11,301.0,360448,107.70319366455078,0.10780268907546997,0.9727529883384705,0.0020821512667225763,2438.6817972898484,0.2,-5.567546041309834,0.001,0.024514493,0.258612060546875,100,,
1258,285.19662,312,12,301.0,393216,169.60279846191406,0.08926749229431152,0.9639060497283936,0.0030625864294052006,2082.6222244918345,0.2,-5.534498619288206,0.001,0.026115116,0.266448974609375,110,,
1367,648.9932,311,13,301.0,425984,161.92198181152344,0.17245769500732422,0.9547378420829773,0.004494700782606742,1965.623832178116,0.2,-5.494947326369584,0.001,0.031035624,0.28486328125,120,,
1475,348.08356,310,14,300.5,458752,653.1347045898438,0.10418939590454102,0.9518157839775085,0.002696997795101197,4156.559408318996,0.2,-5.47259439472109,0.001,0.023512654,0.247003173828125,130,,
1584,568.2621,310,15,301.0,491520,717.2040405273438,0.05060005187988281,0.9458065629005432,0.002113184144218394,7078.175989508629,0.2,-5.451919649913907,0.001,0.029525377,0.2896514892578125,140,,
1691,610.9149,309,16,301.0,524288,181.67601013183594,0.056098103523254395,0.9482401609420776,0.0027014199132281646,2960.0678811728953,0.2,-5.441381127014756,0.001,0.028129458,0.2774169921875,150,,
1800,398.955,309,17,301.0,557056,2945.318115234375,0.07832396030426025,0.9464789628982544,0.002178690712662501,3503.968234223127,0.2,-5.452442091144621,0.001,0.028338782,0.279254150390625,160,,
1908,607.9528,309,18,301.0,589824,324.89678955078125,0.16132795810699463,0.9495128393173218,0.004046516088465069,2356.970864021778,0.2,-5.452202218957245,0.001,0.031831652,0.304595947265625,170,,
2016,521.1472,308,19,301.0,622592,249.462890625,0.036419808864593506,0.9390478134155273,0.0019091665411906434,3156.6172989547254,0.2,-5.4267826151102785,0.001,0.032844417,0.3017333984375,180,,
2124,527.4639,308,20,301.0,655360,389.10211181640625,0.041935503482818604,0.9303022027015686,0.00275405756156033,2551.913193488121,0.2,-5.38318959325552,0.001,0.03248646,0.3135589599609375,190,,
2232,737.3862,308,21,301.0,688128,2835.275634765625,0.05963772535324097,0.9317411184310913,0.0030392310473871475,2669.750056898594,0.2,-5.377665973640978,0.001,0.031994797,0.3143829345703125,200,,
2340,681.5871,307,22,299.91,720896,441.16259765625,0.05370485782623291,0.9239734411239624,0.002781380462420202,3490.128718060255,0.2,-5.3619380604475735,0.001,0.031799812,0.3008087158203125,210,,
2448,800.85834,307,23,301.0,753664,332.35308837890625,0.06637638807296753,0.9168421030044556,0.0009276802497879544,3572.814832484722,0.2,-5.326965648494661,0.001,0.030905874,0.3027191162109375,220,,
2556,1058.8715,307,24,299.56,786432,218.65576171875,0.1067197322845459,0.909436047077179,0.0033141194619929594,4061.725709271431,0.2,-5.307460701465606,0.001,0.032549247,0.3057342529296875,230,,
2664,1060.7163,307,25,301.0,819200,537.5751342773438,0.07447671890258789,0.8971483707427979,0.0012854978635004955,6390.859014832973,0.2,-5.258868013694882,0.001,0.031072572,0.297259521484375,240,,
