time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
309,32768,1,325.4193548387097,105,2332.1436,,,,,,,,,,,,,
287,65536,2,352.85,228,2538.8245,0.0023114223136417424,0.012882706,71857.01687316895,32664.10546875,0.1140777587890625,2480,-1.9465667618438602,0.2869412899017334,0.0001,0.3944130539894104,0.2,,
277,98304,3,337.1,353,2061.4946,0.001929542979269172,0.010774348,50652.561993408206,27512.251953125,0.10308837890625,2490,-1.9454365774057805,0.537286788225174,0.0001,0.3943822979927063,0.2,,
271,131072,4,341.15,482,2219.0,0.0017673102322078194,0.008194496,57172.331146240234,24688.591796875,0.0703369140625,2500,-1.9446680676192045,0.6253041923046112,0.0001,0.39425307512283325,0.2,,
271,163840,5,368.34,604,2707.0,-2.9955355330457678e-05,0.0068793166,51596.55464324951,22567.560546875,0.0596343994140625,2510,-1.943565090186894,0.6728807091712952,0.0001,0.3941843807697296,0.2,,
270,196608,6,367.65,726,2828.0,0.0008349837602054322,0.008058589,44683.298643493654,16015.22265625,0.0757232666015625,2520,-1.942553872987628,0.7426276803016663,0.0001,0.3940461575984955,0.2,,
270,229376,7,359.83,846,2522.0,-9.676047911852948e-05,0.0068464614,43882.17638244629,30406.55078125,0.0504180908203125,2530,-1.9414099180139601,0.7452571094036102,0.0001,0.39394456148147583,0.2,,
271,262144,8,375.23,965,2876.8215,-0.0002262748776047374,0.00697082,47125.768772125244,21088.453125,0.0507720947265625,2540,-1.9401066219434142,0.7732675224542618,0.0001,0.3937830626964569,0.2,,
272,294912,9,379.02,1083,3177.0,0.001059545592033828,0.0075115636,44971.601077270505,14480.375,0.0624847412109375,2550,-1.9386437291279435,0.7680899202823639,0.0001,0.3936595320701599,0.2,,
272,327680,10,372.76,1201,3140.0,0.0005344669862097362,0.0059363856,38590.202129364014,16644.306640625,0.043231201171875,2560,-1.9376138988882303,0.7819153517484665,0.0001,0.393580824136734,0.2,,
