rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,eval/mean_ep_length,eval/mean_reward
898.3448275862069,2493.1646,357,91,32768,1,,,,,,,,,,,,,
906.8307692307692,2844.3896,360,181,65536,2,0.0001,0.06407470703125,-1.9470732033252716,48516.45200195313,0.0003920786417438649,0.2,18937.029296875,0.11157667636871338,2480,0.008549094,0.3945162892341614,,
893.58,2811.0076,362,271,98304,3,0.0001,0.0427825927734375,-1.9462157152593136,52201.0330078125,-0.00020917435322189703,0.2,21813.0546875,0.11811107397079468,2490,0.0065301117,0.3944283723831177,,
912.44,2981.5547,362,361,131072,4,0.0001,0.0413330078125,-1.9455073907971383,47900.44030761719,-0.00044124714040663095,0.2,16999.328125,0.13685142993927002,2500,0.0065575195,0.3943815231323242,,
945.79,3229.866,361,453,163840,5,0.0001,0.038116455078125,-1.9451354995369912,47809.63781738281,-0.0001572564498928841,0.2,18270.94140625,0.2618292570114136,2510,0.0054357387,0.3943585753440857,,
970.05,3741.7988,362,543,196608,6,0.0001,0.0486297607421875,-1.9447374224662781,45319.68901367187,0.0012152729563240428,0.2,17947.9765625,0.25524866580963135,2520,0.0073449593,0.3942981958389282,,
968.87,4027.7903,360,636,229376,7,0.0001,0.0573638916015625,-1.944060468673706,48704.70009765625,0.0006818499721703119,0.2,19447.326171875,0.24912214279174805,2530,0.007900196,0.39423784613609314,,
949.34,3655.7593,359,729,262144,8,0.0001,0.025067138671875,-1.943469050526619,44871.64757080078,-0.0005663424148224294,0.2,15898.8046875,0.3206033706665039,2540,0.005188464,0.3941817581653595,,
946.9,3427.1074,358,822,294912,9,0.0001,0.03026123046875,-1.9430588908493518,59772.788818359375,-0.0007528821341111324,0.2,26146.26953125,0.2886659502983093,2550,0.0057475385,0.39416491985321045,,
969.9,3522.9377,356,918,327680,10,0.0001,0.017132568359375,-1.9428668454289437,45364.12772216797,0.00019575652258936317,0.2,18528.880859375,0.30079102516174316,2560,0.0038919933,0.3941458761692047,,
1007.54,4108.718,355,1013,360448,11,0.0001,0.025592041015625,-1.942827185243368,48250.485034179685,-0.001056301202333998,0.2,19856.81640625,0.3358391523361206,2570,0.0050543603,0.394164502620697,,
1032.25,4600.4165,356,1103,393216,12,0.0001,0.023486328125,-1.9429205246269703,46352.39450683594,-0.0004501399271248374,0.2,19920.078125,0.3232102394104004,2580,0.004900154,0.39415591955184937,,
