time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
360448,831.95,4994.7505,300,1198,11,0.0082533015,2570,5097.99267578125,28150.4879032135,0.2,0.07030029296875,-1.93302985788323,0.0001,0.00022480229672510176,0.393082857131958,0.28275126218795776,,
393216,868.17,5301.4355,300,1308,12,0.00626528,2580,9288.658203125,24180.398526000976,0.2,0.0529296875,-1.9315172031987458,0.0001,0.0006710165576805594,0.39296138286590576,0.33581554889678955,,
425984,847.36,5118.353,299,1423,13,0.006145347,2590,7614.787109375,23538.360689926147,0.2,0.051806640625,-1.9300233615562319,0.0001,0.00030096663740550864,0.3928067684173584,0.34385985136032104,,
458752,877.98,5840.745,296,1544,14,0.007652197,2600,5329.306640625,23589.668004608153,0.2,0.0690704345703125,-1.9287727364804597,0.0001,0.0006053891593182925,0.39269280433654785,0.38652265071868896,,
491520,863.77,5960.4062,295,1663,15,0.0062331473,2610,10747.4794921875,25131.580887413023,0.2,0.0503814697265625,-1.9279457395896316,0.0001,0.0007761987626508926,0.39265358448028564,0.45189493894577026,,
524288,876.9,6058.121,295,1774,16,0.008318333,2620,7124.4677734375,24139.98491001129,0.2,0.0780609130859375,-1.9267269427422433,0.0001,-0.0003365475925420469,0.39242488145828247,0.37000298500061035,,
557056,878.12,6099.0913,295,1884,17,0.007049845,2630,6277.9189453125,22505.865851211547,0.2,0.064166259765625,-1.9252637913450599,0.0001,-0.0007643722906323092,0.39240920543670654,0.4478813409805298,,
589824,916.5,6778.1655,295,1995,18,0.0073021017,2640,10524.0283203125,24983.60599479675,0.2,0.072515869140625,-1.9247244687750935,0.0001,-0.0003349541419993329,0.3922979235649109,0.4243640899658203,,
622592,943.92,7269.9536,294,2114,19,0.007211308,2650,4712.1728515625,23543.293125915527,0.2,0.069927978515625,-1.9231218272354453,0.0001,9.866478521871613e-05,0.39209485054016113,0.4956181049346924,,
655360,942.29,7510.0044,293,2232,20,0.0067819674,2660,7646.84375,23627.623788261415,0.2,0.0603790283203125,-1.921704788133502,0.0001,0.0001860994438175112,0.3920358419418335,0.5412685871124268,,
