time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/n_updates,train/value_loss,train/entropy_loss
320,102,2586.3567,350.6823529411765,32768,1,,,,,,,,,,,
276,237,2497.7625,328.51,65536,2,13619.798828125,0.2,0.0001,0.016164571,0.032209813594818115,0.16734619140625,0.004587482610713778,0.39439189434051514,2480,58620.656343841554,-1.9463009597267955
262,374,2493.2542,324.95,98304,3,16357.1064453125,0.2,0.0001,0.011578103,0.315426230430603,0.1011505126953125,0.0021265707594011474,0.39440006017684937,2490,58023.006092834476,-1.945418107137084
255,512,3103.0366,370.87,131072,4,13310.4482421875,0.2,0.0001,0.011834757,0.3720688819885254,0.1063812255859375,0.0015178477823610593,0.3943898379802704,2500,53852.945373535156,-1.9454741227906198
251,651,2763.6025,357.65,163840,5,14698.400390625,0.2,0.0001,0.008704833,0.5558115541934967,0.0826995849609375,0.0007229177862427605,0.39418864250183105,2510,42418.55200080872,-1.9443756490945816
248,789,2991.2097,371.83,196608,6,15162.3349609375,0.2,0.0001,0.006594938,0.5480445027351379,0.0519256591796875,0.0014918593326456175,0.39410126209259033,2520,47044.997090911864,-1.9428869529627264
246,929,3314.2766,399.0,229376,7,8594.4306640625,0.2,0.0001,0.0088168355,0.672219842672348,0.0813262939453125,0.0017339003015877097,0.39406609535217285,2530,44645.234539794925,-1.9422783702146262
245,1067,3183.3203,371.74,262144,8,5883.056640625,0.2,0.0001,0.008682923,0.699120819568634,0.0827728271484375,-0.0002540290091019415,0.39401504397392273,2540,37002.76641654968,-1.9418391129467636
244,1206,3022.463,352.52,294912,9,22724.283203125,0.2,0.0001,0.007543931,0.6743311882019043,0.0601165771484375,-0.00016381411178372217,0.3939010202884674,2550,48244.66146430969,-1.9409582290332765
243,1345,3107.8174,361.76,327680,10,10904.3857421875,0.2,0.0001,0.0073643173,0.6913581192493439,0.0662689208984375,2.469592313900648e-05,0.3937261700630188,2560,50018.003226470944,-1.9394996440038086
242,1486,3653.1074,388.67,360448,11,19195.0,0.2,0.0001,0.007041048,0.6941206157207489,0.06619873046875,-0.00031410795704687187,0.3936725854873657,2570,44004.935486602786,-1.9381482084281743
