time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
92,32768,352,869.4642857142857,1,2469.2007,,,,,,,,,,,,,
189,65536,346,930.3384615384615,2,3431.9626,0.047467041015625,0.0066273487,2480,-1.9472731433808803,48960.64614257812,0.0005610202977550216,0.07267934083938599,0.0001,0.3945560157299042,0.2,17656.556640625,,
282,98304,348,935.2234042553191,3,3651.2004,0.0472930908203125,0.006601887,2490,-1.9469186633825302,54618.11828613281,0.0012457085620553698,0.10637354850769043,0.0001,0.3945193886756897,0.2,22902.3359375,,
377,131072,347,950.78,4,3915.8293,0.04539794921875,0.0065942565,2500,-1.9464644327759744,51299.90285644531,0.0009804319837712684,0.2144489884376526,0.0001,0.39447933435440063,0.2,18853.94140625,,
472,163840,346,966.43,5,4167.798,0.035382080078125,0.0062999846,2510,-1.9460938259959222,53987.09577636719,0.0006697978955344297,0.1771802306175232,0.0001,0.39444500207901,0.2,23434.484375,,
564,196608,348,956.52,6,4065.0605,0.0296295166015625,0.00510507,2520,-1.945586583763361,57480.51157226563,0.00034175234432041177,0.2753469944000244,0.0001,0.3943854570388794,0.2,23339.87890625,,
655,229376,349,925.91,7,3851.175,0.032403564453125,0.0054783933,2530,-1.945213072001934,51461.315698242186,-0.0012661166896577925,0.27382832765579224,0.0001,0.3943728506565094,0.2,22240.892578125,,
747,262144,350,933.36,8,4086.33,0.0345367431640625,0.0059436364,2540,-1.945127397030592,50730.89521484375,3.6407042352948336e-05,0.36064642667770386,0.0001,0.3943674862384796,0.2,21974.7890625,,
839,294912,351,959.13,9,4542.3477,0.0356353759765625,0.0058845812,2550,-1.9448423132300376,53587.57534179687,-0.00034391708759358154,0.30291903018951416,0.0001,0.3943125009536743,0.2,23513.212890625,,
932,327680,351,1006.44,10,5114.338,0.023419189453125,0.0047514685,2560,-1.944521601498127,46642.678515625,-0.0006836922657385003,0.4172353744506836,0.0001,0.3943128287792206,0.2,18533.828125,,
1025,360448,351,1034.76,11,5482.938,0.04049072265625,0.0065541705,2570,-1.9444581508636474,49158.14499511719,-0.0006589048018213362,0.42287808656692505,0.0001,0.3942984938621521,0.2,19839.001953125,,
1118,393216,351,1084.67,12,5925.0933,0.0190673828125,0.004522709,2580,-1.9442611142992974,46252.407470703125,-0.0007547794179117773,0.46366721391677856,0.0001,0.3942735493183136,0.2,20009.37109375,,
1210,425984,351,1095.36,13,5616.4736,0.036383056640625,0.0054586064,2590,-1.9440340980887414,71863.91594238281,0.0002707609441131353,0.4693910479545593,0.0001,0.3942497670650482,0.2,30507.36328125,,
1304,458752,351,1116.62,14,6109.916,0.0233062744140625,0.004789385,2600,-1.943975106626749,124205.41970214844,-8.374115714104846e-05,0.44865483045578003,0.0001,0.39426231384277344,0.2,30042.056640625,,
1402,491520,350,1102.62,15,6108.9463,0.023797607421875,0.0046078004,2610,-1.9438113689422607,47376.99221191406,-0.00043711334947147404,0.44068485498428345,0.0001,0.39420831203460693,0.2,20268.7734375,,
1500,524288,349,1150.92,16,7318.0063,0.0369232177734375,0.0053455606,2620,-1.943275685608387,48200.10712890625,0.0004918340739095584,0.42065292596817017,0.0001,0.3941616714000702,0.2,19787.984375,,
1598,557056,348,1152.7,17,7528.723,0.024560546875,0.005443514,2630,-1.9429975308477878,47084.43063964844,0.00022059740003896878,0.5368905067443848,0.0001,0.3941551148891449,0.2,18145.966796875,,
1694,589824,348,1133.07,18,7501.0664,0.0125030517578125,0.0037827515,2640,-1.942846916615963,44354.86528320312,-0.0003794803655182477,0.46314722299575806,0.0001,0.3941307067871094,0.2,17007.677734375,,
1790,622592,347,1153.04,19,7626.615,0.0248382568359375,0.0045810523,2650,-1.942472942173481,47318.70114746094,4.692989386967383e-05,0.42309099435806274,0.0001,0.3940817713737488,0.2,19019.322265625,,
1886,655360,347,1135.31,20,7657.9067,0.02237548828125,0.004341998,2660,-1.9423648461699485,45508.27431640625,-0.0005027130391681567,0.4483201503753662,0.0001,0.3941207826137543,0.2,18812.099609375,,
1982,688128,347,1157.68,21,7989.357,0.0150299072265625,0.003589611,2670,-1.9425128184258937,47576.476879882815,-0.0005048294915468432,0.4400772452354431,0.0001,0.39410343766212463,0.2,19471.421875,,
2076,720896,347,1172.42,22,8281.866,0.0195953369140625,0.004200935,2680,-1.9424513190984727,48039.202734375,0.0006574277416802943,0.5395447909832001,0.0001,0.3941143751144409,0.2,18438.357421875,,
2172,753664,346,1160.07,23,8444.754,0.0185546875,0.0042291656,2690,-1.942642154544592,46563.21616210938,-0.0003020024429133628,0.4523388743400574,0.0001,0.3941415250301361,0.2,18789.26953125,,
2266,786432,346,1179.57,24,8657.499,0.01962890625,0.0044478904,2700,-1.9427277594804764,45065.1337890625,0.0003188367430993821,0.49050992727279663,0.0001,0.3941344916820526,0.2,17544.599609375,,
2362,819200,346,1160.16,25,8833.464,0.0218414306640625,0.004751766,2710,-1.942536224424839,49708.63408203125,-0.001015613883646438,0.45367616415023804,0.0001,0.39410796761512756,0.2,18711.84765625,,
2459,851968,346,1143.7,26,8696.441,0.01876220703125,0.0040853294,2720,-1.9422627687454224,45320.420581054685,0.00011248711962252855,0.48904210329055786,0.0001,0.3940843343734741,0.2,18446.673828125,,
