time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range
32768,59,548,-229.07051,301.0,1,,,,,,,,,,,
65536,177,369,-139.59744,301.0,2,0.008686536,10,0.9922378063201904,-5.643907267507165,0.001,24.076623916625977,76.72541268095374,-0.011592500283859409,0.0003370046615600586,0.13271484375,0.2
98304,292,335,10.299334,301.0,3,0.010869797,20,0.9788632988929749,-5.618274743668735,0.001,47.68901062011719,102.7600977525115,-0.018739333310827534,0.33596664667129517,0.16287841796875,0.2
131072,401,326,148.53291,301.0,4,0.012240744,30,0.9691318273544312,-5.548493822850287,0.001,50.29763412475586,381.59579581320287,-0.017201644877195575,0.25721603631973267,0.1823577880859375,0.2
163840,506,323,357.66812,301.0,5,0.012066604,40,0.9593421220779419,-5.500549487490207,0.001,105.43739318847656,1233.2232485115528,-0.014212571291955101,0.20062392950057983,0.169073486328125,0.2
196608,612,321,455.81094,301.0,6,0.007075633,50,0.9463526010513306,-5.475430061481893,0.001,4009.992431640625,5200.634354096651,-0.004495502605038837,0.06050139665603638,0.1024169921875,0.2
229376,716,319,421.08417,301.0,7,0.00802657,60,0.9344228506088257,-5.420235215406865,0.001,3642.134765625,9121.623844921589,-0.002243013044471809,0.025279343128204346,0.07789306640625,0.2
262144,822,318,374.75107,301.0,8,0.0058831545,70,0.938335657119751,-5.386786903440952,0.001,10214.46875,7665.792764604092,-0.0020854078617503547,0.04039597511291504,0.065618896484375,0.2
294912,928,317,346.69614,301.0,9,0.0065303654,80,0.9333645701408386,-5.406870328541845,0.001,163.66941833496094,7468.330357375741,-0.0012607261265202396,0.09325051307678223,0.0564453125,0.2
327680,1034,316,267.9086,301.0,10,0.00501411,90,0.9250996112823486,-5.371342849358916,0.001,1116.0306396484375,7199.730162394047,-0.0015387557630674564,0.29325389862060547,0.04080810546875,0.2
360448,1141,315,313.5806,301.0,11,0.0044061947,100,0.9330816268920898,-5.36780773261562,0.001,4703.45703125,6557.450344842672,-0.00026001260143857505,0.47565996646881104,0.0254180908203125,0.2
393216,1247,315,227.65752,301.0,12,0.003945971,110,0.9250953793525696,-5.368475413974375,0.001,1161.557861328125,8747.859543401002,-0.001793889749274058,0.518052726984024,0.032373046875,0.2
425984,1354,314,267.13434,301.0,13,0.0038201273,120,0.9203848838806152,-5.351204404514283,0.001,1672.216064453125,6494.9973030388355,-0.0010177441842188274,0.6700654625892639,0.0240386962890625,0.2
458752,1463,313,232.87813,301.0,14,0.0029454604,130,0.9139894247055054,-5.332763074990362,0.001,3895.190185546875,9158.350239425898,-0.00023574353035655805,0.6518290042877197,0.009765625,0.2
491520,1572,312,262.86374,301.0,15,0.005540563,140,0.9140944480895996,-5.31143762730062,0.001,6011.95751953125,6656.739570352435,-0.0001654450343494318,0.7421236038208008,0.0336090087890625,0.2
524288,1681,311,365.93933,301.0,16,0.005539795,150,0.9129648208618164,-5.311149190459401,0.001,9042.669921875,7909.573534521461,-0.0015313901539684594,0.7225799858570099,0.051287841796875,0.2
557056,1795,310,412.7263,301.0,17,0.0056557655,160,0.9026578068733215,-5.298625445552171,0.001,12106.0751953125,8733.048332673312,-0.0006235356440583928,0.6683523952960968,0.036944580078125,0.2
589824,1905,309,333.60532,301.0,18,0.003638025,170,0.8939622044563293,-5.239618627447635,0.001,1388.395263671875,10085.392558670044,-0.000810273727574895,0.6145808100700378,0.0393310546875,0.2
622592,2014,309,455.1825,301.0,19,0.0040428145,180,0.8920032978057861,-5.222416571993381,0.001,5852.3603515625,7690.575179982186,-0.0008485248151146152,0.7255934178829193,0.040167236328125,0.2
655360,2122,308,454.47534,301.0,20,0.0053827306,190,0.8854407668113708,-5.216327753756195,0.001,3660.85205078125,9469.786785185337,-0.00048230704621801126,0.6184488236904144,0.0362640380859375,0.2
688128,2230,308,412.92484,301.0,21,0.008459077,200,0.8697680234909058,-5.162413094658405,0.001,805.4168701171875,8799.11661247015,-0.0003718032565075191,0.6751416325569153,0.0803253173828125,0.2
720896,2338,308,517.39594,301.0,22,0.0081326,210,0.8690791726112366,-5.116234823688865,0.001,15178.87109375,8154.8138281285765,-0.00020882548512872744,0.7069204747676849,0.0919097900390625,0.2
753664,2447,307,420.71585,301.0,23,0.0057259244,220,0.8660693168640137,-5.119249191321432,0.001,1707.5501708984375,9602.297283032536,-0.0006718123609971372,0.6001260876655579,0.075921630859375,0.2
786432,2557,307,564.61,301.0,24,0.0074367896,230,0.8615276217460632,-5.077902815956622,0.001,5507.15966796875,8519.775238484144,-6.128380141490197e-05,0.6702482998371124,0.08824462890625,0.2
819200,2667,307,570.22314,301.0,25,0.008777387,240,0.858278214931488,-5.076302259135991,0.001,3481.392822265625,9633.656962665915,0.0002959852491812853,0.6130433082580566,0.1134246826171875,0.2
851968,2775,306,659.67194,301.0,26,0.008523408,250,0.8497008681297302,-5.040233719628304,0.001,8735.9326171875,9417.457276257872,0.002051758438892648,0.6222124695777893,0.15439453125,0.2
884736,2884,306,794.7707,301.0,27,0.008698539,260,0.8442230820655823,-5.015340254269541,0.001,7463.44677734375,10170.881399077178,0.0001665603452124742,0.516378790140152,0.1058807373046875,0.2
917504,2993,306,690.05695,301.0,28,0.009365339,270,0.8337196111679077,-4.991911587771028,0.001,8792.015625,11862.629844164849,0.0017747019353919313,0.4936727285385132,0.1237945556640625,0.2
950272,3103,306,746.2969,301.0,29,0.012324285,280,0.8381091356277466,-4.942908719647676,0.001,4368.765625,10518.646699970961,0.0018816754892895915,0.5807290375232697,0.140087890625,0.2
983040,3212,305,781.423,301.0,30,0.008634674,290,0.8401316404342651,-4.958325565699488,0.001,2483.179931640625,10085.624456095695,0.0019139657088771856,0.4682987332344055,0.12000732421875,0.2
1015808,3322,305,847.98267,301.0,31,0.014937907,300,0.8357260227203369,-4.954775689076632,0.001,11015.0439453125,10287.734087640047,0.0028067012347037235,0.49403053522109985,0.153564453125,0.2
