time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl
28,283,8192,1,301.0,102.48089,,,,,,,,,,,
61,268,16384,2,301.0,123.90948,10,810.316162109375,0.001,-5.620397393405438,0.12332763671875,0.983120322227478,-6.020069122314453e-05,6083.3905966997145,-0.0007085019406076754,0.2,0.008366745
94,260,24576,3,301.0,169.17429,20,1959.488037109375,0.001,-5.596885476261377,0.07249755859375,0.9788534641265869,0.05944383144378662,5485.175271260739,-0.0013500799561370514,0.2,0.0090331165
126,258,32768,4,301.0,254.14601,30,3605.27978515625,0.001,-5.586786377429962,0.09735107421875,0.9763808250427246,0.1367749571800232,8519.286022639275,-0.0038054461852880194,0.2,0.008260826
159,256,40960,5,301.0,335.00836,40,2734.363525390625,0.001,-5.578638472408056,0.048828125,0.9754392504692078,0.16806572675704956,13183.741825294495,0.002520080195790797,0.2,0.0061939843
192,255,49152,6,301.0,395.6108,50,1392.286865234375,0.001,-5.562543594092131,0.07498779296875,0.9679391384124756,0.23893892765045166,8930.285915160179,-0.003093824126153777,0.2,0.008435194
225,254,57344,7,301.0,466.83984,60,6066.818359375,0.001,-5.540586999058723,0.04840087890625,0.9649931192398071,0.18792498111724854,11002.699034404755,-0.0018950128453070648,0.2,0.0059173694
