time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range
819200,25,297.35,190,4306,1131.138,-0.0003694643946346332,-2.4583967637270687,14903.3994140625,31619.06717300415,1e-05,0.4490733742713928,2700,0.0020955603,0.6147295534610748,0.0041015625,0.2
851968,26,295.08,190,4479,1008.75037,-0.0003731059941856074,-2.458142525330186,15612.6484375,27726.60756225586,1e-05,0.4490400552749634,2710,0.001867093,0.6800822913646698,0.0032196044921875,0.2
884736,27,296.46,190,4652,1162.1328,4.447621608960617e-05,-2.4578944250941275,9606.259765625,29499.202867126463,1e-05,0.44901910424232483,2720,0.0017432801,0.6595070958137512,0.0025238037109375,0.2
917504,28,295.88,190,4825,1164.5314,-0.0005586173133906413,-2.4577536640688775,10998.9208984375,29876.043410491944,1e-05,0.4490092992782593,2730,0.001654033,0.6519349813461304,0.001812744140625,0.2
950272,29,301.0,190,4998,1013.53485,-0.0003654324290437216,-2.4576222145929933,10859.0341796875,26274.357719421387,1e-05,0.4489893913269043,2740,0.0022980636,0.6991359293460846,0.00618896484375,0.2
983040,30,295.11,190,5173,1052.0327,-0.00019033459375350503,-2.4573860228061677,16265.0380859375,23924.134438323974,1e-05,0.4489588737487793,2750,0.001928503,0.7095293402671814,0.0030731201171875,0.2
1015808,31,298.8,189,5349,1077.6842,-0.00046684032031407696,-2.4571967769414185,15396.3154296875,25773.880947875976,1e-05,0.44894838333129883,2760,0.0015467469,0.7089930474758148,0.0012725830078125,0.2
1048576,32,300.09,189,5524,1098.7737,-0.00023268650261343282,-2.457050373591483,11982.6748046875,26911.25729446411,1e-05,0.4489212930202484,2770,0.0030693696,0.6855376660823822,0.0102386474609375,0.2
1081344,33,293.07,189,5697,1074.8949,-5.945301227257005e-05,-2.4567335188388824,13420.1337890625,25276.87686920166,1e-05,0.44887983798980713,2780,0.0016001093,0.7169661223888397,0.001654052734375,0.2
1114112,34,297.66,189,5872,1127.0969,-0.0004911200687274686,-2.4563562793657185,10204.8779296875,31235.234020233154,1e-05,0.44884055852890015,2790,0.0021522078,0.6548570394515991,0.0036468505859375,0.2
