rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/std,train/n_updates,train/clip_fraction
301.0,32768,1,57,568,-224.32973,,,,,,,,,,,
301.0,65536,2,128,509,-139.86316,37.68363571166992,-0.012493402724066982,0.008072412,0.0001,84.48760403692722,0.2,9.459257125854492e-05,-5.65896067917347,0.9946814179420471,10,0.113494873046875
301.0,98304,3,200,491,-36.43262,47.08732604980469,-0.016527456508811156,0.009812487,0.0001,93.54774551391601,0.2,0.2105814814567566,-5.652521814033389,0.9937498569488525,20,0.1387054443359375
301.0,131072,4,271,482,94.93517,513.1487426757812,-0.014735148809268139,0.010025954,0.0001,406.009952121973,0.2,0.18924880027770996,-5.649069888889789,0.9927349090576172,30,0.1336669921875
301.0,163840,5,342,478,197.68887,1766.5262451171875,-0.009616298593527972,0.009436108,0.0001,1288.7082468748092,0.2,0.13062143325805664,-5.644941351562738,0.9918076992034912,40,0.111639404296875
301.0,196608,6,414,474,127.2128,2508.685791015625,-0.004572813139748178,0.007194322,0.0001,2714.4207337379457,0.2,0.06764853000640869,-5.6414866503328085,0.9909683465957642,50,0.077130126953125
301.0,229376,7,485,472,45.73659,2401.4443359375,-0.0037973504222463816,0.0058400137,0.0001,2861.9909997701643,0.2,0.0347939133644104,-5.632260024920106,0.9872179627418518,60,0.063153076171875
301.0,262144,8,556,470,5.691725,187.2231903076172,-0.004590877591726894,0.0062666177,0.0001,649.0393304586411,0.2,-0.0417555570602417,-5.599089475348592,0.9774461388587952,70,0.0592193603515625
301.0,294912,9,628,469,44.294987,183.32432556152344,-0.0017512844349766965,0.0050169644,0.0001,386.1747074127197,0.2,-0.009349465370178223,-5.560052051395178,0.9697071313858032,80,0.0773162841796875
301.0,327680,10,699,468,16.536491,974.89501953125,-0.0013664469357081543,0.0055890055,0.0001,915.6346672296525,0.2,0.0,-5.538268315047025,0.9636324644088745,90,0.06309814453125
301.0,360448,11,771,467,22.355324,238.14788818359375,-0.0011973096253313996,0.0070402967,0.0001,697.1854211091995,0.2,-1.1920928955078125e-07,-5.520630138367414,0.9599384069442749,100,0.0486083984375
301.0,393216,12,843,466,30.045708,180.3114471435547,-0.0007334580316637584,0.007693586,0.0001,687.0294902801513,0.2,-2.384185791015625e-07,-5.49895475320518,0.9547731876373291,110,0.066534423828125
301.0,425984,13,914,465,-16.595474,184.5208740234375,-5.82747078169632e-05,0.006577478,0.0001,665.0862887144089,0.2,0.0,-5.485302840918303,0.9530160427093506,120,0.076361083984375
301.0,458752,14,986,465,22.23327,264.128173828125,0.0003082742897277058,0.004419042,0.0001,494.35974209308625,0.2,-1.1920928955078125e-07,-5.470645533502102,0.947624921798706,130,0.066595458984375
301.0,491520,15,1058,464,19.492935,209.9335479736328,0.0001867039542958082,0.0053579966,0.0001,1356.2232593774795,0.2,0.0,-5.448582082614303,0.9441713094711304,140,0.086102294921875
301.0,524288,16,1129,464,24.531023,206.5709991455078,0.0004516736285950174,0.009213449,0.0001,1388.2498115301132,0.2,0.0,-5.432385534793139,0.9404125213623047,150,0.0831787109375
301.0,557056,17,1201,463,40.25858,189.871826171875,0.000812175839109841,0.005523475,0.0001,997.9701641321183,0.2,-1.1920928955078125e-07,-5.411292730271816,0.9342791438102722,160,0.1040283203125
301.0,589824,18,1272,463,29.154324,227.55078125,-0.0011464364806670346,0.0098763835,0.0001,1004.2910197973251,0.2,-1.1920928955078125e-07,-5.399025414511561,0.9320557117462158,170,0.0983367919921875
301.0,622592,19,1344,463,88.969406,235.45468139648438,-0.00020932578672727686,0.008848161,0.0001,1239.3704527378081,0.2,0.0,-5.37940789796412,0.9278590679168701,180,0.1168670654296875
301.0,655360,20,1416,462,173.20984,158.82054138183594,-0.0007441106025908084,0.0071735205,0.0001,602.7642098307609,0.2,0.0,-5.366892219334841,0.9246372580528259,190,0.1154266357421875
301.0,688128,21,1487,462,131.92607,485.2021789550781,0.0012954828985130007,0.012431299,0.0001,1170.748821258545,0.2,-1.1920928955078125e-07,-5.351433121040463,0.9198424220085144,200,0.11884765625
301.0,720896,22,1559,462,139.68936,215.7987518310547,-0.0001616068610928778,0.014281799,0.0001,901.5229840993882,0.2,0.0,-5.326043087244034,0.9152505397796631,210,0.1300323486328125
301.0,753664,23,1631,462,176.7952,165.97854614257812,-0.0003328933623379271,0.0060278415,0.0001,660.1283282279968,0.2,0.0,-5.309180728346109,0.9102064967155457,220,0.08798828125
301.0,786432,24,1702,461,168.27435,651.57275390625,-7.745727052679285e-05,0.014891483,0.0001,1211.5102457284927,0.2,0.0,-5.282013707607985,0.9045247435569763,230,0.1081024169921875
301.0,819200,25,1774,461,146.6124,213.01007080078125,0.0005190042911294767,0.006751209,0.0001,985.639897942543,0.2,0.0,-5.264605306833983,0.9014285802841187,240,0.09967041015625
301.0,851968,26,1846,461,159.52663,462.498291015625,8.761416474953876e-05,0.008394469,0.0001,1862.9783500432968,0.2,0.0,-5.251410890370607,0.8986703157424927,250,0.1165191650390625
301.0,884736,27,1918,461,193.95143,468.4477844238281,-0.0001664622795942705,0.009163968,0.0001,784.4573871612549,0.2,0.0,-5.240724192932248,0.896858274936676,260,0.1106536865234375
