time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/std,train/value_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
1,436,75,791.56866,32768,451.4193548387097,,,,,,,,,,,,,
2,439,149,1846.6461,65536,544.29,-1.9467774234712123,0.008770787,0.39445993304252625,32345.416497802733,0.00018281871016370132,2480,0.0001,0.082098388671875,-0.014833211898803711,0.2,11196.1435546875,,
3,438,224,2773.2288,98304,629.16,-1.9459539745002985,0.0077027613,0.3944251835346222,33238.7848815918,0.000223424042633269,2490,0.0001,0.0604278564453125,0.1374301314353943,0.2,10180.9287109375,,
4,438,298,2725.3665,131072,628.88,-1.9455362305045127,0.008160119,0.394381582736969,38244.684271240236,0.0009406521643541055,2500,0.0001,0.0576416015625,0.1352030634880066,0.2,14401.541015625,,
5,441,370,2614.616,163840,614.4,-1.94526489302516,0.007405607,0.39436620473861694,34675.71109619141,0.0015874418400926515,2510,0.0001,0.049163818359375,0.29233837127685547,0.2,13738.2490234375,,
6,443,443,2814.868,196608,618.91,-1.9449553560465573,0.005945542,0.39431408047676086,34323.1692565918,2.776663313852623e-06,2520,0.0001,0.0425262451171875,0.33558064699172974,0.2,13361.9794921875,,
7,446,514,3256.625,229376,647.47,-1.9443478249013424,0.005828406,0.39425238966941833,35524.46506958008,-0.0003758020342502277,2530,0.0001,0.034808349609375,0.4208952784538269,0.2,11772.4912109375,,
8,444,589,3188.8406,262144,649.01,-1.9438098024576902,0.006056185,0.3942128121852875,32098.10726928711,-0.0004247320634021889,2540,0.0001,0.0419708251953125,0.4018869996070862,0.2,11834.3857421875,,
9,446,661,3173.3184,294912,654.11,-1.943289702385664,0.0061267437,0.39414575695991516,34901.98404541016,0.00026570285263005644,2550,0.0001,0.0466796875,0.41617000102996826,0.2,11786.0185546875,,
10,446,734,3270.1309,327680,652.9,-1.9428611543029546,0.0052162893,0.3941369652748108,31221.23046875,-0.0001579347841470735,2560,0.0001,0.03709716796875,0.4583072066307068,0.2,10836.017578125,,
11,447,805,3862.8728,360448,680.78,-1.942494384944439,0.00571879,0.39406752586364746,34607.20999145508,-0.0002154313486244064,2570,0.0001,0.037921142578125,0.44086259603500366,0.2,13619.38671875,,
12,447,878,4159.8564,393216,692.63,-1.9418903697282075,0.0056738765,0.3940100073814392,33938.42938232422,-0.0008673207812535111,2580,0.0001,0.0388397216796875,0.5083051323890686,0.2,13352.8251953125,,
13,444,958,4230.4077,425984,681.16,-1.9415579833090306,0.0050112745,0.39399778842926025,33654.36823120117,6.13074967986904e-05,2590,0.0001,0.030596923828125,0.5180962383747101,0.2,12112.5439453125,,
14,440,1042,4804.1826,458752,728.54,-1.9409596282988786,0.0056968816,0.39388614892959595,35395.627014160156,-0.0005941815921687521,2600,0.0001,0.039715576171875,0.5269004106521606,0.2,11608.6015625,,
15,438,1119,4846.7437,491520,713.51,-1.9400949921458959,0.005461576,0.3938387632369995,28332.76485900879,0.00010730715512181632,2610,0.0001,0.035516357421875,0.5526030957698822,0.2,9683.6689453125,,
16,435,1202,5047.785,524288,726.46,-1.9395920228213073,0.004050703,0.39378756284713745,33955.02678222656,-0.00012082092071068473,2620,0.0001,0.022991943359375,0.5479373037815094,0.2,13392.984375,,
17,434,1283,5204.014,557056,740.8,-1.9389726903289557,0.0048528723,0.3937152326107025,31648.488482666016,0.0006442887366574723,2630,0.0001,0.030438232421875,0.5570977330207825,0.2,10195.7626953125,,
18,434,1358,5493.256,589824,761.08,-1.9384206470102072,0.0047837067,0.3936823606491089,30512.353771972656,-0.0003987551310274284,2640,0.0001,0.0282196044921875,0.5688082873821259,0.2,11113.3818359375,,
19,432,1437,5389.337,622592,737.24,-1.9380194805562496,0.0047474643,0.39364364743232727,33327.119818115236,-1.3494151062332094e-05,2650,0.0001,0.0256256103515625,0.592222660779953,0.2,9447.982421875,,
20,431,1517,4916.373,655360,693.61,-1.937743277475238,0.005194907,0.39362674951553345,31507.726553344728,-0.0001359044366836315,2660,0.0001,0.0280731201171875,0.5614857077598572,0.2,9822.1962890625,,
21,430,1598,5157.687,688128,708.15,-1.9376056618988513,0.003924275,0.39361992478370667,35291.08863525391,3.852822155749891e-05,2670,0.0001,0.0152099609375,0.5682068467140198,0.2,13671.017578125,,
22,429,1678,5882.7236,720896,755.45,-1.9373644821345806,0.0044257953,0.3935871422290802,35693.92210693359,-0.00019239820030634292,2680,0.0001,0.0218719482421875,0.5472525358200073,0.2,15298.4609375,,
23,428,1757,5816.025,753664,763.26,-1.9369741804897784,0.005188605,0.3935476839542389,30141.84926147461,-0.0006037960287358146,2690,0.0001,0.0349609375,0.596504420042038,0.2,11036.388671875,,
24,428,1835,5329.273,786432,717.8,-1.9366485632956028,0.003602807,0.3935238718986511,30641.255303955077,-0.00028220489402883684,2700,0.0001,0.016790771484375,0.6126739680767059,0.2,12332.7939453125,,
25,428,1911,5351.087,819200,693.71,-1.9365071661770343,0.0055086715,0.39353159070014954,36578.15307006836,-0.00019384304614504798,2710,0.0001,0.03402099609375,0.5929042398929596,0.2,12427.0673828125,,
26,428,1988,5158.669,851968,683.51,-1.9363142102956772,0.004570686,0.3934756815433502,38231.83518676758,-0.000914872887369711,2720,0.0001,0.025079345703125,0.5630216896533966,0.2,15456.306640625,,
27,427,2071,5833.14,884736,741.69,-1.9356448613107204,0.004312171,0.39339789748191833,34299.62230834961,-0.0002472111184033565,2730,0.0001,0.0206512451171875,0.5876142680644989,0.2,15503.0048828125,,
28,426,2149,5491.4927,917504,720.66,-1.9351872500032186,0.0046326285,0.3933926820755005,31341.171627807616,-0.00012100248277420178,2740,0.0001,0.025311279296875,0.6629253923892975,0.2,14817.763671875,,
29,426,2230,5281.092,950272,688.69,-1.9351385798305274,0.0046382737,0.3933849632740021,39927.704290771486,-0.00035001460164494345,2750,0.0001,0.020880126953125,0.5415410697460175,0.2,15175.03125,,
30,424,2314,5613.344,983040,696.64,-1.9350256007164717,0.0031560264,0.39337781071662903,33279.908935546875,-0.0005047167869633995,2760,0.0001,0.012225341796875,0.593323141336441,0.2,13178.1455078125,,
31,424,2394,5665.4087,1015808,711.25,-1.935026453435421,0.0038382823,0.3933843672275543,37376.74185180664,0.0001474724693252938,2770,0.0001,0.0176483154296875,0.567512184381485,0.2,15255.5751953125,,
32,423,2475,5208.8,1048576,708.66,-1.934927973151207,0.003322195,0.39336100220680237,34196.66674194336,-0.0003992716916400241,2780,0.0001,0.0125579833984375,0.6030316054821014,0.2,14270.849609375,,
33,422,2559,5415.906,1081344,717.88,-1.9346408642828465,0.004526683,0.393328994512558,32524.9987121582,-0.0003775609344302211,2790,0.0001,0.0274810791015625,0.5447905361652374,0.2,13238.921875,,
34,421,2641,5636.607,1114112,726.29,-1.9343002889305354,0.0036676703,0.3932924270629883,35983.32711791992,-0.0009577338936651358,2800,0.0001,0.018878173828125,0.588254302740097,0.2,14891.783203125,,
35,421,2722,5133.2983,1146880,694.78,-1.9340430431067943,0.0034321155,0.3932812511920929,34447.817211914065,-0.00024877500618458726,2810,0.0001,0.011328125,0.5620118379592896,0.2,12069.638671875,,
36,420,2805,5603.14,1179648,721.81,-1.933579395711422,0.004048854,0.3931899070739746,35109.42033691406,-0.00026223905006190763,2820,0.0001,0.016412353515625,0.5832487642765045,0.2,12978.580078125,,
37,419,2888,6370.69,1212416,771.31,-1.932718851417303,0.0035678423,0.39311742782592773,31591.793914794922,6.439977078116499e-05,2830,0.0001,0.0150726318359375,0.621479868888855,0.2,11745.9658203125,,
38,418,2974,6620.727,1245184,793.28,-1.9321768146008254,0.0037433084,0.3930908143520355,32726.345092773438,-0.0006927349037141539,2840,0.0001,0.02100830078125,0.6486110687255859,0.2,11283.919921875,,
39,417,3062,6585.0083,1277952,806.32,-1.932011728361249,0.0046904488,0.3930835723876953,30526.767526245116,-0.0007444121190928854,2850,0.0001,0.0222015380859375,0.6614840030670166,0.2,10754.810546875,,
40,416,3145,6797.826,1310720,812.09,-1.9317172832787037,0.0039490173,0.3930293917655945,32807.10247192383,-2.506650307623204e-05,2860,0.0001,0.016790771484375,0.6350082159042358,0.2,12241.2490234375,,
41,415,3231,7025.721,1343488,824.28,-1.9310999568551779,0.0036504073,0.39296698570251465,30760.68049316406,-0.00022611602325923742,2870,0.0001,0.014300537109375,0.670232504606247,0.2,10162.4052734375,,
42,415,3315,7048.331,1376256,821.82,-1.9308115791529417,0.0030188742,0.3929847478866577,31589.58966064453,-0.0006457982861320488,2880,0.0001,0.0100067138671875,0.641135573387146,0.2,10882.6787109375,,
43,414,3399,6939.096,1409024,817.98,-1.930824475362897,0.003588149,0.39296507835388184,30880.50047607422,-0.000803234474369674,2890,0.0001,0.01578369140625,0.6551503837108612,0.2,12315.42578125,,
44,413,3487,6521.821,1441792,782.3,-1.930635616928339,0.0035683417,0.39295315742492676,32885.37228393555,-5.930696024734061e-05,2900,0.0001,0.013739013671875,0.6287412941455841,0.2,12756.4912109375,,
45,412,3575,6124.7896,1474560,757.95,-1.9304456010460853,0.0050181556,0.39293214678764343,31569.757653808592,0.00010186999061261304,2910,0.0001,0.038525390625,0.6496151089668274,0.2,9449.634765625,,
46,411,3662,6248.338,1507328,753.19,-1.9298495795577764,0.004048907,0.3928317129611969,32716.987036132814,-0.00010727167464210651,2920,0.0001,0.0180816650390625,0.6475187242031097,0.2,9179.326171875,,
47,410,3752,6678.2417,1540096,783.65,-1.9291390512138604,0.0025142906,0.3928084373474121,31876.999609375,-3.3817816438386215e-05,2930,0.0001,0.007000732421875,0.6662953794002533,0.2,12905.09765625,,
48,409,3838,6460.2373,1572864,776.6,-1.9287707898765802,0.003803212,0.39275503158569336,30263.981549072265,4.074949938512873e-05,2940,0.0001,0.0161773681640625,0.6353035867214203,0.2,11694.951171875,,
,,,,1600000,,-1.9282560095191001,0.0032329687,0.39271295070648193,31746.51958618164,-0.0002549895569245564,2950,0.0001,0.0105987548828125,0.6363312602043152,0.2,11471.85546875,3121.826904296875,586.98
49,393,4085,7053.004,1605632,815.16,,,,,,,,,,,,,
50,393,4160,6877.605,1638400,810.85,-1.927753583714366,0.004611089,0.3926512598991394,28791.493133544922,0.00035329039965290574,2960,0.0001,0.0244476318359375,0.6436780393123627,0.2,8921.1162109375,,
51,394,4235,6275.2524,1671168,762.64,-1.9271292231976986,0.0031558936,0.3925938010215759,32667.20062866211,0.0005088958496344276,2970,0.0001,0.0122283935546875,0.6317330002784729,0.2,11664.1630859375,,
52,395,4309,6810.588,1703936,795.74,-1.926805767044425,0.0033098971,0.3925841152667999,32229.75047607422,-0.0002870499283744721,2980,0.0001,0.01153564453125,0.6391308605670929,0.2,14476.9248046875,,
53,395,4386,6904.944,1736704,800.17,-1.9267496023327113,0.0042667855,0.3925836682319641,28537.9781829834,0.0006054554527509026,2990,0.0001,0.0234527587890625,0.6686116456985474,0.2,11603.525390625,,
54,396,4461,6603.8374,1769472,797.14,-1.9268166165798903,0.0032687834,0.39259567856788635,27529.688934326172,-0.00032099427880893927,3000,0.0001,0.0154998779296875,0.6901201903820038,0.2,9724.443359375,,
55,396,4542,6840.71,1802240,820.2,-1.9270321201533078,0.0035132363,0.39262571930885315,30319.54864501953,0.0009699815069325268,3010,0.0001,0.01649169921875,0.6576351523399353,0.2,9724.0205078125,,
