rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/explained_variance,train/std,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
-236.29517,59,301.0,32768,1,552,,,,,,,,,,,
-144.55386,146,301.0,65536,2,448,-4.303455352783203e-05,0.9947459101676941,0.001,0.195367431640625,0.012450113,10,0.2,-5.668505916558206,57.662296295166016,-0.006015120090341952,96.36641589552164
-43.66484,236,301.0,98304,3,416,0.012036323547363281,0.9892644882202148,0.001,0.1959808349609375,0.010242404,20,0.2,-5.638298669829965,36.896827697753906,-0.008323365026353714,91.62059993892908
94.964386,326,301.0,131072,4,401,0.025262534618377686,0.9831287860870361,0.001,0.1497406005859375,0.010356114,30,0.2,-5.610807553492487,41.090457916259766,-0.016162306679734683,92.10056559592485
204.8611,417,301.0,163840,5,392,0.1673528552055359,0.9750813245773315,0.001,0.1420928955078125,0.011464568,40,0.2,-5.595037406682968,71.76820373535156,-0.014723110087061286,401.9396466225386
213.149,507,301.0,196608,6,387,0.043226778507232666,0.9728219509124756,0.001,0.115374755859375,0.00879206,50,0.2,-5.569076000712812,3410.15869140625,-0.006515688294120992,2662.1017836391925
68.378296,598,301.0,229376,7,383,0.019310712814331055,0.9595444202423096,0.001,0.115179443359375,0.00820866,60,0.2,-5.518212854303419,8672.6435546875,-0.005094778252123433,4045.8059723615647
-6.667585,689,301.0,262144,8,379,0.027019381523132324,0.9510213136672974,0.001,0.085540771484375,0.0070588402,70,0.2,-5.464647108502686,135.474609375,-0.0025384146454143774,1701.2885487616063
45.609447,781,301.0,294912,9,377,0.3486734628677368,0.9411970376968384,0.001,0.0597259521484375,0.0067056385,80,0.2,-5.43201399371028,426.3383483886719,-0.0018450461235261172,644.7852693378925
42.755558,871,301.0,327680,10,375,0.4521510601043701,0.9348829388618469,0.001,0.085430908203125,0.0076619238,90,0.2,-5.402768618799746,160.9802703857422,-0.0034521637981015374,623.3554233908653
46.321644,961,301.0,360448,11,374,0.5824429094791412,0.9294584393501282,0.001,0.079345703125,0.006393,100,0.2,-5.389849188178777,202.94102478027344,-0.002807115510768199,603.8425187587738
-16.215775,1052,301.0,393216,12,373,0.5707010924816132,0.9259620308876038,0.001,0.07913818359375,0.007584574,110,0.2,-5.370204707793891,353.3984069824219,-0.001772053240256355,887.4150368094445
-76.64496,1143,301.0,425984,13,372,0.5545773804187775,0.9202866554260254,0.001,0.0845001220703125,0.0072740596,120,0.2,-5.342258274741471,171.6436767578125,-0.0019450633100859705,1266.9257206439972
22.723757,1234,301.0,458752,14,371,0.743680328130722,0.9268499612808228,0.001,0.087884521484375,0.0073631676,130,0.2,-5.338136938773095,172.78512573242188,-0.0019902871095837326,659.9622205555439
64.1584,1324,301.0,491520,15,371,0.7423344254493713,0.9217883348464966,0.001,0.094134521484375,0.010077946,140,0.2,-5.34620024934411,179.9785614013672,-0.0007722251049926854,946.2890526413918
67.2031,1415,301.0,524288,16,370,0.6888269782066345,0.9165927171707153,0.001,0.1016510009765625,0.0074794227,150,0.2,-5.3397371644154195,218.932373046875,-0.0010594491968276998,922.8693323135376
93.97569,1506,301.0,557056,17,369,0.7661230564117432,0.9053018093109131,0.001,0.10704345703125,0.008813214,160,0.2,-5.275486163422466,231.078857421875,-0.0019060929569604923,625.4621275603771
152.63,1596,301.0,589824,18,369,0.7508897185325623,0.8974097371101379,0.001,0.122027587890625,0.011282908,170,0.2,-5.253270403854549,123.0553207397461,-0.002342323753509845,608.1117954969407
171.72522,1687,301.0,622592,19,368,0.839694619178772,0.8860401511192322,0.001,0.1207275390625,0.008792752,180,0.2,-5.191596636734903,125.75858306884766,-0.003067818193903804,279.41796400547025
