time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/learning_rate
1,57,-235.35376,570,32768,301.0,,,,,,,,,,,
2,169,-124.42157,387,65536,301.0,30.47236442565918,10,-5.665898020472378,-0.011418705453979782,0.00881723,84.55477942228318,0.2,0.132696533203125,1.6689300537109375e-06,0.996039867401123,0.001
3,283,2.7094178,346,98304,301.0,44.88032913208008,20,-5.62273723995313,-0.017675743835388856,0.011888818,104.90541655421256,0.2,0.16387939453125,0.3483756184577942,0.98137366771698,0.001
4,399,154.33444,327,131072,301.0,83.97090911865234,30,-5.558353953436017,-0.016745270508818067,0.011578541,394.83450097441676,0.2,0.1774688720703125,0.23605585098266602,0.9665901064872742,0.001
5,515,176.59387,317,163840,301.0,1236.416259765625,40,-5.493832930456847,-0.011141086607676699,0.009805191,2120.6607462614775,0.2,0.1542755126953125,0.13329684734344482,0.954801082611084,0.001
6,631,118.14262,311,196608,301.0,167.155029296875,50,-5.451639649085701,-0.006901090275914612,0.008566309,2990.1723592251537,0.2,0.1237579345703125,0.08870947360992432,0.9505101442337036,0.001
7,746,134.14313,307,229376,301.0,186.79127502441406,60,-5.412790355924517,-0.006071937704746233,0.00866,1321.015596847236,0.2,0.1020751953125,0.03608870506286621,0.9306495189666748,0.001
8,861,54.53196,304,262144,301.0,132.1253204345703,70,-5.347114711441099,-0.003913465512619041,0.00793745,2391.8409502089025,0.2,0.0813629150390625,0.0613856315612793,0.9258775115013123,0.001
9,977,58.71715,301,294912,301.0,80.9373550415039,80,-5.3475265593267975,-0.004896324034598365,0.0073753307,770.6570998892188,0.2,0.0846160888671875,0.3704283833503723,0.9236553907394409,0.001
10,1093,113.58339,299,327680,301.0,76.75259399414062,90,-5.3461463076993825,-0.0058173941888753685,0.008758865,453.23163828849795,0.2,0.1009490966796875,0.6391565203666687,0.9213967323303223,0.001
11,1210,172.0593,297,360448,301.0,81.00309753417969,100,-5.335603551659733,-0.004127996897705088,0.009097016,1031.2365125641227,0.2,0.100848388671875,0.5535644590854645,0.91787189245224,0.001
12,1327,107.24185,296,393216,301.0,129.62759399414062,110,-5.2990816124714915,-0.0021489819864655146,0.008163393,1974.2367074280978,0.2,0.1033111572265625,0.42785292863845825,0.9084739685058594,0.001
13,1446,106.53743,294,425984,301.0,1082.96630859375,120,-5.272940515261143,-0.0006918964270880678,0.0100222705,1627.9321829885243,0.2,0.1099700927734375,0.5088257491588593,0.9124000072479248,0.001
14,1565,73.40813,293,458752,301.0,109.7939224243164,130,-5.2935290657915175,-0.0022395158328436084,0.0076507824,1103.6466024547815,0.2,0.1042633056640625,0.636153370141983,0.9115923643112183,0.001
15,1685,118.33623,291,491520,301.0,107.93827819824219,140,-5.275425104051829,-0.0034230043328079772,0.0089613255,294.5057675346732,0.2,0.1158538818359375,0.8508510738611221,0.9000504016876221,0.001
16,1805,148.96877,290,524288,301.0,86.44245147705078,150,-5.224539915006607,-0.004195408326540928,0.010566077,849.7799609109759,0.2,0.136065673828125,0.6625241637229919,0.8940219283103943,0.001
17,1925,151.46144,289,557056,301.0,151.30845642089844,160,-5.1947689861059185,-0.001593712789053825,0.010387044,1093.2603339880704,0.2,0.1361175537109375,0.5955789685249329,0.8835947513580322,0.001
18,2045,178.90283,288,589824,301.0,74.40800476074219,170,-5.140636275988072,-0.002874736889589258,0.011517825,236.2527039796114,0.2,0.139874267578125,0.847771942615509,0.8758724927902222,0.001
19,2166,262.78705,287,622592,301.0,124.27452087402344,180,-5.127512703090906,-0.00018061897733332444,0.012105975,846.2055142700672,0.2,0.1562591552734375,0.5986287593841553,0.87465500831604,0.001
20,2286,369.78973,286,655360,301.0,159.0811004638672,190,-5.118689050525427,-0.0016314020895606518,0.012713062,549.9517910853028,0.2,0.170361328125,0.6375172734260559,0.8727496862411499,0.001
21,2406,343.0652,285,688128,301.0,169.78147888183594,200,-5.117757199984044,0.006004694244484199,0.016409663,2524.920191296935,0.2,0.2245513916015625,0.23800134658813477,0.8715268969535828,0.001
22,2526,245.0385,285,720896,301.0,245.6905517578125,210,-5.096724125742912,0.00396616295683998,0.019188393,1732.855430239439,0.2,0.2336883544921875,0.3125854730606079,0.866263210773468,0.001
23,2646,341.56946,284,753664,301.0,5543.16552734375,220,-5.070280253235251,0.003862381373392054,0.017807357,2052.552822065353,0.2,0.231744384765625,0.28790992498397827,0.8583500385284424,0.001
24,2767,366.3345,284,786432,301.0,6557.78466796875,230,-5.040497185941786,0.0013922960396939744,0.019276947,2191.661822965741,0.2,0.2201141357421875,0.3083360195159912,0.8576216697692871,0.001
25,2886,550.8719,283,819200,301.0,135.9251708984375,240,-5.0230679455213245,0.001006398650065421,0.021604843,3137.021228596568,0.2,0.2538787841796875,0.22818130254745483,0.850024402141571,0.001
26,3005,636.3096,283,851968,301.0,16279.3603515625,250,-4.997189392801374,0.00891705986659872,0.03129627,4754.402281004191,0.2,0.31502685546875,0.15604853630065918,0.8471192717552185,0.001
27,3125,667.4309,283,884736,301.0,226.78965759277344,260,-4.99840385960415,0.020341638298282304,0.046041667,5998.437940597534,0.2,0.3697906494140625,0.06298607587814331,0.8416310548782349,0.001
28,3244,543.027,282,917504,301.0,4719.7666015625,270,-4.972226258087903,0.013265361409298747,0.029004913,5750.55327385664,0.2,0.2834259033203125,0.11822366714477539,0.843148946762085,0.001
29,3363,742.8564,282,950272,301.0,522.2435302734375,280,-4.974029883556068,0.008962589095244767,0.025629088,3902.6248839616774,0.2,0.231298828125,0.21176785230636597,0.8384081125259399,0.001
30,3484,566.96985,282,983040,301.0,702.2151489257812,290,-4.904463868681342,0.013108781931487101,0.03641303,8140.643928158283,0.2,0.30863037109375,0.11574894189834595,0.8272666931152344,0.001
31,3605,890.9874,281,1015808,301.0,3239.812255859375,300,-4.8693751455284655,0.006479414805460238,0.021902509,4738.71749689579,0.2,0.2583984375,0.2475009560585022,0.8189155459403992,0.001
