time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
32768,-72.83257,208,1,156,601.0,,,,,,,,,,,,,
65536,-249.42044,199,2,328,595.9587628865979,0.001,24913.954152297974,-3.8776508351787924,0.059088459664781115,0.6423996686935425,0.2,0.5559783935546875,0.0851593,0.05726635456085205,1240,5049.62060546875,,
98304,-333.93805,196,3,500,574.9,0.001,10650.804482078553,-3.902741356752813,0.023362679352976555,0.6463638544082642,0.2,0.4219970703125,0.04801689,0.5030242800712585,1250,2217.6845703125,,
131072,-313.6383,195,4,671,582.97,0.001,9202.007370376587,-3.9153504921123385,0.023864994607356492,0.6476296186447144,0.2,0.427593994140625,0.053840853,0.4394105076789856,1260,2053.595703125,,
163840,-418.03012,194,5,843,592.8,0.001,5387.47528219223,-3.9169711036607624,0.015249727256923506,0.6465631723403931,0.2,0.3835052490234375,0.04258078,0.4242602586746216,1270,1209.6968994140625,,
196608,-195.43744,193,6,1016,595.34,0.001,5879.799998521805,-3.9183518344536425,0.017319996490186895,0.6470900774002075,0.2,0.413018798828125,0.047878057,0.43375736474990845,1280,1498.504150390625,,
229376,-257.86612,193,7,1187,601.0,0.001,5004.212874984742,-3.917918414995074,0.015722377857491664,0.6468842029571533,0.2,0.398260498046875,0.044961452,0.28887617588043213,1290,899.0182495117188,,
262144,-533.1851,192,8,1359,586.43,0.001,3231.68324842453,-3.9368606155738233,0.011579593300666602,0.6523504257202148,0.2,0.385357666015625,0.046006054,0.2718081474304199,1300,624.6638793945312,,
294912,-487.5239,192,9,1531,578.86,0.001,3698.714895629883,-3.9545105723664165,0.010187348010003917,0.6538261771202087,0.2,0.3885009765625,0.04532641,0.2609712481498718,1310,304.6860046386719,,
327680,-425.2008,192,10,1703,594.09,0.001,2980.6488438129427,-3.9769008768722416,0.009970241062364948,0.6595627069473267,0.2,0.3836883544921875,0.04598359,0.34869951009750366,1320,1133.8427734375,,
360448,-319.001,192,11,1875,593.33,0.001,3468.64028699398,-3.980510511063039,0.008600874719013519,0.6569305062294006,0.2,0.3685760498046875,0.04197243,0.2605193853378296,1330,499.9411315917969,,
393216,-469.02332,192,12,2047,593.33,0.001,3667.6757315158843,-3.968196851760149,0.009508966263911133,0.6562120914459229,0.2,0.3498138427734375,0.03874314,0.1677030324935913,1340,482.46466064453125,,
425984,-582.00903,191,13,2218,601.0,0.001,2223.677444601059,-3.972992245107889,0.008693942091031203,0.6565717458724976,0.2,0.381256103515625,0.04804443,0.16580963134765625,1350,210.5436248779297,,
458752,-588.85736,191,14,2391,601.0,0.001,2719.377517127991,-3.961569271609187,0.0064915468487924954,0.6539764404296875,0.2,0.34893798828125,0.04143361,0.14698201417922974,1360,2316.560302734375,,
491520,-578.39874,191,15,2563,597.94,0.001,2938.308949875832,-3.951384384743869,0.007942449390520778,0.651609480381012,0.2,0.353900146484375,0.04134686,0.1958954930305481,1370,467.90386962890625,,
524288,-587.39276,191,16,2735,597.94,0.001,2633.5356753349306,-3.9403886113315822,0.005839466015095241,0.651911199092865,0.2,0.3390411376953125,0.03536067,0.18267929553985596,1380,338.3325500488281,,
557056,-756.0832,191,17,2908,600.06,0.001,2159.6857275247576,-3.9356889756396414,0.003687546265155106,0.6509127020835876,0.2,0.3042938232421875,0.031456638,0.19832885265350342,1390,330.0660705566406,,
589824,-774.97577,191,18,3083,588.75,0.001,1763.6107448577882,-3.9289878299459815,0.0033973283544582954,0.6477749347686768,0.2,0.3231170654296875,0.035661753,0.19860929250717163,1400,399.1766052246094,,
622592,-618.4697,191,19,3256,589.69,0.001,2038.553904414177,-3.903984611481428,0.005704112995954347,0.6444203853607178,0.2,0.357855224609375,0.0391548,0.15287578105926514,1410,331.0811767578125,,
655360,-774.72125,191,20,3429,595.51,0.001,2565.393809199333,-3.889372675679624,0.005186782809869328,0.639735758304596,0.2,0.3087554931640625,0.034206927,0.10548961162567139,1420,253.12281799316406,,
688128,-749.606,190,21,3604,590.11,0.001,2700.9475280046463,-3.8584302408620714,0.002019775547159952,0.6365046501159668,0.2,0.285162353515625,0.026628708,0.2983323931694031,1430,280.447021484375,,
720896,-588.91736,190,22,3777,593.01,0.001,3488.835579586029,-3.8457261746749283,0.0019221462218411034,0.634147047996521,0.2,0.268389892578125,0.027257968,0.32063668966293335,1440,333.76300048828125,,
753664,-499.97598,190,23,3950,593.32,0.001,2762.4142549037933,-3.8280347684398293,0.00011224049758311594,0.6313064098358154,0.2,0.25145263671875,0.024261318,0.3901948928833008,1450,938.7167358398438,,
786432,-491.74084,190,24,4123,589.99,0.001,2614.5976230621336,-3.8197455655783417,0.0003257831784139853,0.6309223175048828,0.2,0.2578948974609375,0.02531095,0.3038792610168457,1460,703.4795532226562,,
819200,-499.60388,190,25,4296,596.5,0.001,3396.6221305847166,-3.818096809834242,0.0019692681104970687,0.6293352246284485,0.2,0.2467620849609375,0.023409896,0.1983189582824707,1470,894.5531005859375,,
851968,-456.18106,190,26,4468,596.35,0.001,3112.8035002708434,-3.8008857605978847,0.0027818433768516115,0.6269871592521667,0.2,0.2542816162109375,0.024122294,0.21315962076187134,1480,674.5945434570312,,
884736,-471.28806,190,27,4641,600.85,0.001,2785.658721065521,-3.7882964212447403,0.0015669397716919775,0.6245619058609009,0.2,0.2596282958984375,0.026428305,0.1916390061378479,1490,384.9212341308594,,
917504,-543.6263,190,28,4815,586.23,0.001,2003.8097956180573,-3.7636046992614864,0.0005915566827752628,0.6190471649169922,0.2,0.262109375,0.025879357,0.261433482170105,1500,339.2901306152344,,
950272,-537.0485,190,29,4987,578.81,0.001,2798.1937133312226,-3.7359846753999593,0.002663765746729041,0.6153649091720581,0.2,0.290130615234375,0.03186457,0.26207035779953003,1510,1419.1597900390625,,
983040,-371.06448,190,30,5159,583.15,0.001,3123.9236634492872,-3.718250854872167,0.0031042002846106698,0.6132096648216248,0.2,0.3058380126953125,0.030963542,0.19356930255889893,1520,253.73158264160156,,
1015808,-463.98148,190,31,5331,590.34,0.001,3699.8901484251023,-3.7029048800468445,0.0025449963880419093,0.6111087799072266,0.2,0.2647247314453125,0.026310686,0.17354077100753784,1530,655.0340576171875,,
1048576,-654.73126,190,32,5503,598.53,0.001,2545.1050097942352,-3.6812751522287726,0.001348643278970485,0.6072671413421631,0.2,0.2864349365234375,0.030814338,0.29199302196502686,1540,931.889892578125,,
1081344,-637.0838,190,33,5675,595.34,0.001,3034.0362095355986,-3.665577516704798,0.0027682002130859475,0.6059504747390747,0.2,0.2797698974609375,0.032454874,0.3828344941139221,1550,814.7926025390625,,
1114112,-660.8307,190,34,5847,591.02,0.001,2568.0242409229277,-3.6533611573278906,0.003032498042102816,0.6036516427993774,0.2,0.2900634765625,0.029756315,0.3543745279312134,1560,409.4147644042969,,
1146880,-613.3317,190,35,6020,589.31,0.001,2405.4180562734605,-3.634414358995855,0.0030673712339194027,0.6016790270805359,0.2,0.2798858642578125,0.029314516,0.3602488040924072,1570,340.7904357910156,,
1179648,-534.9035,190,36,6192,595.26,0.001,2668.699256634712,-3.6326143607497214,0.0005189190924284048,0.6018590331077576,0.2,0.2631988525390625,0.025188189,0.3516378402709961,1580,750.913818359375,,
1212416,-327.02606,190,37,6364,591.56,0.001,2622.7543041944505,-3.6115481235086917,0.0017961881054361583,0.5960947275161743,0.2,0.266729736328125,0.02780033,0.2831262946128845,1590,447.8406677246094,,
1245184,-463.83798,190,38,6538,591.27,0.001,2573.7987409353254,-3.595654257014394,0.001768614470574903,0.5946556329727173,0.2,0.2454437255859375,0.025463624,0.3302016258239746,1600,375.321044921875,,
1277952,-590.86237,190,39,6712,594.44,0.001,2374.584115791321,-3.5868585340678694,0.0018234094122817623,0.5929480791091919,0.2,0.278753662109375,0.02882642,0.3427048325538635,1610,432.0950622558594,,
1310720,-498.85376,190,40,6885,593.41,0.001,2766.375733947754,-3.5694264408200977,0.002015084257163835,0.590295672416687,0.2,0.2835693359375,0.027674075,0.2775413393974304,1620,941.9891357421875,,
1343488,-483.6205,190,41,7058,593.26,0.001,3353.8745222568514,-3.5574209693819285,0.0023115760832297383,0.589324414730072,0.2,0.27237548828125,0.02583561,0.17900025844573975,1630,549.0472412109375,,
1376256,-596.9904,190,42,7230,594.66,0.001,3192.4120717525484,-3.5339874498546124,0.0011339105607476086,0.5869009494781494,0.2,0.27825927734375,0.029818133,0.1575717329978943,1640,279.90972900390625,,
1409024,-529.5014,190,43,7402,591.91,0.001,2161.9927093029023,-3.525324929691851,0.0007101994796812506,0.5837389826774597,0.2,0.2572296142578125,0.025575645,0.2487574815750122,1650,323.2809143066406,,
1441792,-497.40613,190,44,7575,591.96,0.001,3781.5394571781158,-3.5194521229714155,0.0025170559498292277,0.5838807821273804,0.2,0.2722503662109375,0.026050689,0.12534737586975098,1660,758.0350341796875,,
1474560,-500.57675,190,45,7748,582.15,0.001,2557.8981688022614,-3.5212961228564383,0.002527813800952572,0.5845831036567688,0.2,0.2598663330078125,0.029229851,0.24490207433700562,1670,362.2763366699219,,
1507328,-306.30017,190,46,7920,564.83,0.001,3706.588403177261,-3.5047314861789345,0.0023450468762803212,0.5799880623817444,0.2,0.2671295166015625,0.026165988,0.2825964093208313,1680,820.8651123046875,,
1540096,-292.4561,190,47,8093,581.86,0.001,3379.6049924850463,-3.4914238886907696,0.0002565606431744527,0.5793954730033875,0.2,0.247607421875,0.023466913,0.3153877258300781,1690,409.9744567871094,,
1572864,-412.02966,190,48,8265,584.81,0.001,3550.306787776947,-3.4811165815219285,0.00016493695993631264,0.5782961249351501,0.2,0.23175048828125,0.023626588,0.42022573947906494,1700,1662.35009765625,,
