time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range
333,32768,1,310.86315789473684,98,2074.655,,,,,,,,,,,
194,65536,2,340.11,337,2179.9724,0.004821566343616723,0.016830716,52777.17895936966,19805.3203125,0.179888916015625,2480,-1.9460230632917956,0.30170732736587524,0.0001,0.39437147974967957,0.2
170,98304,3,346.63,576,2219.3257,0.004217025675302466,0.012559498,40756.92210321427,7978.3759765625,0.1361785888671875,2490,-1.9433897993876599,0.48799729347229004,0.0001,0.3939942717552185,0.2
160,131072,4,332.87,815,2109.9827,0.002612017081793283,0.011344692,31687.251865720747,27076.20703125,0.1152618408203125,2500,-1.9397514795185997,0.62336066365242,0.0001,0.39365872740745544,0.2
155,163840,5,376.65,1055,2456.8564,0.0014097335876158469,0.010726042,34876.15131618977,5520.6083984375,0.110650634765625,2510,-1.9357260302524082,0.6634081602096558,0.0001,0.39318448305130005,0.2
151,196608,6,363.99,1296,2648.9875,0.0014058745575766807,0.008264072,28242.109220695496,7718.67236328125,0.0729949951171875,2520,-1.9327395097119733,0.746886819601059,0.0001,0.3929981589317322,0.2
149,229376,7,374.01,1538,2698.5889,0.0018454004344334862,0.0090913735,25950.513398706913,9896.7578125,0.093060302734375,2530,-1.931189692323096,0.7578042149543762,0.0001,0.3928881287574768,0.2
147,262144,8,363.46,1782,2394.0,0.0005028302092910053,0.008633921,26805.60938501358,5064.47412109375,0.0888458251953125,2540,-1.9304439977859147,0.7605870962142944,0.0001,0.3928433656692505,0.2
145,294912,9,369.71,2026,2651.0,0.0023505035684365794,0.009561972,27178.32026793957,8770.17578125,0.0970001220703125,2550,-1.9289462871151044,0.7713930159807205,0.0001,0.3926292657852173,0.2
144,327680,10,342.67,2269,2640.0,0.00044317776397519994,0.008425573,25774.773688721656,4183.646484375,0.077239990234375,2560,-1.9269038818427362,0.7913938760757446,0.0001,0.39233827590942383,0.2
143,360448,11,365.7,2513,2892.0,0.0004822641894179469,0.009389047,31437.60885567665,3197.03271484375,0.098828125,2570,-1.9247491567861288,0.7595034390687943,0.0001,0.3922579288482666,0.2
142,393216,12,352.96,2757,2574.0,0.0016860560865893603,0.010066383,22926.748489415644,4437.56005859375,0.1087554931640625,2580,-1.92248886130983,0.8019762188196182,0.0001,0.39189428091049194,0.2
141,425984,13,354.3,3001,2563.978,0.0010647498870582695,0.008996947,27105.881723093986,3772.6748046875,0.091046142578125,2590,-1.9191417686874046,0.7665199190378189,0.0001,0.39162546396255493,0.2
141,458752,14,358.16,3245,2953.8396,0.001375959021942208,0.0077189803,22434.08976047039,5662.20849609375,0.0767791748046875,2600,-1.9174033403047361,0.7889958024024963,0.0001,0.39160865545272827,0.2
140,491520,15,359.48,3489,2764.9814,0.000151026960463696,0.008823875,24192.918034613132,4061.54296875,0.082830810546875,2610,-1.914777499740012,0.7971333116292953,0.0001,0.39112457633018494,0.2
140,524288,16,370.5,3734,2940.903,0.0012508900690818337,0.008798562,25837.809346365928,1320.7076416015625,0.0905029296875,2620,-1.910058990039397,0.7786399275064468,0.0001,0.3906882703304291,0.2
140,557056,17,362.04,3977,3081.8582,0.0016392364711805385,0.008516897,23814.829437685014,4890.8828125,0.0926666259765625,2630,-1.9056278630858288,0.7958800792694092,0.0001,0.3902350962162018,0.2
139,589824,18,357.54,4222,2869.0,0.0013838525646917787,0.007895013,23311.590957045555,8056.9189453125,0.073004150390625,2640,-1.9006086674286053,0.820054292678833,0.0001,0.3898044526576996,0.2
139,622592,19,350.58,4466,2899.0,0.0019435715608096872,0.009837551,27400.303310096264,6549.330078125,0.09560546875,2650,-1.8977310546324588,0.7900821715593338,0.0001,0.3896782100200653,0.2
139,655360,20,359.23,4708,2977.2705,0.0013420017626003754,0.008902822,25962.555615854264,1995.6202392578125,0.0882110595703125,2660,-1.895244325126987,0.7835641652345657,0.0001,0.3893316984176636,0.2
139,688128,21,354.07,4949,2896.4912,0.0017296480972618157,0.009179988,26091.178443074226,3413.108154296875,0.0900726318359375,2670,-1.8921771874302067,0.8003548234701157,0.0001,0.38902878761291504,0.2
138,720896,22,356.66,5191,2975.9985,0.001290472205266724,0.009224674,26044.180113244056,13392.6259765625,0.0866607666015625,2680,-1.88897154139122,0.7887633293867111,0.0001,0.3887632191181183,0.2
138,753664,23,353.8,5431,2974.0,0.0014004110132532332,0.009349475,25312.77612295151,3361.616455078125,0.105859375,2690,-1.887045154068619,0.7895557433366776,0.0001,0.38875606656074524,0.2
138,786432,24,376.65,5673,3481.7725,0.000506527128925427,0.008893818,23361.173589682578,4878.01318359375,0.082275390625,2700,-1.884434111684095,0.7942737191915512,0.0001,0.3882213532924652,0.2
138,819200,25,368.23,5914,3155.0,0.00044435811207677034,0.007437375,20022.745280706884,2607.01123046875,0.0709136962890625,2710,-1.8800315905245952,0.782242938876152,0.0001,0.3878839313983917,0.2
138,851968,26,374.69,6159,3527.6462,0.0014939907271013908,0.008778077,22848.435826683046,3335.3916015625,0.09122314453125,2720,-1.8779382014996373,0.7810727655887604,0.0001,0.38782063126564026,0.2
136,884736,27,371.17,6492,3424.9924,0.0014209827945251164,0.009058442,22068.501555550098,3282.26904296875,0.0946807861328125,2730,-1.8771729668020272,0.7842987477779388,0.0001,0.38774871826171875,0.2
