time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/std,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
351,93,32768,3179.944,958.2916666666666,1,,,,,,,,,,,,,
351,186,65536,3559.2512,963.4666666666667,2,0.0640228271484375,18965.5390625,2480,45404.86127319336,0.3944699764251709,0.0001,0.0011569037334993482,0.0842321515083313,0.2,-1.9468018267303706,0.0076832916,,
352,278,98304,3134.0508,950.0416666666666,3,0.052392578125,20514.40234375,2490,49664.854022216794,0.39452895522117615,0.0001,0.0010007233748183352,0.06715768575668335,0.2,-1.9464669268578292,0.008098733,,
354,370,131072,2903.651,915.32,4,0.0388458251953125,13479.416015625,2500,40258.895471191405,0.3945610523223877,0.0001,0.00033809487213147803,0.1255214810371399,0.2,-1.9469458222389222,0.0060090143,,
353,463,163840,2950.255,926.5,5,0.038446044921875,20289.005859375,2510,51860.65850830078,0.3945056200027466,0.0001,-0.0006487552847829648,0.190704345703125,0.2,-1.9468674510717392,0.006085474,,
352,557,196608,3364.3643,927.3,6,0.0258575439453125,17653.90625,2520,43972.90237426758,0.3945389688014984,0.0001,-0.0003112100919679506,0.24767225980758667,0.2,-1.946712775155902,0.0046823225,,
354,646,229376,3578.769,944.26,7,0.0306640625,18063.119140625,2530,43494.4380859375,0.3944796323776245,0.0001,-0.0005101742724946234,0.20497113466262817,0.2,-1.9466098222881556,0.0057255123,,
354,739,262144,3438.42,935.35,8,0.02332763671875,15896.06640625,2540,41201.27022705078,0.3944760859012604,0.0001,-0.0001635493550566025,0.3093475103378296,0.2,-1.946240035817027,0.004504932,,
354,832,294912,3910.0085,969.94,9,0.033111572265625,15915.2138671875,2550,39469.29105834961,0.39438772201538086,0.0001,-0.0003121813977486454,0.3277016282081604,0.2,-1.9457707308232783,0.0056242375,,
354,924,327680,4228.8623,982.54,10,0.0243988037109375,16813.25390625,2560,40799.6662109375,0.3943513035774231,0.0001,-0.0007846718086511828,0.37081819772720337,0.2,-1.945135672017932,0.004721171,,
354,1016,360448,4669.3066,1014.28,11,0.0311004638671875,14076.763671875,2570,38512.811224365236,0.3942757844924927,0.0001,-0.00010146007698494942,0.4226619601249695,0.2,-1.9445978250354528,0.0050342265,,
353,1111,393216,4709.5054,1014.68,12,0.0253570556640625,16838.494140625,2580,43201.15987548828,0.39423245191574097,0.0001,-0.0004405061437864788,0.3467084765434265,0.2,-1.9439622789621354,0.0044967607,,
353,1206,425984,5160.252,1019.25,13,0.02208251953125,17820.23828125,2590,43612.49296875,0.394174188375473,0.0001,-0.0007663409312954172,0.3634832501411438,0.2,-1.94345906637609,0.0043147844,,
353,1297,458752,5838.017,1048.02,14,0.0253387451171875,17741.603515625,2600,44187.51782836914,0.3941340148448944,0.0001,-0.00020153085060883313,0.3854459524154663,0.2,-1.9429380521178246,0.0045946436,,
352,1392,491520,6282.551,1057.94,15,0.022772216796875,17649.30859375,2610,41075.38091430664,0.39411360025405884,0.0001,-7.327386265387759e-05,0.40868228673934937,0.2,-1.9425794783979655,0.0045793946,,
352,1485,524288,6431.5,1068.62,16,0.0179931640625,14014.724609375,2620,39846.268646240234,0.3940921425819397,0.0001,-0.00045893929855083114,0.42745792865753174,0.2,-1.9423649657517672,0.0039121164,,
352,1581,557056,6210.58,1066.78,17,0.0291961669921875,18038.052734375,2630,41167.0446105957,0.3940558433532715,0.0001,0.00023891253986221272,0.4792017340660095,0.2,-1.9420924670994282,0.0055359215,,
351,1676,589824,6202.859,1060.56,18,0.01478271484375,15795.072265625,2640,40447.47884521484,0.39405059814453125,0.0001,-0.0010280416605382924,0.4483073949813843,0.2,-1.9418129328638316,0.0035914162,,
350,1775,622592,6568.726,1084.97,19,0.0387420654296875,15475.3974609375,2650,41120.9388305664,0.39403200149536133,0.0001,-0.0013595563686976675,0.457217276096344,0.2,-1.941713210567832,0.005994844,,
348,1878,655360,7276.4067,1101.32,20,0.0264495849609375,15221.921875,2660,37515.01112670898,0.394025981426239,0.0001,-5.174303078092635e-06,0.5638254582881927,0.2,-1.9415891792625188,0.0049749753,,
347,1979,688128,7877.582,1141.84,21,0.019110107421875,16056.009765625,2670,37004.33005371094,0.3940051198005676,0.0001,-0.0002643007901497185,0.5530741512775421,0.2,-1.9414856869727373,0.0038466558,,
346,2079,720896,8298.242,1150.3,22,0.035858154296875,17827.94140625,2680,38636.67306518555,0.39393699169158936,0.0001,0.00021330105009838008,0.5458987951278687,0.2,-1.9410465836524964,0.00555221,,
346,2176,753664,8640.075,1151.83,23,0.0223052978515625,17920.220703125,2690,38263.90678100586,0.3939187526702881,0.0001,-0.000708817701524822,0.5087560415267944,0.2,-1.940593484789133,0.0042802384,,
345,2273,786432,8946.247,1165.74,24,0.0184295654296875,16588.958984375,2700,42346.323565673825,0.3938360810279846,0.0001,-0.00036771594532183374,0.5164994597434998,0.2,-1.9401232525706291,0.0040199654,,
345,2373,819200,9325.11,1185.16,25,0.0336883544921875,14012.458984375,2710,40162.41932373047,0.39380189776420593,0.0001,-0.0004954968364472734,0.5476741194725037,0.2,-1.9395030248910188,0.00553208,,
345,2467,851968,9222.882,1164.3,26,0.0249176025390625,15467.212890625,2720,37666.82129516602,0.3937588930130005,0.0001,-0.00012815073714591562,0.6019977331161499,0.2,-1.939152640476823,0.004918603,,
344,2565,884736,9481.808,1175.52,27,0.0249755859375,14342.0537109375,2730,38831.42603149414,0.393707275390625,0.0001,0.0007110412443580572,0.5491833984851837,0.2,-1.9387014359235764,0.0043724347,,
344,2665,917504,9472.215,1162.93,28,0.027288818359375,12882.296875,2740,39866.23463745117,0.3936823606491089,0.0001,6.0766742535633966e-05,0.49657338857650757,0.2,-1.9382992241531611,0.0044189785,,
343,2762,950272,9414.79,1135.84,29,0.0272552490234375,18931.12890625,2750,45333.31018676758,0.39364755153656006,0.0001,-0.00011518640494614373,0.456717312335968,0.2,-1.937992038950324,0.004401235,,
343,2859,983040,9298.927,1108.22,30,0.03409423828125,14619.4345703125,2760,41446.76467285156,0.39359378814697266,0.0001,5.599127252935432e-05,0.5401695370674133,0.2,-1.937560948356986,0.0054355413,,
343,2955,1015808,9295.622,1108.6,31,0.0096954345703125,15286.9951171875,2770,43603.19595336914,0.3935883641242981,0.0001,-0.0002851570927305147,0.5113230049610138,0.2,-1.937235301360488,0.0029215692,,
343,3051,1048576,9268.837,1105.8,32,0.02689208984375,16510.46875,2780,42368.97520751953,0.3935491442680359,0.0001,-1.0783980542328208e-06,0.5590718686580658,0.2,-1.9370344709604979,0.0047781602,,
343,3148,1081344,9708.22,1127.53,33,0.0185455322265625,17112.541015625,2790,43244.9736328125,0.3934856653213501,0.0001,7.348688377533108e-05,0.5617041289806366,0.2,-1.9365029446780682,0.003961621,,
343,3246,1114112,9845.594,1133.1,34,0.0228271484375,16533.09375,2800,43296.75878295898,0.39343276619911194,0.0001,3.3939787681447345e-05,0.5431464612483978,0.2,-1.9359413992613554,0.004426237,,
342,3344,1146880,10242.322,1172.23,35,0.0266387939453125,15242.1591796875,2810,41120.09346923828,0.3934192657470703,0.0001,0.0006776429974706844,0.5611570477485657,0.2,-1.9356022749096156,0.0044230083,,
342,3442,1179648,10306.974,1163.04,36,0.028509521484375,13295.7177734375,2820,39412.00548095703,0.39343082904815674,0.0001,8.553068255423568e-06,0.6206631362438202,0.2,-1.9356045540422202,0.004789074,,
342,3536,1212416,9935.962,1142.87,37,0.0175140380859375,16384.998046875,2830,47339.0974609375,0.3934290409088135,0.0001,4.030924901599064e-06,0.5653830468654633,0.2,-1.935633734613657,0.0039808094,,
342,3635,1245184,10536.559,1188.12,38,0.0176483154296875,15311.1494140625,2840,42260.93876953125,0.3933887481689453,0.0001,-0.0005673713807482272,0.529051274061203,0.2,-1.9354486312717198,0.0039463732,,
342,3731,1277952,10492.119,1177.98,39,0.0157745361328125,17596.2421875,2850,46530.55923461914,0.39335113763809204,0.0001,-0.0003314264944492606,0.4946333169937134,0.2,-1.935020936653018,0.0032455302,,
342,3830,1310720,11056.613,1216.55,40,0.01932373046875,16746.041015625,2860,43323.71942138672,0.393341988325119,0.0001,-0.0001532074238639325,0.6168302595615387,0.2,-1.934779941290617,0.0037646291,,
341,3930,1343488,10908.219,1228.24,41,0.02579345703125,14748.6689453125,2870,43029.9437133789,0.39334550499916077,0.0001,-0.00019731300344574265,0.5227423906326294,0.2,-1.9347597058862447,0.0049385955,,
341,4031,1376256,10263.99,1214.39,42,0.026983642578125,17018.736328125,2880,44836.522161865236,0.3933275640010834,0.0001,0.000107638774352381,0.5905485153198242,0.2,-1.9347014348953961,0.0044714804,,
340,4134,1409024,9959.2,1185.03,43,0.0246826171875,16612.361328125,2890,47675.05466308594,0.39329853653907776,0.0001,0.00018912688829004766,0.632873147726059,0.2,-1.9344765566289426,0.0050220983,,
340,4238,1441792,10378.009,1176.49,44,0.01976318359375,19868.9609375,2900,49675.97735595703,0.3932676911354065,0.0001,0.0007767962924845051,0.4818326234817505,0.2,-1.9341995149850846,0.0039165323,,
340,4335,1474560,10544.935,1181.41,45,0.0337249755859375,14022.9375,2910,43525.75061645508,0.3932616114616394,0.0001,-0.0008695160089700948,0.5313472747802734,0.2,-1.9340045355260371,0.0050698062,,
339,4434,1507328,10464.829,1143.81,46,0.0332061767578125,16349.1982421875,2920,47733.49008178711,0.3932480812072754,0.0001,-0.0005540436301089358,0.48263323307037354,0.2,-1.933874613419175,0.005158076,,
339,4535,1540096,10476.881,1144.59,47,0.028570556640625,18606.921875,2930,52694.42592163086,0.39322587847709656,0.0001,-0.00020066948418389073,0.5385703444480896,0.2,-1.9337116613984109,0.004771319,,
339,4633,1572864,10334.463,1134.58,48,0.033575439453125,18069.552734375,2940,43437.95884399414,0.39318734407424927,0.0001,-0.000987010755488882,0.5534303486347198,0.2,-1.933414039760828,0.005410383,,
,,1600000,,,,0.025311279296875,17251.830078125,2950,46175.99036865235,0.39318645000457764,0.0001,0.00041409692021261436,0.5720120072364807,0.2,-1.9331900287419557,0.004740942,1141.8465576171875,1237.12
310,5171,1605632,10251.146,1122.26,49,,,,,,,,,,,,,
311,5267,1638400,8885.572,1147.54,50,0.0273712158203125,19616.09375,2960,50101.190899658206,0.39318931102752686,0.0001,0.00014399035353562795,0.6084793508052826,0.2,-1.9331988349556923,0.0045569707,,
311,5368,1671168,8591.26,1140.46,51,0.030267333984375,15541.1669921875,2970,45872.8869934082,0.3931829333305359,0.0001,0.0007973244628374232,0.5823955535888672,0.2,-1.9332125134766103,0.0049024867,,
311,5469,1703936,8576.463,1138.79,52,0.0343841552734375,23034.740234375,2980,51787.71375732422,0.3931788206100464,0.0001,0.000749899504444329,0.5169267058372498,0.2,-1.9331655375659467,0.0049365144,,
311,5573,1736704,9490.798,1158.64,53,0.0169036865234375,20744.009765625,2990,47489.801794433595,0.3931368291378021,0.0001,0.00016251464548986406,0.5759007036685944,0.2,-1.9329727668315173,0.0037177699,,
311,5678,1769472,10652.395,1212.36,54,0.023199462890625,21175.736328125,3000,46462.24556274414,0.39312225580215454,0.0001,-0.00020319599570939317,0.46691781282424927,0.2,-1.9326615761965513,0.0041774483,,
311,5777,1802240,11053.082,1238.28,55,0.031878662109375,17076.630859375,3010,43388.11479492187,0.3931363523006439,0.0001,-0.00020684679875557777,0.6283341348171234,0.2,-1.9326619666069746,0.0055168895,,
312,5875,1835008,10958.268,1242.71,56,0.0217864990234375,21929.404296875,3020,49998.42858276367,0.3931421637535095,0.0001,-0.0006128640830866061,0.5653877556324005,0.2,-1.9327591869980096,0.004538263,,
312,5977,1867776,11307.671,1255.06,57,0.02264404296875,14853.30859375,3030,42258.56522827149,0.39313843846321106,0.0001,0.0002786612974887248,0.6515432298183441,0.2,-1.9327803317457437,0.0044930484,,
312,6075,1900544,10795.301,1247.82,58,0.0336669921875,17950.126953125,3040,40852.11448974609,0.3931206166744232,0.0001,0.0002627344729262404,0.662833034992218,0.2,-1.9326735381036997,0.005101054,,
313,6171,1933312,10923.798,1257.69,59,0.0298065185546875,19216.720703125,3050,44544.3438293457,0.39305973052978516,0.0001,-0.000142386314473697,0.6285398602485657,0.2,-1.932304572686553,0.0046707075,,
313,6272,1966080,11229.879,1285.25,60,0.0294219970703125,17316.90625,3060,45487.91364135742,0.39304301142692566,0.0001,-0.00031809123283892403,0.5163135528564453,0.2,-1.9319112688302993,0.0054380377,,
313,6371,1998848,11170.566,1288.07,61,0.0437042236328125,13623.841796875,3070,39219.32599487305,0.39300084114074707,0.0001,0.0005041784857894527,0.6591906845569611,0.2,-1.931638377904892,0.005768966,,
314,6468,2031616,10560.586,1215.86,62,0.050921630859375,15018.2919921875,3080,43762.95856323242,0.3929751515388489,0.0001,0.0014578182002878749,0.6588449776172638,0.2,-1.9312690149992704,0.0070458534,,
