time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
32768,1,301.0,208,157,844.61005,,,,,,,,,,,,,
65536,2,298.95,173,378,1253.0366,-0.0003269482977430016,-2.4621101730037482,18235.7578125,23047.164816379547,1e-05,0.4494975805282593,2470,0.004115768,0.5315141379833221,0.0158477783203125,0.2,,
98304,3,297.91,163,600,1153.3683,-0.0003483635089651216,-2.4617504095192997,7515.556640625,23930.144232654573,1e-05,0.4494239091873169,2480,0.0039390977,0.6287699639797211,0.017376708984375,0.2,,
131072,4,299.29,159,821,1171.0157,-0.0005630520219256141,-2.460937684867531,9545.6806640625,22637.886475086212,1e-05,0.44931790232658386,2490,0.0041304296,0.675618588924408,0.017626953125,0.2,,
163840,5,295.03,157,1042,959.3973,-0.0003104859359609691,-2.4598700674716385,10482.7861328125,24443.406200408936,1e-05,0.4491749405860901,2500,0.0033826442,0.6412510573863983,0.011004638671875,0.2,,
196608,6,294.33,155,1263,1036.0298,-0.0011299742339588193,-2.459237585309893,8943.380859375,24329.5218791008,1e-05,0.4491811990737915,2510,0.0038905544,0.6552692949771881,0.0151702880859375,0.2,,
229376,7,293.71,154,1485,1227.6995,-0.00027971351462383607,-2.458990702684969,13620.71484375,26863.149186038972,1e-05,0.44912371039390564,2520,0.00438472,0.6374193131923676,0.02381591796875,0.2,,
262144,8,301.0,153,1709,1329.5032,-0.001060457800167569,-2.458807223523036,11696.544921875,24640.18509926796,1e-05,0.44914498925209045,2530,0.0036628481,0.6893515586853027,0.0164093017578125,0.2,,
294912,9,299.61,152,1933,1191.1827,-0.0010377167603337512,-2.4588168657850473,6284.435546875,24850.355749225615,1e-05,0.4491225779056549,2540,0.003676386,0.6819389164447784,0.0124481201171875,0.2,,
327680,10,299.6,152,2154,1056.5062,0.0007769630026587038,-2.4581783469300715,15479.5439453125,21695.19698252678,1e-05,0.44900181889533997,2550,0.003767177,0.7135683298110962,0.0162841796875,0.2,,
360448,11,295.25,151,2376,1033.89,-0.0006182430960279817,-2.457399478694424,8312.1884765625,22574.958119773866,1e-05,0.44894930720329285,2560,0.0043698926,0.7056417167186737,0.02169189453125,0.2,,
393216,12,295.21,151,2598,859.83716,-0.00013459071560646408,-2.4570821572095154,5409.41015625,24461.72797241211,1e-05,0.4489387273788452,2570,0.0041759033,0.6761868596076965,0.015582275390625,0.2,,
425984,13,298.15,151,2820,1001.6554,0.0004682535658730558,-2.4567012693732977,5979.11572265625,23754.569465255736,1e-05,0.44884809851646423,2580,0.0045562373,0.6607004702091217,0.02298583984375,0.2,,
458752,14,297.17,150,3043,1103.7063,-0.00046950556220508587,-2.456173769989982,6883.4208984375,23287.86516342163,1e-05,0.4488258361816406,2590,0.004062863,0.6781844794750214,0.0135101318359375,0.2,,
491520,15,298.9,150,3268,1226.4047,-0.0006105102092078596,-2.455884481780231,19505.90234375,23027.804563713074,1e-05,0.4487861394882202,2600,0.0038718863,0.7019984126091003,0.015948486328125,0.2,,
524288,16,300.45,150,3491,1238.2673,-0.00019161749698923814,-2.455500573385507,10657.37109375,26751.323749828338,1e-05,0.44873952865600586,2610,0.0041989586,0.6547141671180725,0.0194122314453125,0.2,,
557056,17,295.42,149,3714,1279.48,-0.0004046486059223753,-2.455264608655125,18210.48046875,25152.84509983063,1e-05,0.4487236738204956,2620,0.0037091752,0.6841843128204346,0.016131591796875,0.2,,
589824,18,301.0,149,3935,1140.434,-0.00047335197255051755,-2.4551407069899143,22199.14453125,24774.8868432045,1e-05,0.44871217012405396,2630,0.0032564192,0.7169336676597595,0.0108306884765625,0.2,,
622592,19,293.33,149,4158,1059.4236,-0.0007416131667469017,-2.4550565333571286,8848.9765625,24863.92438955307,1e-05,0.4486973285675049,2640,0.003526013,0.6916908323764801,0.0127960205078125,0.2,,
655360,20,296.4,149,4380,1077.5139,-0.00018703595662827865,-2.4545728555880486,16800.9453125,27390.69589948654,1e-05,0.4485989809036255,2650,0.0033350778,0.6672497689723969,0.011004638671875,0.2,,
688128,21,297.69,149,4602,1102.9877,-0.00025946175878743816,-2.4539829227142036,6976.79931640625,23316.964558649062,1e-05,0.44855785369873047,2660,0.0028084437,0.7088427841663361,0.0066162109375,0.2,,
720896,22,298.19,149,4824,1105.2423,0.00037771356426219427,-2.4536730614025144,4359.41748046875,22334.77527060509,1e-05,0.4485318064689636,2670,0.004543417,0.6953219473361969,0.021441650390625,0.2,,
753664,23,295.79,149,5046,1122.839,-0.00048312782571429124,-2.453218965092674,6297.81640625,24739.833764076233,1e-05,0.4484565258026123,2680,0.002927253,0.6875612437725067,0.009051513671875,0.2,,
786432,24,297.97,149,5269,1015.27155,0.0004353497304236953,-2.4525961386505513,6308.5244140625,25400.952890110017,1e-05,0.44840168952941895,2690,0.0036031061,0.6698306202888489,0.0143951416015625,0.2,,
819200,25,296.23,149,5492,1159.8635,5.3967522990205905e-05,-2.4523417313117535,10873.4755859375,24829.935622930527,1e-05,0.44839856028556824,2700,0.0042166724,0.6429730653762817,0.0204345703125,0.2,,
851968,26,297.89,149,5714,1098.2456,-0.00048011734643296224,-2.4521421101409944,4647.08984375,27917.109437465668,1e-05,0.44834643602371216,2710,0.003368257,0.6375410556793213,0.010748291015625,0.2,,
884736,27,293.25,149,5936,1037.9594,4.71058077437192e-05,-2.451545851258561,6215.4619140625,26855.126572227477,1e-05,0.4482751786708832,2720,0.0033241527,0.634777158498764,0.010296630859375,0.2,,
917504,28,299.65,148,6158,1232.7443,-0.0006285545774744605,-2.4509186011739077,11558.69921875,22433.459231281282,1e-05,0.44819989800453186,2730,0.0034973584,0.7042979598045349,0.01317138671875,0.2,,
