time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
1,32768,59,301.0,548,-223.99065,,,,,,,,,,,
2,65536,128,301.0,509,-747.83704,0.01,99.63633247613907,0.89132080078125,51.115638732910156,-0.00024509429931640625,0.25065704197331795,1.0419859886169434,10,-5.791967843472958,51.322235,0.2
3,98304,198,167.01,494,-1860.5856,0.01,584.8204096317291,0.9136138916015625,280.1157531738281,0.0,0.28759040604127223,1.1675386428833008,20,-6.25635756328702,51.413612,0.2
4,131072,281,176.3,465,-1934.9937,0.01,43167.391415405276,0.7962615966796875,22515.130859375,0.0,0.21451894514666492,1.1743834018707275,30,-6.302224399894476,67.11903,0.2
5,163840,349,154.84,468,-1862.1382,0.01,29860.570349121095,0.8715576171875,14173.05859375,0.0,0.22982906612905935,1.122765302658081,40,-6.161907080560923,37.700546,0.2
6,196608,416,176.97,471,-3765.144,0.01,26699.625967407228,0.8482635498046875,15849.900390625,-1.1920928955078125e-07,0.23508941192430938,1.1379163265228271,50,-6.171741587668658,134.22191,0.2
7,229376,486,176.99,471,-4149.602,0.01,1361202.0178710937,0.7517333984375,514089.0625,0.0,0.13710492944919678,1.1300939321517944,60,-6.136028521507979,117.26463,0.2
8,262144,554,176.97,472,-3737.9204,0.01,1839555.9137695313,0.8118682861328125,1319054.0,0.0,0.16774842181621352,1.221949577331543,70,-6.345719886571169,28.258364,0.2
9,294912,622,301.0,473,-493.2644,0.01,1752351.8896484375,0.863873291015625,739996.0625,1.1920928955078125e-07,0.21240505275036412,1.2673189640045166,80,-6.523635685443878,817.5602,0.2
10,327680,689,301.0,475,1065.5839,0.01,198459.2293762207,0.781756591796875,10221.892578125,0.0,0.11371926905612781,1.3552467823028564,90,-6.725688476860523,292.52118,0.2
11,360448,763,301.0,472,-408.4887,0.01,46030.0862915039,0.702691650390625,21654.041015625,0.0,0.18682330982082931,1.6773529052734375,100,-7.313552618026733,78.7855,0.2
12,393216,830,158.8,473,-1637.54,0.01,7497.170169067383,0.8737030029296875,4145.48486328125,2.384185791015625e-07,0.1815863445524883,1.8194727897644043,110,-7.913291168957949,441.4173,0.2
13,425984,898,177.05,473,-3469.7727,0.01,17717.55252227783,0.9489593505859375,7300.3603515625,-1.1920928955078125e-07,0.2612111061804171,2.106755256652832,120,-8.358323492854833,143.39267,0.2
14,458752,980,157.0,467,-1712.4268,0.01,1524584.400390625,0.8344940185546875,1107660.25,0.0,0.1488315931173929,2.2991411685943604,130,-8.62489474862814,85.01895,0.2
15,491520,1048,157.0,468,-1712.8735,0.01,94758.04844818116,0.9914581298828125,9181.7197265625,0.0,0.1579529014383297,2.1615233421325684,140,-8.547745706140995,296.87323,0.2
16,524288,1117,139.8,469,-1791.4109,0.01,8197.58886566162,0.989837646484375,4094.010009765625,0.0,0.29929815688956296,2.664391040802002,150,-9.251112899184227,373.96274,0.2
17,557056,1207,139.9,461,-1802.4639,0.01,10627.178847503663,0.9640289306640625,6107.017578125,0.0,0.2599480409407988,3.5623059272766113,160,-10.217463605105877,59.48941,0.2
18,589824,1278,167.72,461,-1907.1879,0.01,12244.497666931153,0.9517974853515625,6031.318359375,0.0,0.25360962843406015,4.321045875549316,170,-11.05252126902342,33.489902,0.2
19,622592,1352,140.2,460,-1782.7261,0.01,8584.044964599609,0.9947174072265625,3858.5908203125,0.0,0.2722839284433576,4.077323913574219,180,-10.971632838249207,100.03612,0.2
20,655360,1423,158.07,460,-1722.4526,0.01,11204.88985671997,0.9775665283203125,5364.064453125,0.0,0.26220732327128643,4.131294250488281,190,-10.970184206962585,137.29022,0.2
21,688128,1512,140.05,454,-1782.7708,0.01,9633.780244445801,0.9772186279296875,5171.291015625,0.0,0.27452679009293207,6.002871513366699,200,-12.59320418536663,29.122662,0.2
22,720896,1585,188.44,454,-2029.2484,0.01,10236.886388397217,0.942340087890625,3855.630615234375,0.0,0.252191463827694,6.599921703338623,210,-12.79087282717228,18.658123,0.2
23,753664,1658,174.96,454,-1951.0624,0.01,7884.1778343200685,0.9548431396484375,3079.65625,-1.1920928955078125e-07,0.27668826285371323,7.543872833251953,220,-13.114479795098305,37.144375,0.2
24,786432,1730,158.18,454,-1922.0791,0.01,6967.53821182251,0.957061767578125,2665.75830078125,0.0,0.2667421929229022,7.980344772338867,230,-13.346198196709157,32.474518,0.2
25,819200,1808,195.14,452,-2032.9772,0.01,8253.488564300536,0.82144775390625,3863.440185546875,0.0,0.22883358782146387,8.280284881591797,240,-13.497342877089977,49.455673,0.2
26,851968,1881,186.04,452,-2045.3258,0.01,6908.121150207519,0.9571746826171875,2983.23681640625,1.1920928955078125e-07,0.2850869471199985,10.459920883178711,250,-14.624565562605857,8.645067,0.2
27,884736,1952,186.43,453,-2083.811,0.01,8828.24700164795,0.4426361083984375,6759.9169921875,0.0,0.06704846949578495,11.334988594055176,260,-14.879311935603619,0.9222673,0.2
28,917504,2038,161.63,450,-1872.6714,0.01,9137.746675872802,0.3410430908203125,4280.8681640625,0.0,0.06123443668366235,10.860191345214844,270,-15.221140784025192,0.033838045,0.2
29,950272,2112,154.61,449,-1866.4364,0.01,10599.104808807373,0.3519500732421875,4016.439208984375,0.0,0.042320119829309985,10.705523490905762,280,-15.086694960296153,0.015421471,0.2
30,983040,2184,168.66,450,-1963.0981,0.01,8382.410374450683,0.3748565673828125,5616.013671875,0.0,0.0620932731702851,11.382287979125977,290,-15.086894977092744,0.4434739,0.2
31,1015808,2257,168.74,449,-1963.6733,0.01,8901.476090240478,0.331903076171875,3113.8974609375,0.0,0.03677754016116523,11.307945251464844,300,-15.218990637362003,0.013407781,0.2
