time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/std,train/loss,train/n_updates,train/entropy_loss
28,1,301.0,-11.701106,8192,290,,,,,,,,,,,
55,2,301.0,-16.464577,16384,295,0.2,1.0728836059570312e-06,-0.0017495770276582333,3384.3656915664674,0.001,0.00602163,0.074169921875,0.9931350946426392,803.0524291992188,10,-5.647556924819947
82,3,301.0,122.04741,24576,297,0.2,0.06783133745193481,-0.003406234557769494,6362.508486747742,0.001,0.009190709,0.08311767578125,0.9919701814651489,217.51980590820312,20,-5.646002525091172
