time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/explained_variance,train/std,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
209,1,32768,601.0,156,585.88434,,,,,,,,,,,,,
200,2,65536,601.0,327,533.8582,-0.0007410915553009545,-2.4619663501158358,0.0032135009765625,1e-05,17652.365581893922,8540.1806640625,2470,0.6924608647823334,0.44946616888046265,0.0020993275,0.2,,
196,3,98304,583.41,501,489.27985,-0.0004408454194162914,-2.461741944029927,0.0105865478515625,1e-05,13618.506105041504,2722.22900390625,2480,0.7259518206119537,0.4494490325450897,0.0031052022,0.2,,
194,4,131072,583.41,674,653.76105,-7.777244009048445e-05,-2.461760978400707,0.005657958984375,1e-05,20170.096969604492,8162.95068359375,2490,0.731091171503067,0.4494658410549164,0.0027470523,0.2,,
193,5,163840,600.82,845,499.33527,-0.00043566086678765715,-2.461894969828427,0.002374267578125,1e-05,17674.94785232544,4250.2998046875,2500,0.7424955070018768,0.449476033449173,0.002031085,0.2,,
193,6,196608,595.52,1016,479.24554,-0.00046529077844752463,-2.4618854213505985,0.0069488525390625,1e-05,13607.727370452882,5432.09521484375,2510,0.8024686574935913,0.44945552945137024,0.0027551432,0.2,,
193,7,229376,591.16,1187,533.52783,-0.000292066422980497,-2.461369843408465,0.011444091796875,1e-05,15053.750636672974,5654.23876953125,2520,0.7779062539339066,0.4493570327758789,0.0033864046,0.2,,
192,8,262144,592.66,1358,516.8263,-0.00037368280563896403,-2.4608488461002707,0.0150604248046875,1e-05,17028.801064682008,7914.166015625,2530,0.7280530035495758,0.44933438301086426,0.003999724,0.2,,
192,9,294912,597.2,1529,607.2029,-0.00011427835770518868,-2.4607643015682696,0.00245361328125,1e-05,15462.706864166259,7061.30908203125,2540,0.7597424238920212,0.4493376910686493,0.0016717678,0.2,,
192,10,327680,601.0,1700,740.1289,-0.0005265589887130772,-2.460790107958019,0.001300048828125,1e-05,19265.03317337036,6613.3095703125,2550,0.7150501906871796,0.44934704899787903,0.0016299814,0.2,,
192,11,360448,595.54,1871,753.4921,-0.00041440262384639936,-2.4607316834852098,0.00469970703125,1e-05,17897.729908370973,10463.5048828125,2560,0.7309847474098206,0.4493141174316406,0.0025915063,0.2,,
192,12,393216,594.83,2043,799.8552,-0.00022648743452009513,-2.4605829760432245,0.001177978515625,1e-05,24227.136697387694,15664.0908203125,2570,0.6756671071052551,0.4493190050125122,0.0013545882,0.2,,
192,13,425984,600.29,2213,733.2681,-0.0005860425114406099,-2.4605396492406726,0.00650634765625,1e-05,17614.14104156494,8181.7939453125,2580,0.761934757232666,0.4492990970611572,0.0024338458,0.2,,
192,14,458752,596.07,2387,651.41766,-0.0009077161172172055,-2.460243596881628,0.00504150390625,1e-05,14913.44372138977,3940.14990234375,2590,0.7713694870471954,0.4492507576942444,0.0023504556,0.2,,
191,15,491520,592.67,2561,790.5239,-0.0005950986008883774,-2.459953224658966,0.0079925537109375,1e-05,18262.952585220337,7711.02587890625,2600,0.7601969987154007,0.4492364525794983,0.003159964,0.2,,
191,16,524288,593.49,2733,805.0924,-0.00013533317596738925,-2.459869097173214,0.0038604736328125,1e-05,18074.98832130432,8565.677734375,2610,0.7588347941637039,0.44923216104507446,0.0021093753,0.2,,
191,17,557056,591.52,2905,765.8826,-0.0003283601330622332,-2.459718205779791,0.0050628662109375,1e-05,17974.50390815735,9384.748046875,2620,0.7466151714324951,0.4492042660713196,0.0022984124,0.2,,
191,18,589824,595.63,3076,774.7382,-0.00017421720485799597,-2.459730310551822,0.005517578125,1e-05,18857.34614524841,5768.5009765625,2630,0.7539238780736923,0.44923099875450134,0.0022065248,0.2,,
191,19,622592,601.0,3247,774.69037,9.945090941982926e-05,-2.4599481664597986,0.0062652587890625,1e-05,16826.968798828126,9217.96484375,2640,0.7773932367563248,0.4492535889148712,0.0021637762,0.2,,
191,20,655360,595.42,3419,761.56396,-0.0004001773641903128,-2.4599446412175894,0.004620361328125,1e-05,17952.51152229309,9608.826171875,2650,0.7734667062759399,0.4492281675338745,0.0022286084,0.2,,
191,21,688128,601.0,3592,687.68634,-0.0004897055871424527,-2.459483133070171,0.0049835205078125,1e-05,15300.318632888793,6954.59716796875,2660,0.7861036360263824,0.4491497874259949,0.0027319458,0.2,,
191,22,720896,600.43,3763,655.8716,-0.00018423808114675921,-2.4590952888131143,0.004815673828125,1e-05,19392.613220214844,10019.6416015625,2670,0.7017834484577179,0.4491448402404785,0.0022012182,0.2,,
191,23,753664,580.34,3934,724.4519,-0.0001946997265349637,-2.4589970022439958,0.0031463623046875,1e-05,18603.839468765258,8501.658203125,2680,0.7070923447608948,0.4491366744041443,0.0020705059,0.2,,
191,24,786432,584.94,4109,804.4902,-0.0010623981108892622,-2.4588345544412733,0.006243896484375,1e-05,20265.23180847168,12475.154296875,2690,0.7368398606777191,0.44910693168640137,0.0030365565,0.2,,
191,25,819200,601.0,4282,658.17487,-2.1158075560379076e-05,-2.4586530582979322,0.007550048828125,1e-05,18629.336514282226,5772.94921875,2700,0.7244840860366821,0.44910091161727905,0.0027247006,0.2,,
191,26,851968,592.08,4454,804.56757,-7.918401497590822e-05,-2.458378811366856,0.006597900390625,1e-05,15796.195932769775,8151.07666015625,2710,0.7478160262107849,0.44904112815856934,0.0024416177,0.2,,
191,27,884736,573.74,4625,871.5578,-0.00027523408057277264,-2.4580461749807,0.004534912109375,1e-05,19375.851184082032,11570.9794921875,2720,0.7488362491130829,0.44902393221855164,0.0024081203,0.2,,
191,28,917504,582.78,4797,850.34955,-0.0004061869146880781,-2.4578271694481373,0.005426025390625,1e-05,20822.59530067444,10370.259765625,2730,0.7059301137924194,0.44898855686187744,0.0024039925,0.2,,
191,29,950272,591.64,4968,772.38983,-0.00040146676662971,-2.4576339635998012,0.0048126220703125,1e-05,20159.02837677002,12799.8515625,2740,0.7271296083927155,0.44897839426994324,0.0023044122,0.2,,
191,30,983040,595.52,5139,822.4896,-0.0005897070533592341,-2.4572193475440143,0.0032196044921875,1e-05,19571.57347869873,6257.68408203125,2750,0.7088949382305145,0.4488924741744995,0.0020468738,0.2,,
191,31,1015808,586.48,5310,873.90533,-0.0005441049658656994,-2.456839830428362,0.0021820068359375,1e-05,19248.576543426512,13291.54296875,2760,0.7428805828094482,0.4488953948020935,0.0019644974,0.2,,
191,32,1048576,591.3,5481,881.485,-0.0004060976419168583,-2.4569441633298994,0.00523681640625,1e-05,17952.592475509642,8443.927734375,2770,0.7462548315525055,0.44890710711479187,0.0026163347,0.2,,
191,33,1081344,591.13,5653,894.29156,-0.0009449993985072069,-2.456753628887236,0.004498291015625,1e-05,16606.95260925293,7707.01318359375,2780,0.7843655943870544,0.44885116815567017,0.0022487333,0.2,,
191,34,1114112,591.82,5824,774.09436,-0.000875284121138975,-2.45637580268085,0.0049468994140625,1e-05,18949.926613235475,5741.11962890625,2790,0.7582997381687164,0.4488193988800049,0.0021465747,0.2,,
191,35,1146880,591.34,5995,855.84656,-0.000589791356560454,-2.456378547847271,0.003399658203125,1e-05,20589.56322669983,13016.470703125,2800,0.7284621596336365,0.44886326789855957,0.0019290284,0.2,,
191,36,1179648,587.45,6166,650.43646,-8.881713279151882e-05,-2.4565315125510097,0.0019134521484375,1e-05,18696.681547546388,22841.94921875,2810,0.7379165887832642,0.4488464295864105,0.0016066607,0.2,,
191,37,1212416,586.82,6338,666.9836,-0.00048555547473370095,-2.4564593877643346,0.00250244140625,1e-05,19291.847190093995,10471.82421875,2820,0.7357815504074097,0.4488520622253418,0.0016818305,0.2,,
