time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
12,-72.143684,896,301.0,393216,438,316.4396202325821,0.0001,0.0249786376953125,-5.446104690618813,103.4751968383789,0.5356758534908295,0.2,110,0.005173266,-0.003071109845495812,0.9422349333763123,,
13,-19.54083,973,301.0,425984,437,592.8528229236603,0.0001,0.0396636962890625,-5.436686578951776,128.125,0.6157054305076599,0.2,120,0.005537128,-0.003166390390106244,0.940701961517334,,
14,22.82542,1050,301.0,458752,436,598.8826575577259,0.0001,0.0548675537109375,-5.4176042510196565,172.72454833984375,0.6906752586364746,0.2,130,0.005753385,-0.0037734407464995456,0.9355840682983398,,
15,54.175655,1127,301.0,491520,435,339.858268392086,0.0001,0.0515899658203125,-5.3988320676609876,157.0956573486328,0.8230728805065155,0.2,140,0.006188525,-0.0038878297501923954,0.9303988218307495,,
16,88.163185,1204,301.0,524288,435,918.3071204006671,0.0001,0.0689544677734375,-5.375421481207013,178.5714111328125,0.649297297000885,0.2,150,0.006892269,-0.0035200802590679816,0.9263300895690918,,
17,126.43419,1281,301.0,557056,434,632.1707643806934,0.0001,0.074688720703125,-5.360564588755369,155.96946716308594,0.7354263961315155,0.2,160,0.007541892,-0.004337769380708778,0.9244723916053772,,
18,132.61652,1358,301.0,589824,434,1327.5620479524136,0.0001,0.0692657470703125,-5.348962393030524,185.8092041015625,0.5870164632797241,0.2,170,0.007650601,-0.0027138150954215236,0.919718861579895,,
19,170.26323,1436,301.0,622592,433,920.3531422674656,0.0001,0.0871124267578125,-5.324548320658505,182.6131134033203,0.6202633380889893,0.2,180,0.0069918507,-0.004271205477152762,0.9136158227920532,,
20,172.82375,1513,301.0,655360,432,318.41895388960836,0.0001,0.08572998046875,-5.298376228287816,175.5123748779297,0.8062392473220825,0.2,190,0.0074305665,-0.00429933597215495,0.908753514289856,,
21,213.34486,1591,301.0,688128,432,307.7233304917812,0.0001,0.09591064453125,-5.26982918959111,114.91111755371094,0.80495385825634,0.2,200,0.008492701,-0.0045951886865623235,0.9028049111366272,,
22,229.24107,1669,301.0,720896,431,906.0169385194779,0.0001,0.094354248046875,-5.250055686943233,154.17942810058594,0.4982653260231018,0.2,210,0.008500574,-0.00245952767579638,0.8978540897369385,,
23,229.7954,1746,301.0,753664,431,918.7004648029804,0.0001,0.0934661865234375,-5.23346332423389,155.1584014892578,0.46891987323760986,0.2,220,0.0075801993,-0.0012443344930034073,0.8959348201751709,,
