time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
32768,116,1,367.85,978.37244,281,,,,,,,,,,,,,
65536,240,2,382.83,989.23376,272,0.003193900027508789,0.032316386699676514,23911.958984375,0.0001,57278.71439819336,0.133966064453125,2480,0.3944692313671112,-1.9466800916939975,0.013567475,0.2,,
98304,366,3,410.63,1112.0347,267,0.0007018114275524568,0.24380415678024292,19903.107421875,0.0001,55310.69795227051,0.0652130126953125,2490,0.3943880796432495,-1.9457427240908145,0.007951137,0.2,,
131072,493,4,443.33,1406.2306,265,0.0002942787661595503,0.369456946849823,19967.19140625,0.0001,55454.73493347168,0.0636627197265625,2500,0.3943430185317993,-1.9451210817322135,0.0074938284,0.2,,
163840,618,5,403.47,1102.1117,264,0.0009363545142605289,0.43089359998703003,21278.8359375,0.0001,47826.822662353516,0.05018310546875,2510,0.3941437005996704,-1.9439079586416483,0.00665637,0.2,,
196608,746,6,462.13,1433.8662,263,-0.0004159483114563045,0.41005903482437134,21840.03515625,0.0001,52740.17994995117,0.057861328125,2520,0.39404428005218506,-1.9423419550061225,0.007116901,0.2,,
229376,872,7,431.94,1178.9098,262,6.17762188994675e-05,0.542481929063797,13683.31640625,0.0001,38835.558013916016,0.0558380126953125,2530,0.3939893841743469,-1.941598199494183,0.0073831147,0.2,,
262144,1000,8,467.72,1459.0356,261,-0.00025264922787755496,0.5349441468715668,13575.1015625,0.0001,43922.13783874512,0.0391876220703125,2540,0.39387354254722595,-1.940707616135478,0.0057327747,0.2,,
294912,1127,9,429.15,1287.4934,261,-0.0003293736015621107,0.6187444627285004,13953.123046875,0.0001,39453.88682556152,0.0376007080078125,2550,0.39381733536720276,-1.9398661049082875,0.005410226,0.2,,
327680,1254,10,443.65,1292.7653,261,-0.00013543732420657762,0.5965616405010223,13972.1025390625,0.0001,43751.23419189453,0.03492431640625,2560,0.39378291368484497,-1.9393837420269846,0.005502142,0.2,,
360448,1380,11,419.41,1156.9667,261,0.00023969561661942861,0.6512629687786102,13342.5498046875,0.0001,36506.15962219238,0.045361328125,2570,0.3937162756919861,-1.938885623589158,0.00641651,0.2,,
393216,1507,12,408.93,1129.84,260,2.7986663098999998e-05,0.6275908350944519,17873.1953125,0.0001,43072.963696289065,0.0420928955078125,2580,0.39363062381744385,-1.9381097238510847,0.0059355544,0.2,,
425984,1634,13,440.56,1342.1295,260,-7.550613263447303e-05,0.6855172514915466,13324.791015625,0.0001,34753.694619750975,0.0569488525390625,2590,0.3936300277709961,-1.9376163464039564,0.0069309464,0.2,,
458752,1759,14,456.1,1663.0648,260,0.0008645145742775639,0.693232923746109,12500.23046875,0.0001,36543.50543823242,0.0555908203125,2600,0.393620103597641,-1.9376076204702257,0.006549441,0.2,,
491520,1886,15,453.72,1673.9458,260,0.0004619941559212748,0.6629904210567474,14795.365234375,0.0001,43620.21690673828,0.0428924560546875,2610,0.3936147689819336,-1.9375431712716817,0.005928575,0.2,,
524288,2011,16,435.84,1553.2708,260,-0.0003163579207466682,0.690645694732666,14543.7880859375,0.0001,35450.5409362793,0.02396240234375,2620,0.3935871720314026,-1.9373693523928524,0.0045793024,0.2,,
557056,2139,17,447.37,1529.5776,260,-0.001197849044274335,0.6478678286075592,13196.12109375,0.0001,39845.514660644534,0.05938720703125,2630,0.39358362555503845,-1.937201164662838,0.007408007,0.2,,
589824,2265,18,441.58,1486.9681,260,0.00028025068022543567,0.6839784681797028,11134.01953125,0.0001,37131.536431884764,0.034295654296875,2640,0.39354243874549866,-1.9370072146877646,0.0051515494,0.2,,
622592,2391,19,471.57,1921.1812,260,-0.0001276301062262064,0.6989773213863373,16851.478515625,0.0001,38439.046572875974,0.0333740234375,2650,0.3935333490371704,-1.936755705997348,0.0055466928,0.2,,
655360,2517,20,504.65,2082.428,260,-3.974976007157238e-05,0.7260176539421082,12565.0498046875,0.0001,33367.148080444334,0.030126953125,2660,0.3934946656227112,-1.936503929272294,0.0045579304,0.2,,
