time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,eval/mean_ep_length,eval/mean_reward
157,1,32768,208,573.6666666666666,907.4871,,,,,,,,,,,,,
328,2,65536,199,576.71,1185.4849,0.6414841413497925,1240,0.2,0.5375396728515625,0.001,0.07877583,0.052227152954583286,20836.545445251464,0.22303372621536255,-3.873947258107364,3160.939697265625,,
500,3,98304,196,579.56,986.75916,0.6431546807289124,1250,0.2,0.422210693359375,0.001,0.052615307,0.02475025114767959,13397.203059196472,0.409220814704895,-3.8873459989205004,2524.008544921875,,
672,4,131072,194,591.17,1060.402,0.6443126201629639,1260,0.2,0.379730224609375,0.001,0.042319406,0.016631840153968368,9037.078573608398,0.40010207891464233,-3.894392811693251,1419.9608154296875,,
845,5,163840,193,596.76,1464.842,0.6442052721977234,1270,0.2,0.3884368896484375,0.001,0.044521198,0.01617799703908531,7360.491447544098,0.4581415057182312,-3.8986884012818335,1113.6195068359375,,
1019,6,196608,192,581.4,1344.7485,0.6427141427993774,1280,0.2,0.3763519287109375,0.001,0.041789025,0.013371476583415642,9464.423719215392,0.36950331926345825,-3.894931048899889,1850.3548583984375,,
1191,7,229376,192,582.4,972.22687,0.6414054036140442,1290,0.2,0.379168701171875,0.001,0.042134136,0.01578015107934334,7383.456473064422,0.31129324436187744,-3.8819176925346257,1476.8187255859375,,
1363,8,262144,192,596.64,969.2218,0.6411184072494507,1300,0.2,0.364739990234375,0.001,0.040428508,0.011575077764427988,5040.220131063461,0.36829495429992676,-3.8764289043843747,684.108642578125,,
1535,9,294912,192,595.33,1103.9021,0.6393608450889587,1310,0.2,0.3518890380859375,0.001,0.03675369,0.009680125750674052,4435.2540713310245,0.4837504029273987,-3.8669729102402925,940.5704345703125,,
1706,10,327680,191,590.54,1238.3517,0.6372357606887817,1320,0.2,0.3389739990234375,0.001,0.037071645,0.006827861555029813,6096.251113605499,0.3670145869255066,-3.852147016301751,1247.5694580078125,,
1878,11,360448,191,586.29,1259.0117,0.6352766752243042,1330,0.2,0.3491851806640625,0.001,0.03684666,0.009696452278876676,5973.89147901535,0.39831823110580444,-3.845184331573546,825.2701416015625,,
2050,12,393216,191,591.08,1172.9453,0.6315579414367676,1340,0.2,0.3153411865234375,0.001,0.03109802,0.007198420983695541,5112.229347085953,0.3296879529953003,-3.8281067445874215,707.8757934570312,,
2222,13,425984,191,596.79,1147.8135,0.6299906373023987,1350,0.2,0.3079254150390625,0.001,0.032667805,0.004438377303085872,3469.2918372631075,0.40997523069381714,-3.8097918894141913,418.7138977050781,,
2394,14,458752,191,596.79,1269.2014,0.6255999803543091,1360,0.2,0.3235076904296875,0.001,0.035677675,0.007838950854420546,3932.2174110412598,0.46430665254592896,-3.7906827164813874,505.9652099609375,,
2566,15,491520,191,601.0,1182.6945,0.6244408488273621,1370,0.2,0.3042694091796875,0.001,0.030156776,0.005788249597753747,3831.3792782783507,0.4552774429321289,-3.7791365925222635,696.3580932617188,,
2738,16,524288,191,601.0,1043.2098,0.625694751739502,1380,0.2,0.3020751953125,0.001,0.032021355,0.005247915973814088,4071.2637741565704,0.4694642424583435,-3.7797524666413667,563.8652954101562,,
2910,17,557056,191,598.94,1053.0461,0.6237691044807434,1390,0.2,0.2906585693359375,0.001,0.030517614,0.003184576649164228,2961.4369475364683,0.5143785774707794,-3.7726577747613192,371.5224609375,,
3082,18,589824,191,594.15,1397.1464,0.6204777359962463,1400,0.2,0.2946014404296875,0.001,0.02908445,0.0033200187868715147,3401.334543085098,0.4554107189178467,-3.7625789251178503,310.9264221191406,,
3256,19,622592,191,596.21,1417.5397,0.6192184686660767,1410,0.2,0.278778076171875,0.001,0.027838895,0.004037717272876762,4197.8791013717655,0.4963400959968567,-3.742707386240363,1238.1732177734375,,
