rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss
218.6623,301.0,21,688128,2036,337,0.053936767578125,0.2,200,1240.5525129407645,201.63536071777344,0.005808782,0.5554853975772858,-0.0046309827400364155,0.9614217877388,1e-05,-5.520764929521829
232.89334,301.0,22,720896,2137,337,0.0511810302734375,0.2,210,1532.6061815351247,158.49111938476562,0.0051643075,0.47679972648620605,-0.004432257534608653,0.9590017795562744,1e-05,-5.513031590357423
259.17917,301.0,23,753664,2237,336,0.0448394775390625,0.2,220,1529.0188504517077,159.63421630859375,0.005227199,0.454287588596344,-0.003379193018690785,0.9572190642356873,1e-05,-5.504352094605565
290.58948,301.0,24,786432,2336,336,0.0328704833984375,0.2,230,2306.7102683782578,176.60784912109375,0.004490376,0.3262198567390442,-0.0028203517817473765,0.9546733498573303,1e-05,-5.495350327435881
298.09607,301.0,25,819200,2436,336,0.0386077880859375,0.2,240,1177.625126823783,152.5968475341797,0.0049108267,0.3858410120010376,-0.003800714168619379,0.9522663950920105,1e-05,-5.4842526307329535
295.28967,301.0,26,851968,2535,335,0.0404998779296875,0.2,250,2296.5622130423785,161.08082580566406,0.0052710706,0.19269180297851562,-0.003726851979672574,0.9489841461181641,1e-05,-5.4722517872229215
311.7786,301.0,27,884736,2635,335,0.0344970703125,0.2,260,2361.3678358107804,171.6449737548828,0.004738448,0.2056642770767212,-0.0027526145110641663,0.9471118450164795,1e-05,-5.462081394437701
375.68414,301.0,28,917504,2734,335,0.0824493408203125,0.2,270,1801.6060083925724,193.1904754638672,0.0070983255,0.2667515277862549,-0.0067244711970943175,0.9436599612236023,1e-05,-5.450213191937655
272.9828,301.0,29,950272,2834,335,0.027801513671875,0.2,280,2445.4098346322776,371.7693176269531,0.0045372294,0.19362282752990723,-0.0022768721697048024,0.941745400428772,1e-05,-5.438952937535942
279.61383,301.0,30,983040,2933,335,0.023626708984375,0.2,290,1246.2087685763836,270.80462646484375,0.004090349,0.28422510623931885,-0.0016920172707386883,0.9390299320220947,1e-05,-5.428630597144365
365.34714,301.0,31,1015808,3033,334,0.0348785400390625,0.2,300,1010.6388081341981,216.3002166748047,0.0051306845,0.3545852303504944,-0.003325749463397187,0.9357497096061707,1e-05,-5.415493832714856
