time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
32768,1,298.2040816326531,204,160,850.574,,,,,,,,,,,,,
65536,2,299.76,201,325,891.4358,-0.0006918744588801928,-2.4620405294001104,12653.548828125,25006.081759643555,1e-05,0.44948965311050415,2470,0.0015515431,0.5864524245262146,0.0018157958984375,0.2,,
98304,3,296.99,200,490,1265.2979,-0.00031689589882262227,-2.4618904668837787,10574.376953125,24630.61132507324,1e-05,0.4494645893573761,2480,0.0012767268,0.6484684944152832,0.000860595703125,0.2,,
131072,4,301.0,199,656,1095.065,0.0004071677594765788,-2.461694148927927,12427.0693359375,31625.89312133789,1e-05,0.44944635033607483,2490,0.0014990814,0.5930157005786896,0.001953125,0.2,,
163840,5,296.25,199,823,1017.05646,-0.0001320600231338176,-2.4615335326641796,13359.9912109375,25270.309033203124,1e-05,0.44942790269851685,2500,0.0020394786,0.6601497828960419,0.00440673828125,0.2,,
196608,6,301.0,199,987,1012.47876,-0.00032615116597298763,-2.4613252565264703,12199.9365234375,26340.961395263672,1e-05,0.4493965208530426,2510,0.0014619099,0.6413164436817169,0.001409912109375,0.2,,
229376,7,301.0,199,1151,1085.7782,-3.3978290821323755e-05,-2.4611026205122473,14744.8974609375,27483.119039916994,1e-05,0.4493774473667145,2520,0.0013483823,0.6411125659942627,0.0008514404296875,0.2,,
262144,8,299.59,199,1315,1128.1418,-0.0005470534255437087,-2.4609742902219294,9983.947265625,27869.33723449707,1e-05,0.4493648111820221,2530,0.0016064467,0.6325010061264038,0.0016571044921875,0.2,,
294912,9,298.34,199,1479,1162.8298,-0.0002516264443329419,-2.4607907116413115,14528.0146484375,25675.91604003906,1e-05,0.44933560490608215,2540,0.0012021998,0.6638321876525879,0.0014190673828125,0.2,,
327680,10,299.4,199,1644,1046.8022,-0.0005210323111896287,-2.460598537325859,11793.375,26584.527880859376,1e-05,0.44932207465171814,2550,0.0018162765,0.6755812764167786,0.0025390625,0.2,,
360448,11,297.58,199,1808,976.2918,-0.0005697786285054462,-2.4605008948594334,12397.474609375,26628.8853515625,1e-05,0.44931334257125854,2560,0.001391422,0.6517917811870575,0.001336669921875,0.2,,
393216,12,298.74,199,1973,1144.434,0.00018658422886801417,-2.460351177677512,11949.7099609375,26575.783045959473,1e-05,0.4492865800857544,2570,0.0013418273,0.6571620106697083,0.0015289306640625,0.2,,
425984,13,299.49,199,2137,1050.5586,-0.00019019616138393758,-2.460173536837101,14102.1123046875,27482.056393432616,1e-05,0.4492695927619934,2580,0.0017347467,0.6648015081882477,0.0026519775390625,0.2,,
458752,14,296.85,199,2301,1168.3469,-0.00016114846885102453,-2.460064305737615,17101.859375,25049.057783508302,1e-05,0.449263334274292,2590,0.00091714907,0.6774768233299255,0.000433349609375,0.2,,
491520,15,301.0,199,2465,1027.766,-0.0005701160112948856,-2.4600196216255426,12754.5146484375,26599.632318115233,1e-05,0.4492603540420532,2600,0.0019772109,0.7040762603282928,0.003790283203125,0.2,,
524288,16,298.39,199,2629,1088.7628,-0.00017415859811080735,-2.460036436095834,12119.3935546875,24786.19311981201,1e-05,0.4492657780647278,2610,0.002065228,0.6970702409744263,0.0035888671875,0.2,,
557056,17,300.24,199,2793,1122.3267,5.504505679709837e-07,-2.4600206006318333,12853.0654296875,26712.41145019531,1e-05,0.44926050305366516,2620,0.0012737163,0.6779769957065582,0.0009765625,0.2,,
589824,18,301.0,199,2962,947.4204,0.00015885919383435977,-2.459943749010563,15142.6103515625,26789.934736633302,1e-05,0.4492497146129608,2630,0.0013232107,0.6655572056770325,0.00152587890625,0.2,,
622592,19,294.4,199,3128,941.8972,-0.00017329155652987538,-2.4598776288330555,11524.251953125,22541.703034973143,1e-05,0.4492500424385071,2640,0.0017442103,0.7061267197132111,0.00269775390625,0.2,,
655360,20,300.57,199,3292,937.58826,-0.0003339927714478108,-2.4597754895687105,11977.26953125,27073.243542480468,1e-05,0.44922900199890137,2650,0.0011015995,0.677214652299881,0.0007171630859375,0.2,,
688128,21,299.38,199,3457,1135.7875,-4.022953762614634e-05,-2.4596196692436934,10598.173828125,25062.026000976562,1e-05,0.44921737909317017,2660,0.0019498207,0.6927020251750946,0.002996826171875,0.2,,
720896,22,298.28,199,3621,1170.9905,-0.00018903046166087733,-2.4595527566969393,12410.51953125,26726.662287902833,1e-05,0.44921764731407166,2670,0.0010163003,0.682828277349472,0.000616455078125,0.2,,
