time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
16384,501,570.3333333333334,1,1225.7827,32,,,,,,,,,,,,,
32768,345,632.1555555555556,2,1796.5538,94,7345.90625,0.2,0.014982285,0.163897705078125,0.0016565046637879277,2480,0.39424484968185425,-1.9457376630045473,0.0003,15842.69207725525,0.04862242937088013,,
49152,310,670.6268656716418,3,2355.186,158,2889.409912109375,0.2,0.011004955,0.12161865234375,0.002154798780065903,2490,0.39400559663772583,-1.9428109481930733,0.0003,17350.41094264984,0.2059187889099121,,
65536,297,677.0106382978723,4,2456.3904,219,3909.66552734375,0.2,0.011401365,0.124603271484375,0.0015057361859362572,2500,0.3936181664466858,-1.9394334815442562,0.0003,19722.558902359007,0.2694510817527771,,
81920,289,700.28,5,2838.3762,282,4336.923828125,0.2,0.009909285,0.111083984375,0.0006034300085957511,2510,0.39358699321746826,-1.9372059389948846,0.0003,17058.3564825058,0.3130319118499756,,
98304,283,714.14,6,3017.6626,346,2739.46923828125,0.2,0.011681639,0.12264404296875,0.0009679331355073373,2520,0.3931058943271637,-1.9346861941739917,0.0003,16061.418103981017,0.14736437797546387,,
114688,279,713.42,7,2955.4639,409,1885.5848388671875,0.2,0.010362046,0.1115966796875,0.0014246329499655985,2530,0.392934650182724,-1.93124056244269,0.0003,14107.742912483216,0.27151554822921753,,
131072,276,735.29,8,3100.348,473,3237.458740234375,0.2,0.009520582,0.100933837890625,0.0014556945709045977,2540,0.3922905921936035,-1.9273249798454344,0.0003,15270.745935249328,0.21746784448623657,,
147456,275,784.04,9,3731.9746,535,2468.64404296875,0.2,0.011888708,0.137286376953125,0.0010067651064673555,2550,0.39188817143440247,-1.9222125539556145,0.0003,14426.440293884278,0.2918126583099365,,
163840,273,797.11,10,3942.0684,598,3861.2734375,0.2,0.010001926,0.10904541015625,0.002530556161673303,2560,0.39177393913269043,-1.9192915798164905,0.0003,15056.546974372864,0.1867694854736328,,
180224,272,787.86,11,3863.1047,662,2736.098388671875,0.2,0.009733811,0.11021728515625,0.002049888126202859,2570,0.3915978670120239,-1.9179663353599608,0.0003,12699.53542957306,0.3637261390686035,,
196608,270,811.52,12,4246.8604,726,2740.676513671875,0.2,0.00999692,0.10538330078125,0.0009506167723884573,2580,0.39145612716674805,-1.9163322042673827,0.0003,14743.107232666016,0.4152984619140625,,
212992,269,805.24,13,4207.2344,790,1372.626220703125,0.2,0.010595181,0.121405029296875,-0.000532709915387386,2590,0.390708863735199,-1.9120280330069364,0.0003,13643.808704948426,0.2922075390815735,,
229376,268,813.03,14,4427.872,853,2917.80810546875,0.2,0.010827792,0.120208740234375,0.000261170239537023,2600,0.3905678987503052,-1.9071699948050083,0.0003,13366.726434516906,0.3581992983818054,,
245760,267,836.49,15,4742.061,917,3029.284423828125,0.2,0.010129415,0.118035888671875,0.0025806492812989745,2610,0.3899097442626953,-1.9032347748056053,0.0003,15443.453940200805,0.453117311000824,,
262144,266,900.08,16,5641.011,982,3493.445556640625,0.2,0.010373356,0.11575927734375,0.0011188095662873821,2620,0.389978289604187,-1.899838306568563,0.0003,13199.952533340454,0.40183526277542114,,
278528,265,915.13,17,5933.9395,1047,7117.14599609375,0.2,0.012391073,0.12891845703125,0.0005425880530310678,2630,0.3898327350616455,-1.8991115093231201,0.0003,15577.949527931214,0.5057360827922821,,
