time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,60,542,-224.8346,,,,,,,,,,,
2,301.0,65536,157,416,-151.06512,-5.6715213667601345,0.00823384,0.0007520318031311035,10,46.63009262084961,104.15647869706154,0.2,1e-05,0.105560302734375,0.9982850551605225,-0.012231716035330464
3,301.0,98304,254,386,-18.948198,-5.66788471378386,0.009035552,0.018470704555511475,20,65.04158020019531,115.75024003386497,0.2,1e-05,0.1074554443359375,0.9976015686988831,-0.013103203169157496
4,301.0,131072,351,373,144.10039,-5.663478526473045,0.009444317,0.027025163173675537,30,47.83941650390625,111.51331670284272,0.2,1e-05,0.133984375,0.9963945150375366,-0.01565188095155463
5,301.0,163840,447,365,186.09018,-5.660997373983264,0.009711659,0.01466214656829834,40,1914.5513916015625,966.2469452619553,0.2,1e-05,0.0946319580078125,0.9962179064750671,-0.009606258454095951
6,301.0,196608,544,361,77.24458,-5.660514547303319,0.002943621,0.008285701274871826,50,4387.77978515625,5107.692699074745,0.2,1e-05,0.0013397216796875,0.9961861968040466,-0.0010794808437367466
7,301.0,229376,641,357,52.686275,-5.659642301127315,0.0068315286,0.011758744716644287,60,569.9131469726562,1615.1542356252671,0.2,1e-05,0.06033935546875,0.9957042336463928,-0.004624677201240957
8,301.0,262144,739,354,11.0061655,-5.6557692181318995,0.005696354,-0.018320918083190918,70,125.8240966796875,867.6106088399887,0.2,1e-05,0.050115966796875,0.9941582679748535,-0.004733403676027592
9,301.0,294912,838,351,-47.635742,-5.650224582850933,0.0042310134,-0.011385917663574219,80,354.2440185546875,1221.4624084949494,0.2,1e-05,0.0232269287109375,0.9931621551513672,-0.0018834696280919162
10,301.0,327680,936,349,-62.035034,-5.64793988391757,0.0042406097,0.10641229152679443,90,285.27838134765625,625.1632608056068,0.2,1e-05,0.013739013671875,0.9928798675537109,-0.0019323938880006608
11,301.0,360448,1034,348,-112.906784,-5.647325829789042,0.0033565098,0.43209242820739746,100,338.56500244140625,662.8079842805862,0.2,1e-05,0.0039154052734375,0.9928916692733765,-0.0008602618460827216
12,301.0,393216,1131,347,-126.07787,-5.6467105384916065,0.0029700194,0.5475481748580933,110,222.30055236816406,718.8762481689453,0.2,1e-05,0.0026153564453125,0.9925947189331055,-0.00047670867406850447
13,301.0,425984,1228,346,-103.01308,-5.6454213880002495,0.0034277928,0.6739155352115631,120,228.14976501464844,540.3278331518173,0.2,1e-05,0.01083984375,0.9921876192092896,-0.0011376648966688664
14,301.0,458752,1327,345,-169.8334,-5.643548332154751,0.003197078,0.5367073118686676,130,451.7321472167969,1107.3238476514816,0.2,1e-05,0.00653076171875,0.9917327165603638,-0.0007729957497758733
15,301.0,491520,1424,345,-117.67209,-5.642480380088091,0.0028171148,0.7218201756477356,140,303.4776611328125,616.37755651474,0.2,1e-05,0.005572509765625,0.9914359450340271,-0.0005974792105917004
16,301.0,524288,1521,344,-31.737534,-5.641478448361158,0.003064394,0.5765042304992676,150,489.8657531738281,1111.1943801164628,0.2,1e-05,0.002581787109375,0.9915515780448914,-0.0007575359709335316
