time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,564,32768,58,-80.93646,301.0,,,,,,,,,,,,,
2,552,65536,118,-94.65604,301.0,0.2,-6.365776062011719e-05,0.00457063,1718.8023613333703,93.14623260498047,10,-5.698218531534076,0.001,-0.0012743955394398654,1.0056897401809692,0.070599365234375,,
3,543,98304,180,-35.24387,301.0,0.2,0.051470816135406494,0.0065333275,1299.87653824687,37.673614501953125,20,-5.692145565152169,0.001,-0.003735648781366763,1.003572940826416,0.055108642578125,,
4,541,131072,241,95.49145,301.0,0.2,0.07899254560470581,0.008820852,1294.0094600975513,45.15007019042969,30,-5.654253170266747,0.001,-0.00557898355054931,0.9937003254890442,0.10140380859375,,
5,540,163840,303,232.27483,301.0,0.2,0.001947164535522461,0.0070723956,1748.3497363865376,471.2293701171875,40,-5.650570148229599,0.001,-0.0008177041154340259,0.9935622215270996,0.0643646240234375,,
6,538,196608,364,193.5004,301.0,0.2,-0.019359827041625977,0.008064536,3430.690101122856,272.7274169921875,50,-5.6460527837276455,0.001,-0.0006653106423982535,0.9937697052955627,0.06751708984375,,
7,538,229376,426,272.24664,301.0,0.2,-0.07012808322906494,0.008023783,1966.0829901218415,137.15301513671875,60,-5.642912782356143,0.001,-0.0005240016560492222,0.9899582266807556,0.074542236328125,,
8,538,262144,487,168.49184,301.0,0.2,-0.00040137767791748047,0.0072371303,3001.4589498996734,136.12533569335938,70,-5.62098170928657,0.001,-0.0011082691113188047,0.983754575252533,0.0761962890625,,
9,532,294912,554,367.71326,298.53,0.2,-0.11658108234405518,0.008920266,1285.0175416111947,88.59098052978516,80,-5.60049563087523,0.001,-0.0006627347151152207,0.9803293347358704,0.0976165771484375,,
10,531,327680,616,265.00662,301.0,0.2,0.0057222843170166016,0.01155611,3595.8968156814576,264.3667297363281,90,-5.58936185836792,0.001,0.0011491220026073278,0.9793623089790344,0.11617431640625,,
11,531,360448,677,340.4302,301.0,0.2,0.0281754732131958,0.012386301,1206.5695669949055,660.4951171875,100,-5.563129335641861,0.001,-0.0013224949350842507,0.9685935378074646,0.1346649169921875,,
12,527,393216,745,489.8244,301.0,0.2,-0.04464590549468994,0.012118734,2055.748319351673,197.8244171142578,110,-5.507927899435162,0.001,0.0003967622749769362,0.9544976949691772,0.1419158935546875,,
13,523,425984,813,316.77634,301.0,0.2,-0.014074325561523438,0.013558343,4224.700262594223,348.0774230957031,120,-5.476476466655731,0.001,0.001349462273356039,0.9493100047111511,0.16295166015625,,
14,522,458752,878,305.58887,301.0,0.2,-0.10449600219726562,0.015015081,2156.000245130062,208.4872283935547,130,-5.4444075506180525,0.001,0.0004154326285060961,0.942164421081543,0.1619415283203125,,
15,521,491520,943,496.55716,301.0,0.2,0.005901932716369629,0.016426329,1378.4734153985978,112.04376983642578,140,-5.420111376047134,0.001,0.0001234013576322468,0.9393076300621033,0.181121826171875,,
16,519,524288,1009,399.1216,301.0,0.2,-0.06728231906890869,0.017323839,2455.304864549637,1692.6436767578125,150,-5.4094293609261515,0.001,0.0015893206609689514,0.9359784126281738,0.1961517333984375,,
17,520,557056,1070,538.40186,301.0,0.2,-0.029056668281555176,0.016735906,2471.403048110008,292.6691589355469,160,-5.395237024128437,0.001,0.00334974568868347,0.9350714683532715,0.2020355224609375,,
18,518,589824,1137,395.5417,301.0,0.2,-0.016943812370300293,0.019576568,2800.6180649995804,227.6724395751953,170,-5.403223147243262,0.001,0.0019311315279992413,0.9371191263198853,0.21082763671875,,
19,517,622592,1203,539.5273,301.0,0.2,-0.018402099609375,0.019428495,2189.467372763157,173.57022094726562,180,-5.371683347597719,0.001,0.0005432382782601053,0.9226682782173157,0.2146148681640625,,
20,513,655360,1275,627.36273,301.0,0.2,0.08944261074066162,0.017594023,3073.7400238990786,1724.23876953125,190,-5.340528920665383,0.001,6.802847983635729e-05,0.9186499118804932,0.1834686279296875,,
21,511,688128,1345,653.68195,301.0,0.2,0.012379169464111328,0.018686999,3626.8465406417845,238.5256805419922,200,-5.31901083625853,0.001,0.0018619288584886817,0.9129185676574707,0.210791015625,,
22,510,720896,1412,711.4461,301.0,0.2,0.023115932941436768,0.017159108,4481.535262799263,351.42047119140625,210,-5.299967075884342,0.001,0.0015094165255504777,0.9089018702507019,0.194854736328125,,
23,509,753664,1479,890.498,301.0,0.2,0.022637605667114258,0.021720469,3390.8473563671114,367.2433776855469,220,-5.263914259150624,0.001,0.0016719863375328713,0.9002109169960022,0.2266387939453125,,
24,508,786432,1546,913.0251,299.25,0.2,0.031528472900390625,0.019819498,5217.733185482025,2783.32080078125,230,-5.23782806918025,0.001,0.002084783831014647,0.8957991003990173,0.218536376953125,,
