rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
464.40677,437.3050847457627,32768,1,325,100,,,,,,,,,,,,,
468.0,536.03,65536,2,305,214,2480,-1.9471162667497992,0.7402951419353485,1266.00341796875,4324.298560333252,0.0845458984375,0.0001,0.39451491832733154,0.008172484,0.2,0.0014973067970458942,,
769.0,730.09,98304,3,302,325,2490,-1.9453907139599322,0.6236205101013184,1466.6591796875,8334.349060821532,0.0884368896484375,0.0001,0.3943178653717041,0.008675063,0.2,-0.0009150960588158342,,
1526.0,910.35,131072,4,296,442,2500,-1.9448721252381802,0.5805604457855225,2753.443115234375,10626.68717918396,0.0627899169921875,0.0001,0.3943815529346466,0.00738563,0.2,-0.00011623503396549495,,
2167.0,1139.84,163840,5,293,558,2510,-1.9448806950822473,0.6609857380390167,5937.55029296875,19447.369022369385,0.051141357421875,0.0001,0.39431464672088623,0.0061063897,0.2,0.0002399312821580679,,
3281.0,1316.11,196608,6,289,678,2520,-1.943723209016025,0.7559655159711838,5042.70361328125,12597.503378295898,0.04791259765625,0.0001,0.3941689133644104,0.0065172436,0.2,-0.00014798102729400852,,
3650.0,1474.37,229376,7,283,808,2530,-1.9427408931776882,0.7300000786781311,3768.55908203125,17152.447812652586,0.0413330078125,0.0001,0.3941183388233185,0.005826423,0.2,0.0006891800489029265,,
3592.0,1542.46,262144,8,281,929,2540,-1.9422573957592248,0.6678111553192139,6076.927734375,28085.596546554567,0.0559356689453125,0.0001,0.3940548300743103,0.006779021,0.2,-0.00043970965871267256,,
4412.0,1683.7,294912,9,277,1061,2550,-1.941459123045206,0.7185391187667847,4306.5068359375,18027.91680679321,0.045501708984375,0.0001,0.39396291971206665,0.0051347516,0.2,0.0006200873434863752,,
4473.0,1745.88,327680,10,274,1192,2560,-1.9404854319989682,0.4424113631248474,44889.19921875,106939.25098114014,0.0471466064453125,0.0001,0.3938559889793396,0.0067210803,0.2,-0.0007147741889639292,,
5224.0,1841.05,360448,11,272,1324,2570,-1.939937698841095,0.6190881133079529,5425.51708984375,45820.38358840942,0.044866943359375,0.0001,0.3938785791397095,0.005933242,0.2,0.00029039662731520364,,
4588.0,1807.6,393216,12,270,1451,2580,-1.9400669150054455,0.6954538822174072,7605.69140625,28200.787532806396,0.0365814208984375,0.0001,0.39386624097824097,0.0054630996,0.2,-0.00020401419460540636,,
4668.0,1803.0,425984,13,269,1578,2590,-1.939724240079522,0.7279112935066223,4716.2666015625,29249.415650177,0.0349273681640625,0.0001,0.39383459091186523,0.0047442345,0.2,-0.00016917050124902743,,
