time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,59,549,-235.45746,,,,,,,,,,,
2,301.0,65536,125,520,-142.54855,-5.660293436050415,0.008221688,-0.0004553794860839844,10,37.975921630859375,96.2009572505951,0.2,0.0001,0.11407470703125,0.9947820901870728,-0.011898446946361219
3,301.0,98304,192,511,-9.684378,-5.6531523510813715,0.0096635185,0.10170984268188477,20,39.78308868408203,92.10705742835998,0.2,0.0001,0.139251708984375,0.994003176689148,-0.015591347484587459
4,301.0,131072,258,507,130.80516,-5.650133348256349,0.0106406,0.28413957357406616,30,45.741764068603516,112.58354983329772,0.2,0.0001,0.15140380859375,0.9931498765945435,-0.01802167779605952
5,301.0,163840,324,505,197.1448,-5.647487128525972,0.01090439,0.11415761709213257,40,733.055419921875,988.6320951461792,0.2,0.0001,0.1111968994140625,0.9927037954330444,-0.00925095964976208
6,301.0,196608,389,504,130.31258,-5.645799351483584,0.0068930844,0.027406930923461914,50,2647.02099609375,3766.555789613724,0.2,0.0001,0.059759521484375,0.9923630952835083,-0.0036599742012185742
7,301.0,229376,456,502,28.54584,-5.643419458717108,0.007090528,0.027915477752685547,60,712.7073364257812,1782.2663507223128,0.2,0.0001,0.07574462890625,0.9914311170578003,-0.0038313579356326955
8,301.0,262144,521,502,4.452083,-5.634371195733547,0.0048635765,-0.01644718647003174,70,149.72776794433594,586.6583844184876,0.2,0.0001,0.0448211669921875,0.9883303642272949,-0.0034652797934541014
9,301.0,294912,587,501,-25.790773,-5.620275816321373,0.004667026,-0.003645181655883789,80,833.38818359375,1282.307568693161,0.2,0.0001,0.0582000732421875,0.9846035242080688,-0.00017269585114263464
10,301.0,327680,653,501,27.728395,-5.608247029781341,0.006050761,-0.006568431854248047,90,363.56597900390625,1087.1472465515137,0.2,0.0001,0.0614593505859375,0.9825435876846313,0.0008582374617617461
11,301.0,360448,719,500,-42.032074,-5.599007783085108,0.0062423665,-2.384185791015625e-07,100,380.9767150878906,1295.4186892986297,0.2,0.0001,0.041387939453125,0.9795596599578857,-0.0007876770203438354
