time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,579,56,-216.94038,,,,,,,,,,,
2,301.0,65536,455,143,-151.8565,0.2,1e-05,0.1086578369140625,10,0.008333834,103.88139931857586,0.9976780414581299,-0.011985823160057408,-5.670598510745913,49.79368591308594,-3.3736228942871094e-05
3,301.0,98304,424,231,3.4795928,0.2,1e-05,0.1359466552734375,20,0.009276416,104.39950461015106,0.9958165884017944,-0.01580419181009347,-5.662631091009826,39.09040451049805,0.033686697483062744
4,301.0,131072,409,320,132.6216,0.2,1e-05,0.1449310302734375,30,0.010402639,669.2095588684082,0.99150550365448,-0.014900750556967069,-5.650897425599396,85.68225860595703,0.034347593784332275
5,301.0,163840,401,407,158.73732,0.2,1e-05,0.1303924560546875,40,0.0092908265,1236.3369988292457,0.9874259233474731,-0.012269333937342707,-5.633901980333031,79.44935607910156,0.06589692831039429
6,301.0,196608,397,495,50.66579,0.2,1e-05,0.069903564453125,50,0.0062478883,3545.855711001158,0.9842382073402405,-0.005124402851993182,-5.619162935204804,806.8362426757812,0.013821423053741455
7,301.0,229376,393,582,-13.483978,0.2,1e-05,0.07425537109375,60,0.0065934313,1345.5968778565525,0.9819097518920898,-0.006053747781493257,-5.606863076519221,196.64759826660156,-0.009880423545837402
8,301.0,262144,391,670,-28.620913,0.2,1e-05,0.0510589599609375,70,0.005345477,518.5192702814936,0.9796956777572632,-0.005050256736922165,-5.598135605920106,90.06222534179688,0.043228089809417725
9,301.0,294912,388,758,-106.369865,0.2,1e-05,0.0568695068359375,80,0.005895708,1093.6486520603298,0.9770435094833374,-0.005201394038249418,-5.588380819465965,102.79058837890625,0.17898136377334595
10,301.0,327680,387,845,-122.975624,0.2,1e-05,0.047027587890625,90,0.0059726606,274.32664830237627,0.9750343561172485,-0.004578673808100575,-5.5786528496071695,148.74951171875,0.6593151986598969
11,301.0,360448,385,933,-165.82846,0.2,1e-05,0.0141448974609375,100,0.003678446,321.0446654498577,0.9754027724266052,-0.0012228415198478615,-5.575231197103858,133.19752502441406,0.7761756032705307
12,301.0,393216,384,1022,-158.44052,0.2,1e-05,0.0081939697265625,110,0.0031843386,662.313208308816,0.9751613736152649,-0.0009261683099794027,-5.5754882292822,492.9561462402344,0.7512436658143997
13,301.0,425984,383,1110,-109.66794,0.2,1e-05,0.0227264404296875,120,0.004235707,397.5984002023935,0.9737992286682129,-0.001961065615228108,-5.57245385767892,182.4859619140625,0.8642569333314896
14,301.0,458752,382,1199,-122.364914,0.2,1e-05,0.00865478515625,130,0.002836662,399.4269771754742,0.9727480411529541,-0.0009430545669601997,-5.567362301889807,198.14149475097656,0.8705246150493622
15,301.0,491520,381,1287,-25.619122,0.2,1e-05,0.01046142578125,140,0.0030068038,422.3795016378164,0.9730294942855835,-0.0010713300212501053,-5.565756489802152,248.6784210205078,0.8674930930137634
16,301.0,524288,381,1375,46.00016,0.2,1e-05,0.0302581787109375,150,0.0046734177,750.0415931910277,0.9721086025238037,-0.002668733621408137,-5.564686750620604,147.3003387451172,0.7674661427736282
17,301.0,557056,380,1464,12.7569065,0.2,1e-05,0.0203826904296875,160,0.004413673,1532.476923301816,0.9716460108757019,-0.0017216924297599689,-5.561340162158013,1627.0462646484375,0.5873839259147644
18,301.0,589824,379,1552,12.549767,0.2,1e-05,0.0215972900390625,170,0.004572323,1251.319312235713,0.9705343246459961,-0.0023141143032262335,-5.558261874504387,237.90711975097656,0.6297701597213745
19,301.0,622592,379,1642,56.821503,0.2,1e-05,0.0154937744140625,180,0.0037210057,974.3388094007969,0.9699136018753052,-0.0014269419901211222,-5.554663572832942,151.8103485107422,0.6572748124599457
20,301.0,655360,378,1730,122.32484,0.2,1e-05,0.0186004638671875,190,0.0041197864,357.58604803681374,0.9684380888938904,-0.0018351001242081111,-5.550185186415911,168.57725524902344,0.791290283203125
21,301.0,688128,378,1819,114.203224,0.2,1e-05,0.01710205078125,200,0.0037523885,1665.6591603189706,0.9667755365371704,-0.001467180667214052,-5.543858120962978,169.3994140625,0.34230971336364746
22,301.0,720896,377,1907,133.35356,0.2,1e-05,0.018890380859375,210,0.0038586734,924.2411040216684,0.9645968675613403,-0.0018020233511833795,-5.535227459855378,7875.65234375,0.48100191354751587
