time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/std,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
333,98,32768,1,314.71276595744683,3325.9146,,,,,,,,,,,,,
193,338,65536,2,323.73,3138.0,20824.29296875,0.3947471082210541,56025.92846953869,0.2777639627456665,0.0001,0.2,0.0058354710755338605,0.016465146,2480,-1.9481900490936823,0.1804656982421875,,
169,581,98304,3,358.87,3923.0,26794.37890625,0.3948165774345398,49146.925611829756,0.5062057375907898,0.0001,0.2,0.0009337802887785073,0.012333453,2490,-1.9493830501800402,0.1313385009765625,,
159,823,131072,4,368.57,4428.8,35802.0234375,0.3945147395133972,40262.749146318434,0.6086628437042236,0.0001,0.2,0.0011432524102161779,0.010438577,2500,-1.94840061806608,0.11275634765625,,
153,1067,163840,5,367.41,5106.3,7407.078125,0.3943214416503906,36875.573730993274,0.6748573482036591,0.0001,0.2,0.0008904015124130638,0.010267818,2510,-1.9457197496900336,0.1057342529296875,,
150,1309,196608,6,367.69,5755.7,6092.36328125,0.3939915895462036,43288.29552035332,0.698536604642868,0.0001,0.2,0.002650591725443974,0.012143205,2520,-1.9431015886249952,0.1347747802734375,,
147,1554,229376,7,348.28,5538.9,8240.603515625,0.3938533067703247,46366.51693310738,0.6735455691814423,0.0001,0.2,0.0022193030815628846,0.009739515,2530,-1.9407536894315853,0.1047698974609375,,
145,1800,262144,8,360.78,5924.6,25291.01171875,0.3935962915420532,44757.31853809357,0.7190158665180206,0.0001,0.2,0.0020154735214873653,0.008950824,2540,-1.9387409214628861,0.0846405029296875,,
144,2047,294912,9,367.94,6272.4,6741.18505859375,0.3934333324432373,46359.501277375224,0.7069013714790344,0.0001,0.2,0.003619058270351161,0.012225605,2550,-1.9367856301716528,0.1273193359375,,
142,2292,327680,10,342.78,5799.6,3774.185791015625,0.3933454751968384,41485.42690639496,0.704868882894516,0.0001,0.2,0.001413365878897821,0.009301053,2560,-1.9356162736774423,0.09312744140625,,
141,2539,360448,11,376.28,6771.3,15528.3720703125,0.3930131196975708,42948.08799204826,0.7308893799781799,0.0001,0.2,0.0009451276970025901,0.010276506,2570,-1.933249785064254,0.108660888671875,,
141,2785,393216,12,369.03,6492.4,8674.2900390625,0.3926668167114258,33439.758322072026,0.7892310917377472,0.0001,0.2,0.00018386317626664094,0.009366764,2580,-1.9299354928778485,0.09090576171875,,
140,3029,425984,13,344.57,5945.3,12940.5673828125,0.3924293518066406,37928.439821791646,0.7949579209089279,0.0001,0.2,0.0011708292546245501,0.007897653,2590,-1.9268295798101462,0.075885009765625,,
140,3276,458752,14,346.2,6274.5,22884.326171875,0.39233025908470154,41048.35971095562,0.780659019947052,0.0001,0.2,0.002842056047740016,0.01005542,2600,-1.9249555324669927,0.105609130859375,,
