time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
1,301.0,-700.5317,32768,565,57,,,,,,,,,,,
2,301.0,-781.24554,65536,529,123,819.1148681640625,0.1424119472503662,0.035211153,0.7267498970031738,630,0.015508299135763081,-4.387834547460079,0.3516693115234375,6302.919755172729,0.001,0.2
3,301.0,-814.8122,98304,517,189,532.6534423828125,0.21117788553237915,0.024186404,0.7246475219726562,640,0.006402292957136524,-4.385039012134075,0.27864990234375,4332.846922111511,0.001,0.2
4,301.0,-829.79443,131072,511,256,256.2972412109375,0.24152594804763794,0.021688962,0.7247858643531799,650,0.0012157761037087766,-4.385422749817371,0.249603271484375,2548.1741269111635,0.001,0.2
5,301.0,-849.0176,163840,508,322,383.5958251953125,0.33394789695739746,0.024647787,0.7211138010025024,660,0.0022359458680512034,-4.367957513779402,0.2627349853515625,1924.637557220459,0.001,0.2
6,301.0,-829.40814,196608,505,388,133.94869995117188,0.581468403339386,0.021433493,0.7196692228317261,670,-0.0009749652228492778,-4.348953656107187,0.23267822265625,971.750304555893,0.001,0.2
7,301.0,-814.7732,229376,504,455,156.09385681152344,0.4805667996406555,0.027514236,0.7191920280456543,680,0.002449208472717146,-4.351526676863432,0.2876007080078125,1134.589878964424,0.001,0.2
8,301.0,-675.67694,262144,502,521,174.52090454101562,0.41986989974975586,0.0252072,0.716331958770752,690,0.0017319724791377666,-4.342409233003854,0.2715972900390625,1307.674457216263,0.001,0.2
9,301.0,-604.29974,294912,501,587,709.6277465820312,0.35929298400878906,0.03044543,0.71599942445755,700,0.0045171966550697105,-4.337988771498203,0.3098358154296875,1589.543920660019,0.001,0.2
10,300.14,-679.09875,327680,500,654,320.38018798828125,0.40380358695983887,0.024855427,0.7073578834533691,710,0.0002683184580746456,-4.3059356898069385,0.258563232421875,1552.288098335266,0.001,0.2
