rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/std,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
301.0,288,1,8192,28,248.88826,,,,,,,,,,,,,
301.0,292,2,16384,56,302.8465,7156.07667388916,0.11761474609375,0.2,2.4497509002685547e-05,10,4673.7568359375,0.001,1.0021731853485107,0.0046154307,-5.682414093613625,-0.0002653131625265814,,
301.0,291,3,24576,84,385.7216,9385.29903717041,0.01500244140625,0.2,0.02625441551208496,20,3655.165771484375,0.001,1.0020346641540527,0.004565917,-5.683860176801682,-0.0011326445448503364,,
301.0,292,4,32768,112,410.47058,17999.442132568358,0.0,0.2,0.029339730739593506,30,6889.4677734375,0.001,1.0020716190338135,0.00029146255,-5.683434447646141,0.00012170776535640471,,
301.0,292,5,40960,140,434.7075,11865.978506469726,0.0,0.2,0.06443560123443604,40,6889.60791015625,0.001,1.0029956102371216,0.0006987913,-5.685341024398804,-0.00022842876860522664,,
301.0,292,6,49152,168,433.4604,11100.48893737793,0.0,0.2,0.06806182861328125,50,6827.8486328125,0.001,1.0028069019317627,0.00031205214,-5.687107795476914,-0.00015982202530722133,,
301.0,291,7,57344,196,457.08603,11450.90885925293,0.0,0.2,0.10605376958847046,60,4199.525390625,0.001,1.0032694339752197,0.00040945085,-5.687379169464111,-0.0002223675593995722,,
301.0,292,8,65536,224,496.39688,16313.874047851563,0.0,0.2,0.09110027551651001,70,9545.59765625,0.001,1.0031919479370117,0.00021076028,-5.688564330339432,0.00022059983857616316,,
301.0,291,9,73728,252,521.9539,18973.736898803712,9.765625e-05,0.2,0.08266860246658325,80,10000.2900390625,0.001,1.0027575492858887,0.0005488517,-5.687386253476143,-4.395453870529309e-05,,
301.0,292,10,81920,280,545.5682,11670.363627624512,8.544921875e-05,0.2,0.076413094997406,90,6474.55810546875,0.001,1.0031861066818237,0.00023781325,-5.687124124169349,-0.00018582021148176863,,
301.0,292,11,90112,308,464.90134,12986.944606781006,0.00023193359375,0.2,0.10112655162811279,100,6957.81787109375,0.001,1.0035077333450317,0.00035381556,-5.688940903544426,-0.0007280834826815408,,
301.0,292,12,98304,336,433.016,7527.5543014526365,0.0,0.2,0.1405477523803711,110,3524.016357421875,0.001,1.0038491487503052,0.00042274644,-5.689999142289162,-0.00041305976228613874,,
301.0,292,13,106496,364,431.62894,11549.62329711914,0.000341796875,0.2,0.10598242282867432,120,6909.9501953125,0.001,1.004496455192566,0.0004604103,-5.691893735527993,-0.0002864894566300791,,
301.0,292,14,114688,392,437.363,12249.614547729492,0.0,0.2,0.12053227424621582,130,6733.41943359375,0.001,1.0041325092315674,0.00015283309,-5.69302362203598,0.00012909594370285048,,
